activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,17,entropy,1,1,1,1,1,1,1,1,1,1,1,1,37,constant,42,auto,5,32,kneighborsClassifier,3,1,adam,distance,0.7826617826617827,129.0507735859137
identity,auto,31,gini,1,1,1,1,0,1,1,0,1,1,1,1,8,constant,26,auto,5,4,kneighborsClassifier,7,8,adam,distance,0.7326007326007326,129.05084310495295
identity,auto,17,gini,1,1,1,1,1,1,1,0,1,1,0,1,24,constant,45,auto,2,22,nnClassifier,4,5,adam,distance,0.5702075702075702,129.05088742403314
identity,auto,24,entropy,1,1,1,1,1,1,1,0,1,1,0,1,24,constant,26,auto,3,35,randomForestClassifier,6,3,adam,distance,0.8705738705738706,129.05093026300892
tanh,auto,31,gini,1,1,1,1,1,1,1,0,1,1,0,1,38,constant,28,auto,3,33,kneighborsClassifier,3,2,adam,distance,0.7496947496947497,129.05097487196326
identity,auto,24,entropy,1,1,1,1,0,1,1,0,1,1,0,1,38,constant,51,auto,13,12,randomForestClassifier,5,5,adam,distance,0.9023199023199023,129.0510182508733
tanh,auto,14,entropy,1,1,1,1,1,1,1,0,1,1,0,1,38,constant,92,auto,9,3,kneighborsClassifier,2,4,adam,distance,0.7216117216117216,129.05106179090217
identity,auto,22,entropy,1,1,1,1,0,1,1,0,1,1,1,1,32,constant,19,auto,16,36,nnClassifier,6,2,adam,distance,0.5921855921855922,129.05110450997017
identity,auto,31,entropy,1,1,1,1,0,1,1,0,1,1,0,1,38,constant,91,auto,3,3,randomForestClassifier,3,2,adam,distance,0.9133089133089133,129.0511476690881
tanh,auto,31,gini,1,1,1,1,1,1,1,0,1,1,0,1,19,constant,33,auto,16,2,nnClassifier,7,2,adam,distance,0.5787545787545788,129.05119004799053
identity,auto,28,entropy,1,1,1,1,0,1,1,0,1,1,0,1,38,constant,80,auto,15,14,kneighborsClassifier,4,3,adam,distance,0.6544566544566545,129.05123183690012
identity,auto,29,entropy,1,1,1,1,1,1,1,0,1,1,1,1,14,constant,42,auto,2,23,randomForestClassifier,6,3,adam,distance,0.8547008547008547,129.05127375596203
relu,auto,25,entropy,1,1,1,1,1,1,1,1,1,1,1,1,37,constant,73,auto,16,28,kneighborsClassifier,7,2,adam,distance,0.7484737484737485,129.05131586501375
identity,auto,14,entropy,1,1,1,1,1,1,1,0,1,1,1,1,37,constant,71,auto,11,12,kneighborsClassifier,2,3,adam,distance,0.757020757020757,129.05135743506253
identity,auto,32,gini,1,1,1,1,0,1,1,0,1,1,1,1,36,constant,67,auto,6,35,randomForestClassifier,5,6,adam,distance,0.9035409035409036,129.0514116329141
identity,auto,20,entropy,1,1,1,1,0,1,1,0,1,1,1,1,39,constant,60,auto,6,4,nnClassifier,6,6,adam,distance,0.575091575091575,129.0514535929542
identity,auto,30,entropy,1,1,1,1,0,1,1,0,1,1,1,1,38,constant,40,auto,15,3,kneighborsClassifier,5,6,adam,distance,0.7741147741147741,129.05149553203955
tanh,auto,29,gini,1,1,1,1,1,1,1,1,1,1,0,1,7,constant,38,auto,6,10,kneighborsClassifier,6,2,adam,distance,0.7411477411477412,129.0515376708936
