activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,ball_tree,23,entropy,0,1,1,1,1,1,1,1,1,1,1,1,34,constant,57,sqrt,2,16,randomForestClassifier,3,9,adam,distance,0.9035409035409036,213.61896113702096
identity,ball_tree,16,gini,0,1,1,1,1,1,1,1,1,1,1,1,16,constant,34,sqrt,5,30,randomForestClassifier,3,3,adam,distance,0.7948717948717948,213.61902317591012
relu,auto,19,entropy,1,1,1,1,1,1,1,1,1,1,0,1,21,adaptive,87,auto,15,35,randomForestClassifier,5,5,lbfgs,distance,0.8681318681318682,213.61906659486704
logistic,kd_tree,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,29,adaptive,99,auto,11,37,nnClassifier,4,6,adam,distance,0.6043956043956044,213.61910924501717
logistic,ball_tree,16,entropy,0,1,1,1,1,1,1,1,1,1,0,1,11,adaptive,40,auto,12,8,nnClassifier,4,5,sgd,distance,0.5860805860805861,213.61915157386102
identity,kd_tree,11,gini,0,0,1,1,1,1,1,1,1,1,1,1,10,constant,63,auto,7,35,randomForestClassifier,3,2,lbfgs,distance,0.8620268620268621,213.6191932829097
identity,kd_tree,27,gini,0,0,1,1,1,1,1,1,1,1,0,1,27,constant,79,sqrt,10,38,nnClassifier,4,2,lbfgs,distance,0.6007326007326007,213.61923467298038
relu,ball_tree,23,entropy,1,0,1,1,1,1,1,0,1,1,1,1,31,adaptive,79,sqrt,4,12,randomForestClassifier,2,5,sgd,distance,0.8986568986568987,213.6192756118253
tanh,kd_tree,28,entropy,1,1,1,1,1,1,1,1,1,1,0,1,14,constant,90,auto,5,22,nnClassifier,5,3,lbfgs,distance,0.5970695970695971,213.61931704101153
identity,auto,13,gini,0,1,1,1,1,1,1,1,1,1,1,1,16,invscaling,95,sqrt,8,12,randomForestClassifier,3,2,adam,distance,0.8522588522588522,213.61935815098695
