activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_6,feature_60,feature_61,feature_62,feature_63,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
logistic,kd_tree,31,entropy,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,34,constant,17,log2,12,4,kneighborsClassifier,4,7,adam,distance,0.9893238434163701,116.89416233100928
tanh,kd_tree,19,gini,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,9,constant,76,log2,17,3,kneighborsClassifier,6,10,adam,distance,0.9839857651245552,116.89429157902487
tanh,kd_tree,27,gini,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,22,constant,76,sqrt,17,27,nnClassifier,8,3,lbfgs,distance,0.8398576512455516,116.89439528807998
tanh,kd_tree,19,entropy,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,21,constant,60,log2,9,5,kneighborsClassifier,5,9,lbfgs,distance,0.9661921708185054,116.89449744601734
identity,auto,25,entropy,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,21,constant,62,log2,14,21,kneighborsClassifier,6,7,adam,distance,0.9644128113879004,116.89459890499711
logistic,auto,17,entropy,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,36,constant,87,sqrt,12,18,nnClassifier,6,10,adam,distance,0.8380782918149466,116.89470992400311
logistic,kd_tree,17,entropy,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,22,constant,17,log2,17,4,kneighborsClassifier,6,9,lbfgs,distance,0.9928825622775801,116.89481166214682
identity,ball_tree,23,entropy,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,37,constant,16,auto,18,24,kneighborsClassifier,8,9,sgd,distance,0.9893238434163701,116.89491245104
logistic,kd_tree,25,entropy,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,21,constant,61,auto,17,36,nnClassifier,7,9,sgd,distance,0.8416370106761566,116.89501302898861
relu,kd_tree,15,entropy,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,22,constant,19,sqrt,18,30,nnClassifier,6,10,lbfgs,distance,0.8505338078291815,116.89511311799288
logistic,kd_tree,18,entropy,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,6,constant,96,log2,9,28,kneighborsClassifier,6,9,lbfgs,distance,0.9661921708185054,116.89521298720501
tanh,kd_tree,18,gini,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,3,constant,10,sqrt,17,5,kneighborsClassifier,4,5,lbfgs,distance,0.9608540925266904,116.89531282498501
logistic,kd_tree,17,entropy,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,22,constant,56,sqrt,11,20,nnClassifier,5,10,sgd,distance,0.9199288256227758,116.89541386417113
tanh,kd_tree,12,gini,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,35,constant,46,log2,17,22,kneighborsClassifier,6,7,lbfgs,distance,0.9839857651245552,116.89551407308318
logistic,ball_tree,18,entropy,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,21,constant,19,auto,11,18,nnClassifier,5,6,sgd,distance,0.8434163701067615,116.89561393111944
relu,ball_tree,17,gini,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,33,constant,58,sqrt,14,4,nnClassifier,5,5,adam,distance,0.8362989323843416,116.89572397014126
tanh,ball_tree,26,gini,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,34,constant,23,sqrt,15,4,kneighborsClassifier,6,10,adam,distance,0.9430604982206405,116.8958259280771
identity,kd_tree,15,entropy,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,33,constant,59,log2,7,18,kneighborsClassifier,7,9,sgd,distance,0.9661921708185054,116.8959259071853
relu,auto,12,entropy,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,22,constant,47,sqrt,10,5,kneighborsClassifier,6,10,sgd,distance,0.9590747330960854,116.89602574612945
