activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,22,entropy,0,1,1,1,0,0,0,1,19,constant,47,sqrt,16,14,kneighborsClassifier,2,9,lbfgs,distance,0.8058608058608059
relu,auto,22,entropy,1,0,1,0,0,0,1,0,6,invscaling,85,auto,12,11,randomForestClassifier,3,9,sgd,uniform,0.6813186813186813
relu,brute,30,gini,0,0,1,0,1,0,0,0,38,constant,45,sqrt,19,15,randomForestClassifier,2,5,adam,distance,0.6764346764346765
identity,kd_tree,8,entropy,0,1,1,0,1,1,0,1,7,adaptive,23,auto,5,11,randomForestClassifier,5,3,adam,uniform,0.8351648351648352
relu,auto,12,gini,1,0,1,0,1,1,0,0,33,adaptive,2,log2,18,10,randomForestClassifier,7,2,lbfgs,uniform,0.6715506715506715
logistic,brute,15,gini,1,1,1,0,1,0,1,1,8,invscaling,87,auto,12,35,kneighborsClassifier,1,5,sgd,uniform,0.7985347985347986
tanh,brute,26,gini,0,0,0,0,0,1,0,0,32,adaptive,90,sqrt,6,23,randomForestClassifier,9,2,sgd,uniform,0.5128205128205128
identity,kd_tree,29,gini,1,1,1,0,1,0,1,1,29,constant,13,sqrt,9,15,nnClassifier,10,3,lbfgs,uniform,0.5103785103785103
relu,ball_tree,31,entropy,1,0,0,1,0,0,0,1,33,constant,62,auto,10,6,randomForestClassifier,6,1,adam,uniform,0.5177045177045178
tanh,brute,25,gini,0,1,1,0,0,1,0,0,19,adaptive,73,log2,4,27,randomForestClassifier,5,3,sgd,uniform,0.8376068376068376
relu,brute,24,gini,1,0,0,0,1,1,0,0,3,invscaling,98,auto,7,20,kneighborsClassifier,3,5,sgd,distance,0.5213675213675214
tanh,auto,30,gini,1,0,0,0,0,1,0,0,20,constant,22,sqrt,3,26,kneighborsClassifier,1,8,adam,uniform,0.5018315018315018
relu,auto,15,entropy,0,1,0,1,1,0,1,0,3,invscaling,10,sqrt,4,40,nnClassifier,2,9,sgd,uniform,0.5006105006105006
tanh,kd_tree,24,entropy,1,1,0,0,1,1,1,0,9,constant,84,log2,13,10,nnClassifier,1,1,adam,distance,0.5067155067155067
logistic,ball_tree,23,entropy,0,1,0,1,1,1,1,0,40,constant,12,auto,8,4,kneighborsClassifier,9,6,lbfgs,uniform,0.6434676434676435
tanh,auto,11,entropy,1,1,0,0,1,0,1,1,15,adaptive,25,auto,16,37,nnClassifier,2,6,lbfgs,uniform,0.5079365079365079
identity,brute,16,entropy,0,1,1,0,0,1,0,0,35,invscaling,22,sqrt,16,27,nnClassifier,5,8,adam,distance,0.5079365079365079
logistic,auto,31,entropy,0,1,0,1,0,0,1,0,33,invscaling,15,auto,6,28,randomForestClassifier,5,4,sgd,distance,0.6800976800976801
relu,brute,29,gini,0,1,1,0,1,0,0,1,16,adaptive,81,sqrt,15,15,nnClassifier,7,10,sgd,uniform,0.5054945054945055
relu,kd_tree,23,gini,0,0,1,1,0,1,1,0,18,constant,42,sqrt,16,21,kneighborsClassifier,10,8,sgd,distance,0.6471306471306472
tanh,brute,32,entropy,0,1,0,0,0,1,1,1,9,constant,46,auto,2,35,nnClassifier,9,5,adam,uniform,0.5018315018315018
logistic,ball_tree,8,gini,1,1,1,1,1,1,0,0,27,adaptive,53,auto,20,12,nnClassifier,5,7,sgd,uniform,0.5079365079365079
tanh,kd_tree,31,gini,1,1,1,1,0,1,0,1,2,invscaling,81,sqrt,14,22,kneighborsClassifier,1,4,lbfgs,distance,0.800976800976801
relu,auto,10,entropy,0,1,1,1,0,0,1,1,35,invscaling,68,auto,3,17,kneighborsClassifier,8,2,adam,uniform,0.7484737484737485
tanh,brute,27,gini,0,1,0,1,0,1,0,1,25,invscaling,21,log2,19,30,kneighborsClassifier,8,4,sgd,distance,0.6105006105006106
relu,brute,8,gini,0,1,1,0,1,1,0,1,29,invscaling,65,log2,16,2,randomForestClassifier,6,8,adam,distance,0.8327228327228328
logistic,ball_tree,8,gini,1,0,1,1,0,0,0,1,38,constant,10,sqrt,6,13,kneighborsClassifier,7,5,sgd,distance,0.6398046398046398
identity,kd_tree,25,gini,1,1,1,0,1,0,1,0,39,adaptive,16,log2,14,12,kneighborsClassifier,1,8,lbfgs,distance,0.7997557997557998
tanh,ball_tree,9,gini,0,1,1,1,1,0,1,0,18,invscaling,12,sqrt,18,36,nnClassifier,3,9,adam,distance,0.5006105006105006
identity,auto,28,entropy,0,1,0,0,1,0,1,0,12,constant,50,auto,4,35,nnClassifier,5,5,adam,distance,0.5067155067155067
tanh,ball_tree,8,entropy,1,0,1,0,0,0,0,0,23,invscaling,39,log2,10,32,nnClassifier,10,10,adam,distance,0.48595848595848595
logistic,kd_tree,11,gini,1,1,0,1,1,0,0,1,9,constant,37,auto,12,38,nnClassifier,10,3,adam,uniform,0.5042735042735043
relu,ball_tree,9,gini,1,0,0,1,1,0,1,0,36,invscaling,100,log2,11,36,randomForestClassifier,1,9,sgd,distance,0.5079365079365079
identity,auto,30,gini,0,0,0,0,1,1,1,0,31,adaptive,56,auto,2,16,randomForestClassifier,5,8,sgd,uniform,0.5079365079365079
identity,kd_tree,26,gini,0,0,0,0,0,0,0,1,11,constant,57,sqrt,5,21,randomForestClassifier,7,1,sgd,uniform,0.4713064713064713
relu,kd_tree,13,gini,1,1,1,1,0,0,0,0,26,constant,88,log2,13,13,randomForestClassifier,6,1,lbfgs,uniform,0.8363858363858364
logistic,kd_tree,22,entropy,1,0,0,0,0,1,1,1,20,invscaling,41,sqrt,11,4,nnClassifier,3,10,adam,uniform,0.4713064713064713
relu,kd_tree,30,entropy,1,1,1,1,1,0,1,0,31,adaptive,27,log2,5,22,randomForestClassifier,1,2,sgd,uniform,0.8241758241758241
logistic,kd_tree,24,entropy,0,0,0,0,0,0,1,0,22,invscaling,85,log2,20,37,nnClassifier,4,7,lbfgs,uniform,0.17338217338217338
relu,auto,32,entropy,1,1,1,1,1,1,1,0,9,invscaling,5,sqrt,18,19,randomForestClassifier,10,9,lbfgs,uniform,0.8107448107448108
logistic,kd_tree,31,gini,1,0,1,1,1,0,1,1,10,adaptive,2,sqrt,10,22,nnClassifier,3,3,lbfgs,uniform,0.5006105006105006
identity,auto,14,gini,0,0,0,0,0,1,0,0,33,adaptive,33,auto,10,11,randomForestClassifier,7,6,adam,uniform,0.5225885225885226
tanh,kd_tree,16,gini,0,1,0,0,0,0,0,0,22,invscaling,50,log2,11,19,randomForestClassifier,8,4,adam,distance,0.6764346764346765
tanh,brute,23,entropy,1,1,1,0,0,0,1,1,13,invscaling,52,sqrt,12,33,kneighborsClassifier,10,4,adam,distance,0.7814407814407814
identity,ball_tree,13,entropy,1,0,1,0,0,1,0,0,3,adaptive,22,sqrt,9,13,nnClassifier,5,8,sgd,distance,0.49694749694749696
relu,auto,23,gini,1,0,0,1,0,0,0,1,17,constant,17,log2,18,29,kneighborsClassifier,8,5,adam,distance,0.5128205128205128
logistic,auto,26,entropy,1,0,0,0,1,1,0,1,33,constant,5,sqrt,15,3,kneighborsClassifier,3,8,lbfgs,distance,0.47863247863247865
identity,kd_tree,29,gini,1,0,1,0,1,1,1,1,7,adaptive,90,sqrt,3,20,kneighborsClassifier,2,7,adam,uniform,0.6214896214896215
relu,auto,13,entropy,0,0,0,0,1,1,1,0,12,constant,86,auto,20,6,kneighborsClassifier,5,1,lbfgs,distance,0.4908424908424908
logistic,kd_tree,16,gini,0,1,1,1,0,0,0,1,36,constant,41,sqrt,14,16,nnClassifier,10,2,sgd,uniform,0.503052503052503
relu,brute,28,gini,1,1,1,0,0,1,1,0,14,constant,73,auto,12,39,nnClassifier,8,1,lbfgs,distance,0.5054945054945055
logistic,kd_tree,11,gini,1,0,0,0,0,1,1,0,17,invscaling,86,auto,12,19,nnClassifier,4,9,sgd,distance,0.3064713064713065
tanh,auto,25,gini,0,0,1,0,1,1,0,1,21,adaptive,75,sqrt,20,16,kneighborsClassifier,2,10,sgd,uniform,0.6446886446886447
tanh,kd_tree,30,entropy,0,0,0,1,1,0,1,0,3,adaptive,54,sqrt,10,28,nnClassifier,5,6,sgd,distance,0.43101343101343104
relu,auto,20,gini,0,0,0,0,0,0,0,0,7,constant,21,auto,13,4,kneighborsClassifier,8,8,sgd,distance,0
tanh,brute,9,gini,0,0,1,1,1,1,1,0,27,invscaling,52,log2,20,20,kneighborsClassifier,10,9,sgd,distance,0.6385836385836385
identity,auto,32,gini,1,0,0,1,0,0,0,1,33,invscaling,11,sqrt,13,40,kneighborsClassifier,8,9,lbfgs,uniform,0.503052503052503
tanh,auto,31,entropy,1,1,0,1,1,1,1,0,33,invscaling,77,log2,14,27,nnClassifier,5,10,lbfgs,uniform,0.49694749694749696
logistic,brute,18,gini,1,0,1,1,0,1,0,1,15,constant,83,auto,13,40,nnClassifier,8,8,adam,distance,0.48717948717948717
logistic,auto,10,entropy,1,1,0,1,1,1,0,0,31,adaptive,73,auto,19,26,kneighborsClassifier,9,7,lbfgs,distance,0.6349206349206349
relu,auto,22,entropy,1,0,0,1,1,0,0,1,6,constant,96,log2,14,29,randomForestClassifier,8,6,sgd,uniform,0.48595848595848595
logistic,brute,24,entropy,1,0,0,0,1,0,0,1,6,constant,50,sqrt,13,26,randomForestClassifier,9,7,lbfgs,uniform,0.4810744810744811
identity,ball_tree,11,gini,0,1,0,0,0,0,1,1,3,constant,83,sqrt,7,25,kneighborsClassifier,8,8,adam,distance,0.6288156288156288
identity,kd_tree,24,entropy,0,1,1,0,0,0,1,1,4,adaptive,12,sqrt,20,14,kneighborsClassifier,9,9,adam,distance,0.8168498168498168
relu,kd_tree,20,gini,0,0,0,0,1,1,0,0,23,adaptive,9,sqrt,2,35,kneighborsClassifier,1,7,sgd,distance,0.5201465201465202
identity,kd_tree,18,gini,1,1,1,1,1,0,1,1,34,constant,47,auto,10,28,kneighborsClassifier,8,9,adam,uniform,0.8144078144078144
logistic,auto,18,entropy,1,1,0,1,0,0,1,1,37,adaptive,45,sqrt,6,25,kneighborsClassifier,3,1,adam,distance,0.5860805860805861
relu,brute,23,entropy,0,1,1,1,1,0,1,0,22,invscaling,24,auto,3,5,nnClassifier,6,5,lbfgs,uniform,0.5042735042735043
tanh,kd_tree,13,entropy,0,1,0,0,0,0,0,0,26,invscaling,54,log2,11,2,randomForestClassifier,9,3,lbfgs,uniform,0.673992673992674
logistic,kd_tree,17,gini,0,0,0,0,1,1,0,1,26,adaptive,64,log2,16,12,kneighborsClassifier,2,6,sgd,uniform,0.47496947496947495
relu,ball_tree,15,gini,0,0,0,0,1,0,0,0,36,invscaling,99,auto,10,38,nnClassifier,4,2,lbfgs,uniform,0.5164835164835165
relu,ball_tree,14,gini,0,1,1,1,1,1,0,1,9,constant,34,auto,20,24,randomForestClassifier,6,7,sgd,distance,0.8278388278388278
tanh,ball_tree,13,entropy,1,1,0,1,1,1,1,0,12,invscaling,24,log2,12,31,kneighborsClassifier,4,5,adam,uniform,0.6373626373626373
tanh,kd_tree,13,entropy,1,1,0,0,1,0,0,0,37,adaptive,2,auto,3,26,nnClassifier,7,10,adam,distance,0.5054945054945055
logistic,kd_tree,12,gini,1,1,0,1,0,0,0,0,11,adaptive,57,auto,5,36,kneighborsClassifier,4,5,sgd,distance,0.6166056166056166
logistic,ball_tree,10,gini,1,1,1,0,1,0,1,1,7,adaptive,42,log2,5,19,kneighborsClassifier,1,6,lbfgs,distance,0.7948717948717948
relu,ball_tree,23,entropy,0,0,0,0,0,1,0,1,23,invscaling,37,log2,17,5,nnClassifier,1,3,sgd,distance,0.47374847374847373
identity,kd_tree,11,gini,0,1,1,1,0,0,0,0,30,adaptive,8,auto,15,4,nnClassifier,7,5,sgd,uniform,0.5091575091575091
tanh,auto,20,gini,0,1,0,1,1,0,1,0,9,invscaling,29,log2,14,31,randomForestClassifier,8,3,lbfgs,distance,0.6654456654456654
relu,kd_tree,16,entropy,0,0,0,1,0,0,0,0,32,adaptive,67,log2,8,23,kneighborsClassifier,1,2,sgd,uniform,0.5079365079365079
tanh,ball_tree,20,gini,1,0,1,0,0,0,1,1,13,constant,21,log2,20,38,randomForestClassifier,6,7,adam,distance,0.6642246642246642
identity,kd_tree,28,entropy,1,0,0,1,0,0,1,0,40,constant,99,sqrt,14,9,nnClassifier,9,5,adam,distance,0.4236874236874237
relu,kd_tree,17,entropy,1,0,1,1,1,1,1,0,2,constant,36,log2,3,19,nnClassifier,8,10,sgd,distance,0.5103785103785103
tanh,brute,22,entropy,1,0,1,0,0,1,0,1,40,adaptive,91,sqrt,5,27,randomForestClassifier,2,6,lbfgs,distance,0.6581196581196581
relu,ball_tree,11,gini,0,0,0,1,0,0,0,1,35,constant,77,sqrt,2,34,nnClassifier,4,5,adam,distance,0.4590964590964591
relu,kd_tree,27,entropy,0,1,1,1,1,1,1,0,11,adaptive,36,auto,7,8,kneighborsClassifier,5,6,lbfgs,uniform,0.7765567765567766
tanh,brute,22,gini,0,0,1,0,0,0,1,0,22,invscaling,28,auto,3,19,randomForestClassifier,10,10,adam,uniform,0.6483516483516484
relu,brute,32,gini,0,0,0,1,0,1,1,0,21,constant,88,sqrt,17,13,kneighborsClassifier,8,6,adam,uniform,0.48595848595848595
relu,ball_tree,16,gini,1,0,1,0,1,0,1,0,14,invscaling,77,sqrt,9,39,nnClassifier,8,2,lbfgs,distance,0.503052503052503
logistic,brute,17,gini,1,1,1,1,0,0,0,0,39,adaptive,52,log2,19,12,nnClassifier,10,9,adam,uniform,0.5018315018315018
logistic,auto,24,gini,0,0,1,0,0,0,0,1,40,constant,13,sqrt,4,7,kneighborsClassifier,7,10,lbfgs,uniform,0.6507936507936508
logistic,brute,16,entropy,0,1,0,1,1,0,1,0,25,adaptive,53,log2,4,30,nnClassifier,7,2,sgd,uniform,0.5042735042735043
tanh,auto,22,entropy,0,1,0,1,1,0,0,1,15,adaptive,50,auto,3,34,nnClassifier,6,8,sgd,distance,0.49694749694749696
tanh,ball_tree,29,entropy,1,0,1,0,1,1,0,1,2,constant,35,log2,20,16,kneighborsClassifier,1,2,lbfgs,uniform,0.5604395604395604
logistic,ball_tree,27,gini,0,1,0,0,1,1,1,1,17,adaptive,50,auto,3,31,nnClassifier,6,9,sgd,distance,0.5006105006105006
