activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,15,entropy,0,0,0,0,1,0,0,0,7,constant,80,auto,3,12,kneighborsClassifier,4,5,adam,distance,0.48595848595848595
logistic,auto,14,gini,1,0,1,0,0,1,0,0,13,adaptive,39,sqrt,8,6,kneighborsClassifier,1,1,adam,distance,0.5958485958485958
identity,ball_tree,19,gini,0,1,0,0,0,0,1,1,23,invscaling,3,log2,19,35,randomForestClassifier,10,3,lbfgs,distance,0.7094017094017094
relu,auto,20,entropy,1,0,0,1,0,0,1,1,32,adaptive,8,auto,2,4,nnClassifier,10,6,adam,uniform,0.4993894993894994
identity,kd_tree,18,entropy,1,0,0,1,1,0,1,1,9,adaptive,14,sqrt,5,35,nnClassifier,8,8,adam,distance,0.18437118437118438
tanh,kd_tree,11,gini,0,0,1,1,0,0,0,0,32,adaptive,59,sqrt,20,17,kneighborsClassifier,3,2,lbfgs,uniform,0.5641025641025641
identity,ball_tree,11,entropy,0,0,1,1,1,1,0,1,13,invscaling,28,sqrt,5,39,kneighborsClassifier,1,3,sgd,uniform,0.6166056166056166
logistic,kd_tree,32,entropy,0,1,1,0,1,1,1,1,22,constant,36,sqrt,14,13,randomForestClassifier,6,1,adam,distance,0.8681318681318682
logistic,ball_tree,27,gini,1,1,1,0,1,0,0,1,18,adaptive,13,log2,6,28,nnClassifier,10,10,lbfgs,distance,0.5311355311355311
logistic,kd_tree,20,entropy,1,1,1,0,1,1,1,1,38,constant,41,log2,10,32,randomForestClassifier,7,4,sgd,uniform,0.8656898656898657
tanh,ball_tree,11,gini,0,1,0,0,1,0,1,0,21,invscaling,91,log2,8,5,randomForestClassifier,7,6,sgd,uniform,0.6996336996336996
logistic,brute,24,entropy,0,0,0,0,0,1,0,1,29,invscaling,95,sqrt,20,6,nnClassifier,5,9,adam,uniform,0.5238095238095238
relu,auto,30,entropy,0,0,0,1,0,1,0,1,36,invscaling,74,auto,5,39,randomForestClassifier,9,5,sgd,distance,0.5335775335775336
tanh,kd_tree,24,gini,0,0,1,1,1,0,0,1,15,adaptive,3,sqrt,8,35,randomForestClassifier,9,4,adam,distance,0.6813186813186813
logistic,brute,15,gini,0,0,0,1,1,1,0,0,25,invscaling,73,sqrt,16,5,kneighborsClassifier,4,8,sgd,uniform,0.4981684981684982
relu,ball_tree,29,entropy,0,0,1,0,1,1,0,1,23,invscaling,63,auto,15,23,randomForestClassifier,4,5,lbfgs,distance,0.673992673992674
identity,kd_tree,11,gini,0,1,0,1,1,1,1,1,2,adaptive,74,auto,11,12,randomForestClassifier,6,6,sgd,uniform,0.6959706959706959
relu,brute,31,gini,1,0,1,0,0,0,1,0,31,adaptive,30,log2,6,9,randomForestClassifier,10,8,adam,distance,0.6666666666666666
logistic,ball_tree,23,gini,0,1,1,0,1,0,0,1,35,constant,10,log2,8,11,nnClassifier,7,3,sgd,distance,0.5323565323565324
tanh,kd_tree,29,entropy,0,0,0,1,1,0,1,1,18,constant,98,auto,7,9,randomForestClassifier,1,10,lbfgs,distance,0.5115995115995116
logistic,kd_tree,20,entropy,1,0,0,1,0,1,1,0,29,invscaling,91,auto,13,10,randomForestClassifier,8,3,lbfgs,uniform,0.5299145299145299
tanh,auto,31,gini,0,1,0,0,1,0,1,1,37,adaptive,59,sqrt,6,5,randomForestClassifier,5,6,sgd,distance,0.684981684981685
relu,auto,16,entropy,1,0,1,0,1,1,1,1,10,constant,81,log2,18,29,nnClassifier,7,6,sgd,distance,0.4896214896214896
relu,kd_tree,11,gini,1,0,0,0,1,1,0,0,24,adaptive,16,auto,3,18,randomForestClassifier,7,8,sgd,distance,0.503052503052503
relu,auto,19,entropy,0,0,1,1,1,1,1,0,21,constant,7,auto,6,31,kneighborsClassifier,2,4,lbfgs,distance,0.612942612942613
identity,auto,19,gini,0,0,1,1,0,1,1,1,18,invscaling,49,sqrt,12,35,nnClassifier,9,6,lbfgs,distance,0.5238095238095238
logistic,ball_tree,11,entropy,0,0,0,0,1,1,1,1,37,adaptive,9,sqrt,10,3,kneighborsClassifier,1,7,sgd,uniform,0.4908424908424908
identity,auto,26,entropy,1,0,1,0,0,1,1,1,39,constant,41,auto,2,38,randomForestClassifier,2,7,sgd,distance,0.6678876678876678
logistic,brute,24,gini,0,0,1,0,0,0,1,0,31,constant,6,sqrt,7,32,nnClassifier,1,6,sgd,uniform,0.5213675213675214
tanh,brute,14,entropy,0,0,1,0,1,1,0,0,4,constant,41,auto,11,17,randomForestClassifier,1,3,sgd,uniform,0.6825396825396826
tanh,kd_tree,20,gini,0,1,0,1,1,0,0,1,18,invscaling,3,auto,15,29,nnClassifier,10,2,lbfgs,distance,0.49206349206349204
tanh,ball_tree,9,gini,0,0,1,1,1,1,1,1,33,invscaling,17,log2,9,38,randomForestClassifier,10,6,adam,distance,0.663003663003663
identity,brute,29,entropy,0,1,1,0,0,0,1,1,15,adaptive,60,sqrt,6,8,randomForestClassifier,3,9,lbfgs,distance,0.8595848595848596
relu,auto,23,gini,1,0,0,1,1,0,1,0,19,adaptive,73,log2,9,21,nnClassifier,3,6,sgd,uniform,0.38095238095238093
logistic,kd_tree,13,gini,1,1,0,0,0,1,1,0,32,constant,7,auto,2,37,randomForestClassifier,1,3,adam,distance,0.7106227106227107
tanh,kd_tree,21,gini,0,1,0,0,1,1,0,0,34,adaptive,76,auto,16,26,nnClassifier,10,7,sgd,uniform,0.49572649572649574
tanh,ball_tree,18,gini,0,0,1,1,1,0,1,1,30,adaptive,100,auto,19,25,randomForestClassifier,9,7,sgd,distance,0.6691086691086691
relu,brute,25,entropy,1,0,0,1,0,1,0,0,15,adaptive,82,auto,4,33,kneighborsClassifier,5,5,sgd,uniform,0.5457875457875457
identity,brute,25,gini,1,0,0,0,0,1,0,1,16,adaptive,38,sqrt,7,9,randomForestClassifier,7,3,lbfgs,distance,0.5238095238095238
identity,auto,14,gini,1,1,0,0,1,1,0,1,18,constant,88,auto,17,35,kneighborsClassifier,8,10,lbfgs,uniform,0.6862026862026862
logistic,brute,11,entropy,0,0,0,1,1,0,1,1,25,invscaling,65,log2,5,19,randomForestClassifier,6,10,lbfgs,uniform,0.5201465201465202
relu,ball_tree,14,gini,1,1,1,1,0,1,1,1,22,invscaling,60,auto,12,7,randomForestClassifier,1,10,adam,uniform,0.8571428571428571
tanh,ball_tree,14,entropy,1,0,1,0,0,1,1,0,5,adaptive,95,log2,9,15,kneighborsClassifier,3,6,lbfgs,uniform,0.63003663003663
identity,brute,25,gini,0,0,1,1,0,0,0,1,7,invscaling,28,auto,7,11,kneighborsClassifier,10,10,adam,distance,0.6361416361416361
tanh,auto,21,gini,1,0,1,0,1,0,1,1,20,constant,47,log2,12,3,randomForestClassifier,1,9,lbfgs,uniform,0.6666666666666666
identity,brute,18,gini,1,0,0,1,0,0,0,1,6,adaptive,76,log2,7,26,kneighborsClassifier,2,2,sgd,uniform,0.4896214896214896
logistic,auto,8,entropy,0,0,0,1,0,1,0,0,4,invscaling,11,auto,5,9,nnClassifier,2,3,adam,uniform,0.5238095238095238
identity,auto,13,entropy,0,1,0,1,1,0,1,1,30,adaptive,34,auto,18,20,nnClassifier,9,2,adam,distance,0.5067155067155067
relu,ball_tree,16,entropy,1,0,0,0,1,0,0,0,29,adaptive,38,auto,20,29,nnClassifier,6,3,sgd,distance,0.21611721611721613
tanh,ball_tree,17,gini,0,0,1,0,1,0,0,1,10,constant,41,sqrt,5,38,randomForestClassifier,1,6,sgd,uniform,0.6678876678876678
logistic,brute,31,gini,1,0,1,1,1,0,0,1,10,constant,60,sqrt,8,7,kneighborsClassifier,2,4,sgd,uniform,0.6031746031746031
identity,ball_tree,16,gini,1,1,0,1,1,1,0,1,26,adaptive,78,sqrt,8,30,nnClassifier,1,9,sgd,uniform,0.5103785103785103
tanh,auto,15,entropy,1,1,1,1,1,0,0,1,26,constant,35,sqrt,16,29,kneighborsClassifier,10,6,lbfgs,distance,0.8131868131868132
