activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,17,gini,0,1,1,24,invscaling,17,auto,15,9,kneighborsClassifier,7,4,lbfgs,uniform,0.9674234945705824
tanh,brute,19,gini,0,1,1,8,constant,14,auto,7,3,kneighborsClassifier,5,1,sgd,distance,0.9536031589338598
identity,kd_tree,8,gini,0,1,0,26,adaptive,88,sqrt,3,4,nnClassifier,9,4,sgd,uniform,0.9496544916090819
identity,brute,30,entropy,0,0,0,29,invscaling,74,sqrt,12,27,nnClassifier,5,9,adam,distance,0
logistic,brute,32,entropy,0,1,0,35,invscaling,20,sqrt,13,8,nnClassifier,3,2,lbfgs,distance,0.9496544916090819
relu,ball_tree,32,gini,0,1,0,4,constant,36,log2,2,20,randomForestClassifier,1,8,lbfgs,distance,0.9674234945705824
tanh,auto,28,gini,1,1,0,35,adaptive,66,log2,12,19,kneighborsClassifier,5,7,lbfgs,distance,0.9624876604146101
logistic,ball_tree,13,entropy,0,0,1,23,invscaling,51,sqrt,5,12,kneighborsClassifier,5,3,adam,uniform,0.9654491609081934
identity,kd_tree,25,entropy,0,0,1,32,adaptive,41,sqrt,11,14,nnClassifier,1,8,adam,uniform,0.932872655478776
tanh,kd_tree,27,entropy,1,0,0,7,invscaling,99,log2,13,12,nnClassifier,6,6,lbfgs,uniform,0.9496544916090819
identity,ball_tree,25,gini,1,1,1,28,adaptive,20,log2,17,18,kneighborsClassifier,10,5,lbfgs,distance,0.9615004935834156
identity,brute,27,entropy,0,1,0,19,invscaling,70,sqrt,9,4,nnClassifier,10,10,lbfgs,distance,0.9496544916090819
identity,ball_tree,19,gini,1,1,1,37,constant,85,auto,6,20,kneighborsClassifier,9,4,adam,uniform,0.9674234945705824
logistic,auto,31,gini,1,0,0,19,constant,25,sqrt,16,10,randomForestClassifier,2,9,lbfgs,uniform,0.9674234945705824
identity,kd_tree,27,entropy,0,1,0,23,constant,4,log2,11,12,nnClassifier,1,4,adam,uniform,0.9496544916090819
tanh,brute,9,entropy,1,1,1,14,adaptive,49,auto,8,32,nnClassifier,9,8,adam,uniform,0.932872655478776
tanh,brute,8,entropy,0,1,1,13,invscaling,44,auto,18,24,randomForestClassifier,10,9,sgd,distance,0.9664363277393879
relu,ball_tree,25,gini,0,0,0,38,adaptive,62,log2,2,12,nnClassifier,4,8,lbfgs,distance,0
identity,kd_tree,31,gini,1,0,1,37,constant,50,sqrt,18,12,kneighborsClassifier,5,5,sgd,uniform,0.9674234945705824
identity,ball_tree,30,gini,0,1,0,4,constant,58,auto,10,27,kneighborsClassifier,7,6,sgd,distance,0.9674234945705824
tanh,ball_tree,11,entropy,1,0,1,7,constant,25,sqrt,2,27,nnClassifier,4,2,lbfgs,uniform,0.9348469891411648
identity,kd_tree,30,gini,0,1,0,7,invscaling,51,auto,3,30,kneighborsClassifier,5,6,adam,distance,0.9674234945705824
identity,brute,15,gini,1,1,0,3,constant,50,log2,18,18,randomForestClassifier,5,5,sgd,distance,0.9674234945705824
relu,ball_tree,27,gini,1,1,0,9,adaptive,41,auto,12,35,nnClassifier,7,9,adam,uniform,0.9496544916090819
identity,brute,16,entropy,1,0,1,2,constant,6,log2,6,27,randomForestClassifier,10,3,adam,uniform,0.9664363277393879
logistic,auto,22,entropy,0,1,1,16,adaptive,85,auto,8,8,randomForestClassifier,3,6,sgd,distance,0.9664363277393879
relu,kd_tree,14,gini,1,1,1,15,constant,27,log2,10,16,nnClassifier,7,9,adam,distance,0.9348469891411648
logistic,brute,17,gini,0,1,1,8,adaptive,56,auto,20,14,randomForestClassifier,10,7,sgd,distance,0.9664363277393879
relu,auto,25,entropy,1,1,0,16,invscaling,65,auto,4,4,randomForestClassifier,4,1,sgd,uniform,0.9674234945705824
relu,auto,29,entropy,1,0,1,31,adaptive,51,auto,4,18,kneighborsClassifier,5,4,adam,distance,0.9605133267522211
identity,ball_tree,27,entropy,0,1,0,39,constant,30,log2,4,3,nnClassifier,1,3,lbfgs,uniform,0.9496544916090819
tanh,brute,18,entropy,0,0,0,5,adaptive,31,auto,4,13,kneighborsClassifier,6,1,lbfgs,distance,0
logistic,kd_tree,15,gini,0,1,0,28,constant,98,log2,19,38,nnClassifier,3,5,sgd,distance,0.9496544916090819
logistic,kd_tree,12,gini,0,0,1,2,constant,1,sqrt,8,34,randomForestClassifier,9,8,sgd,uniform,0.9664363277393879
relu,kd_tree,28,gini,1,0,0,4,constant,67,auto,5,14,nnClassifier,3,9,sgd,distance,0.9496544916090819
logistic,auto,13,entropy,0,0,0,6,invscaling,56,log2,14,9,kneighborsClassifier,10,9,sgd,uniform,0
logistic,ball_tree,17,gini,0,0,1,13,invscaling,41,log2,10,24,nnClassifier,9,1,adam,uniform,0.9318854886475815
identity,ball_tree,20,gini,0,0,1,15,adaptive,9,log2,19,13,randomForestClassifier,1,10,adam,uniform,0.9674234945705824
tanh,kd_tree,19,entropy,0,0,0,19,invscaling,94,auto,13,30,randomForestClassifier,9,9,adam,uniform,0
identity,ball_tree,26,entropy,1,1,0,9,constant,68,log2,7,29,kneighborsClassifier,3,5,sgd,distance,0.9615004935834156
tanh,brute,9,entropy,1,1,0,23,constant,38,auto,20,15,randomForestClassifier,6,2,adam,uniform,0.9674234945705824
relu,brute,31,entropy,1,0,1,3,invscaling,81,sqrt,7,8,kneighborsClassifier,4,4,adam,uniform,0.9674234945705824
logistic,auto,17,gini,0,1,0,16,constant,1,log2,9,36,nnClassifier,6,3,adam,distance,0.9496544916090819
tanh,ball_tree,30,gini,0,0,0,23,adaptive,99,log2,9,24,randomForestClassifier,5,3,lbfgs,uniform,0
logistic,brute,31,entropy,1,1,1,3,adaptive,87,sqrt,10,31,nnClassifier,3,2,lbfgs,distance,0.932872655478776
tanh,ball_tree,19,entropy,1,1,0,4,constant,46,auto,19,33,kneighborsClassifier,3,1,sgd,distance,0.9338598223099703
identity,brute,10,entropy,1,0,1,18,constant,90,sqrt,14,6,kneighborsClassifier,6,2,sgd,distance,0.9565646594274433
logistic,auto,24,entropy,0,0,0,15,invscaling,19,log2,14,40,kneighborsClassifier,4,6,adam,distance,0
identity,auto,23,gini,0,0,0,23,invscaling,82,auto,9,15,randomForestClassifier,9,8,sgd,uniform,0
identity,ball_tree,30,entropy,1,1,1,10,constant,9,log2,19,39,randomForestClassifier,4,4,lbfgs,distance,0.9674234945705824
tanh,ball_tree,32,entropy,0,1,0,33,invscaling,96,sqrt,4,16,randomForestClassifier,2,5,sgd,distance,0.9674234945705824
logistic,brute,15,gini,1,0,0,18,constant,69,sqrt,16,21,randomForestClassifier,10,3,adam,uniform,0.9674234945705824
