activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,kd_tree,10,mae,0,1,1,1,1,1,1,1,1,0,1,1,27,constant,47,auto,6,29,randomForestRegressor,3,1,adam,distance,0.9914182678593857,1551.6037401850335
relu,ball_tree,17,mae,0,1,1,1,0,1,1,0,0,0,1,1,9,constant,70,auto,15,30,randomForestRegressor,5,3,adam,distance,0.41860807832374114,1551.603800023906
relu,ball_tree,19,mae,1,1,1,1,0,1,0,0,0,0,1,1,6,invscaling,53,auto,13,9,nnRegressor,4,8,adam,uniform,0.9996773278023777,1551.603842973942
relu,kd_tree,26,mse,0,1,1,1,0,1,1,1,1,1,1,1,21,adaptive,11,auto,10,37,randomForestRegressor,2,6,adam,distance,0.6838359284126161,1551.6038846129086
relu,kd_tree,20,mse,1,1,1,1,0,1,0,0,1,1,1,1,27,adaptive,35,auto,8,37,nnRegressor,6,1,adam,distance,0.9995058770772078,1551.6039269729517
relu,auto,13,mse,0,1,1,1,1,1,1,0,1,1,1,1,29,invscaling,62,auto,9,15,nnRegressor,5,1,adam,distance,0.9998572219331221,1551.603968512034
relu,kd_tree,16,mae,1,1,1,1,1,1,0,0,0,1,1,1,23,invscaling,48,auto,16,28,nnRegressor,4,3,adam,uniform,0.12861184245186408,1551.604009450879
relu,ball_tree,12,mse,1,1,1,1,0,1,1,1,1,0,1,1,19,constant,48,auto,11,17,randomForestRegressor,5,1,adam,distance,0.5285102459909039,1551.6040502008982
relu,kd_tree,20,mae,1,1,1,1,1,1,1,0,0,0,1,1,24,invscaling,61,auto,19,18,randomForestRegressor,5,2,adam,uniform,0.6073617780099678,1551.6040912598837
relu,kd_tree,9,mae,0,1,1,1,0,1,0,0,0,0,1,1,22,adaptive,48,auto,17,29,randomForestRegressor,4,1,adam,uniform,0.9999856559635989,1551.604131970089
relu,auto,12,mae,1,1,1,1,1,1,0,0,1,1,1,1,22,adaptive,57,auto,16,6,randomForestRegressor,5,5,adam,distance,0.6372514094247106,1551.6041726889089
relu,ball_tree,15,mse,1,1,1,1,0,1,1,0,1,1,1,1,15,adaptive,22,auto,6,12,randomForestRegressor,3,5,adam,distance,0.7127481353523962,1551.6042129090056
relu,kd_tree,21,mae,0,1,1,1,1,1,0,1,1,0,1,1,22,constant,16,auto,12,5,nnRegressor,4,5,adam,uniform,0.42858209104416023,1551.604253167985
relu,kd_tree,17,mae,0,1,1,1,0,1,0,1,1,0,1,1,34,invscaling,8,auto,17,10,randomForestRegressor,1,6,adam,uniform,0.5231733230570396,1551.6042936870363
relu,ball_tree,11,mse,1,1,1,1,1,1,0,1,1,0,1,1,31,invscaling,36,auto,18,14,randomForestRegressor,2,1,adam,uniform,0.9905413112973209,1551.604349357076
relu,ball_tree,22,mae,1,1,1,1,1,1,0,0,1,1,1,1,21,invscaling,96,auto,8,36,randomForestRegressor,3,5,adam,uniform,0.7775982220194827,1551.6043898060452
relu,kd_tree,24,mae,0,1,1,1,1,1,0,1,1,1,1,1,11,invscaling,48,auto,15,8,randomForestRegressor,5,1,adam,distance,0.7576185693615161,1551.6044297760818
relu,auto,9,mse,0,1,1,1,0,1,1,1,0,1,1,1,6,adaptive,70,auto,16,29,randomForestRegressor,6,1,adam,distance,0.7489626090668464,1551.6044694948941
relu,ball_tree,23,mse,1,1,1,1,1,1,0,0,1,1,1,1,7,adaptive,6,auto,12,32,nnRegressor,5,6,adam,uniform,0.518892524561924,1551.6045098640025
relu,kd_tree,11,mse,1,1,1,1,0,1,0,1,1,0,1,1,24,adaptive,28,auto,12,32,nnRegressor,4,1,adam,uniform,0.5656621943876023,1551.604549834039
relu,auto,12,mse,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,43,auto,8,25,nnRegressor,2,3,adam,distance,0.9999924696245367,6500.849140056875
relu,auto,13,mse,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,66,auto,11,26,nnRegressor,1,6,adam,distance,0.9999859997020244,6500.849196776049
relu,auto,15,mse,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,49,auto,9,10,nnRegressor,4,4,adam,distance,0.9995370627510031,6500.849239184987
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,15,auto,10,33,nnRegressor,4,2,adam,distance,0.9999668224647204,6500.849280314986
relu,auto,16,mse,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,31,auto,9,33,nnRegressor,2,3,adam,distance,0.9995130173045227,6500.849326483905
relu,auto,15,mse,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,58,auto,5,11,nnRegressor,7,5,adam,distance,0.9997259870014863,6500.849367602961
relu,auto,12,mse,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,44,auto,12,25,nnRegressor,2,4,adam,distance,0.9981123956152628,6500.849407922942
relu,auto,11,mse,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,44,auto,7,13,nnRegressor,2,1,adam,distance,0.9999728236948189,6500.849447991932
relu,auto,16,mse,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,57,auto,17,19,nnRegressor,1,6,adam,distance,0.9999821937897941,6500.849488202017
relu,auto,13,mse,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,44,auto,13,25,nnRegressor,2,2,adam,distance,0.9999856559635989,6500.8495284509845
relu,auto,11,mse,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,53,auto,12,10,nnRegressor,3,3,adam,distance,0.9999888787050065,6500.849568890873
