activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,22,mse,1,0,1,0,1,0,1,1,1,1,1,1,17,constant,75,log2,10,18,nnRegressor,1,6,adam,uniform,0.8913962477911801,132.55665086000226
tanh,ball_tree,15,mse,1,0,1,1,1,0,1,1,0,1,1,0,32,constant,16,sqrt,3,26,nnRegressor,1,2,adam,uniform,0.9983188156970363,132.55671121901833
relu,ball_tree,25,mse,0,1,1,0,1,0,1,1,0,0,1,0,13,invscaling,55,log2,10,25,nnRegressor,8,7,lbfgs,uniform,0.8480176027758333,132.55675382795744
identity,auto,24,mse,0,0,1,0,1,0,1,1,0,0,1,1,32,adaptive,71,sqrt,8,26,nnRegressor,3,7,sgd,uniform,0.05825739024406462,132.55679574701935
tanh,ball_tree,27,mse,1,1,1,1,1,1,1,1,1,0,1,0,17,constant,89,sqrt,2,29,nnRegressor,1,5,adam,uniform,0.986066742567118,132.55684926593676
tanh,ball_tree,14,mse,0,1,1,0,1,1,1,1,1,0,1,1,34,invscaling,64,auto,13,25,nnRegressor,1,5,lbfgs,distance,0.9997016882798935,132.55689141480252
tanh,ball_tree,16,mse,0,0,1,1,1,1,1,1,1,0,1,0,6,adaptive,38,sqrt,7,26,nnRegressor,1,9,sgd,distance,0.6403100038027744,132.55693334480748
identity,ball_tree,14,mse,0,0,1,0,1,0,1,1,0,0,1,0,32,adaptive,56,log2,3,26,nnRegressor,1,7,lbfgs,uniform,0.9999999703168491,132.55697425385006
identity,ball_tree,10,mse,0,0,1,0,1,0,1,1,0,0,1,1,10,constant,68,auto,4,16,nnRegressor,1,8,sgd,distance,0.09282655910902515,132.55701541295275
identity,ball_tree,20,mse,0,0,1,0,1,0,1,1,0,0,1,0,28,constant,71,auto,3,14,nnRegressor,2,5,sgd,uniform,0.9972650897911909,132.55705706193112
tanh,ball_tree,24,mse,0,0,1,1,1,1,1,1,0,1,1,1,31,adaptive,63,sqrt,3,27,nnRegressor,6,10,sgd,uniform,0.9914064076468309,132.5570977309253
relu,ball_tree,17,mse,1,1,1,1,1,0,1,1,0,1,1,1,18,invscaling,19,log2,3,21,nnRegressor,2,7,lbfgs,uniform,0.9967374204210353,132.5571380299516
identity,ball_tree,20,mse,1,0,1,1,1,0,1,1,1,1,1,1,31,invscaling,95,auto,3,8,nnRegressor,2,9,adam,uniform,0.9998130760420167,132.55717904982157
identity,ball_tree,13,mse,1,0,1,0,1,0,1,1,1,1,1,1,9,adaptive,7,auto,6,16,nnRegressor,2,4,lbfgs,uniform,0.34634443530017645,132.5572201088071
identity,ball_tree,11,mse,1,0,1,0,1,0,1,1,0,0,1,0,30,constant,65,log2,6,32,nnRegressor,3,6,sgd,uniform,0.9968431857232963,132.55726094800048
relu,ball_tree,20,mse,0,1,1,1,1,1,1,1,1,1,1,1,31,constant,52,log2,14,16,nnRegressor,4,4,sgd,distance,0.5646554774879187,132.55730134691112
identity,auto,13,mse,0,0,1,0,1,0,1,1,1,0,1,0,18,constant,63,auto,6,8,nnRegressor,6,7,lbfgs,uniform,0.34764337108080945,132.55734181590378
tanh,ball_tree,20,mse,1,0,1,0,1,0,1,1,1,0,1,0,33,invscaling,61,sqrt,16,24,nnRegressor,1,6,sgd,distance,0.2953092966158366,132.55738242482767
