activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,ball_tree,13,mae,1,1,1,1,0,1,0,1,1,1,1,1,8,invscaling,62,auto,4,30,nnRegressor,4,8,adam,distance,0.500787518545552,2161.508032992948
relu,ball_tree,11,mae,0,1,1,1,1,1,1,1,0,1,1,1,6,invscaling,21,log2,8,29,nnRegressor,10,7,sgd,distance,0.503851110502514,2161.508092280943
logistic,ball_tree,10,mae,0,0,1,1,0,0,0,1,0,1,0,0,8,invscaling,43,log2,4,4,nnRegressor,4,7,lbfgs,distance,0.999825117641086,2161.508135380922
relu,ball_tree,28,mae,1,1,1,1,1,1,0,1,1,1,1,0,15,invscaling,75,log2,3,14,nnRegressor,4,6,lbfgs,distance,0.7987634807568582,2161.5081775700673
tanh,ball_tree,10,mae,1,1,1,1,1,0,0,1,0,1,0,0,6,constant,43,log2,4,4,nnRegressor,5,8,lbfgs,distance,0.45248472670825735,2161.508220629068
logistic,ball_tree,16,mae,1,1,1,1,0,1,1,1,1,1,0,1,24,invscaling,73,auto,11,28,nnRegressor,4,6,adam,distance,0.7611738186936328,2161.5082631579135
logistic,ball_tree,12,mse,0,1,1,1,1,1,1,1,0,1,1,1,25,invscaling,69,auto,16,4,nnRegressor,3,7,lbfgs,distance,0.4791446190648714,2161.5083052979317
logistic,ball_tree,17,mae,0,0,1,1,0,0,0,1,0,1,1,1,8,constant,35,sqrt,7,4,nnRegressor,4,7,adam,distance,0.22006313585053017,2161.5083471469115
identity,auto,17,mae,1,1,1,1,0,1,0,1,0,1,0,1,22,constant,46,auto,12,29,nnRegressor,3,5,lbfgs,distance,0.49095392786662384,2161.508389486
relu,auto,26,mae,0,1,1,1,1,1,1,1,1,1,1,0,7,constant,44,auto,11,14,nnRegressor,4,6,lbfgs,distance,0.5995814704741044,2161.508431016002
relu,ball_tree,24,mae,0,0,1,1,1,0,0,1,0,1,0,0,29,invscaling,5,log2,4,13,nnRegressor,3,7,lbfgs,distance,0.3689148984923889,2161.5084721450694
