activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,ball_tree,25,mse,1,1,1,0,1,1,1,1,0,0,1,0,32,constant,53,auto,8,29,nnRegressor,7,4,adam,distance,0.5085305526079211,671.7291880131233
tanh,ball_tree,19,mse,1,1,1,1,1,1,1,1,0,1,1,1,31,invscaling,69,auto,7,4,nnRegressor,4,5,adam,distance,0.5100294715349696,671.7292470030952
tanh,ball_tree,20,mse,1,1,1,1,1,1,1,1,1,1,1,0,8,invscaling,93,auto,8,9,nnRegressor,2,7,adam,distance,0.5816258115549321,671.7292898821179
relu,auto,23,mse,0,0,1,0,1,1,1,1,0,1,1,0,29,invscaling,85,auto,6,19,nnRegressor,1,7,adam,distance,0.9979903827203666,671.7293316519354
tanh,ball_tree,12,mse,0,0,1,0,1,1,1,1,0,1,0,0,20,invscaling,26,auto,10,32,nnRegressor,1,8,adam,distance,0.3496378953977326,671.7293745120987
tanh,auto,22,mse,0,1,1,1,1,1,1,1,0,0,0,0,25,constant,66,auto,9,25,nnRegressor,1,7,adam,distance,0.7301116153278184,671.7294165410567
relu,ball_tree,28,mse,0,0,1,1,1,1,1,1,0,0,1,0,24,invscaling,52,auto,12,5,nnRegressor,2,5,adam,distance,0.4098754973266543,671.729458241025
relu,ball_tree,22,mse,0,1,1,0,1,1,1,1,0,1,1,0,26,invscaling,70,auto,14,31,nnRegressor,4,6,adam,distance,0.4427774148942213,671.729499330977
tanh,ball_tree,16,mse,1,1,1,1,1,1,1,1,1,0,0,1,25,invscaling,79,auto,9,26,nnRegressor,6,7,adam,distance,0.9956102998457568,671.7295406800695
tanh,ball_tree,18,mse,0,1,1,1,1,1,1,1,1,0,1,0,27,invscaling,9,auto,7,10,nnRegressor,8,8,adam,distance,0.14219636543734349,671.7295818300918
tanh,ball_tree,19,mse,0,0,1,1,1,1,1,1,1,0,1,1,27,invscaling,71,auto,9,28,nnRegressor,2,7,adam,distance,0.984746687705513,671.7296228189953
relu,ball_tree,23,mse,0,0,1,0,1,1,1,1,0,0,0,1,27,invscaling,83,auto,12,35,nnRegressor,1,7,adam,distance,0.3917868168619265,671.7296635590028
tanh,ball_tree,32,mse,1,1,1,1,1,1,1,1,1,0,0,1,13,invscaling,81,auto,14,32,nnRegressor,3,7,adam,distance,0.10977289825406167,671.7297153689433
tanh,ball_tree,24,mse,1,1,1,0,1,1,1,1,0,1,0,1,27,invscaling,79,auto,8,7,nnRegressor,1,7,adam,distance,0.48131002801843914,671.7297564281616
tanh,ball_tree,20,mse,0,1,1,0,1,1,1,1,1,0,0,0,24,invscaling,48,auto,16,34,nnRegressor,2,6,adam,distance,0.44121312778087374,671.7297971281223
tanh,auto,32,mse,0,1,1,0,1,1,1,1,1,0,1,1,9,invscaling,87,auto,10,14,nnRegressor,6,5,adam,distance,0.4875296314831149,671.729837707011
tanh,auto,32,mse,0,0,1,1,1,1,1,1,1,0,0,0,26,invscaling,96,auto,9,24,nnRegressor,2,7,adam,distance,0.5634165137033034,671.72987839696
tanh,ball_tree,23,mse,0,0,1,1,1,1,1,1,0,1,1,1,6,constant,27,auto,10,20,nnRegressor,2,6,adam,distance,0.23237139587172773,671.7299195670057
