,feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
1,1,1,0,0,nnClassifier,tanh,None,18,None,None,invscaling,None,None,None,None,6,None,lbfgs,None,0.5127314814814815,ok,5.201284866780043
2,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,12,log2,15,9,None,None,None,None,1.0,ok,5.702777499798685
3,1,0,0,0,kneighborsClassifier,None,brute,None,None,34,None,None,None,None,None,None,10,None,distance,0.9421296296296297,ok,5.828490699874237
4,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,27,log2,8,25,None,None,None,None,1.0,ok,6.411723795812577
5,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,68,sqrt,19,10,None,None,None,None,1.0,ok,6.987566383788362
6,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,3,sqrt,16,27,None,None,None,None,1.0,ok,7.488737151958048
7,0,1,1,1,nnClassifier,identity,None,9,None,None,invscaling,None,None,None,None,5,None,adam,None,0.4722222222222222,ok,17.670997702982277
8,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,31,None,None,None,None,None,None,2,None,distance,0.5486111111111112,ok,17.757125740870833
9,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,70,auto,19,32,None,None,None,None,0.7905092592592593,ok,18.51407465292141
10,1,0,1,1,nnClassifier,logistic,None,13,None,None,adaptive,None,None,None,None,5,None,sgd,None,0.5127314814814815,ok,44.95287949289195
11,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,17,log2,7,15,None,None,None,None,0.5960648148148148,ok,46.33396318391897
12,1,0,1,0,nnClassifier,identity,None,17,None,None,adaptive,None,None,None,None,5,None,sgd,None,0.5115740740740741,ok,57.24128238996491
13,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,86,log2,13,26,None,None,None,None,0.6006944444444444,ok,58.24794178688899
14,1,0,1,1,nnClassifier,relu,None,18,None,None,adaptive,None,None,None,None,6,None,sgd,None,0.5150462962962963,ok,78.17773727094755
15,0,1,1,1,nnClassifier,relu,None,16,None,None,constant,None,None,None,None,2,None,sgd,None,0.5,ok,99.89953702897765
16,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,25,None,None,None,None,None,None,9,None,uniform,0.9548611111111112,ok,99.95428756787442
17,0,1,1,1,nnClassifier,identity,None,13,None,None,adaptive,None,None,None,None,8,None,lbfgs,None,0.4722222222222222,ok,100.19436923484318
18,0,1,1,0,kneighborsClassifier,None,brute,None,None,14,None,None,None,None,None,None,9,None,distance,0.6736111111111112,ok,100.43409707699902
19,0,1,0,1,nnClassifier,logistic,None,26,None,None,adaptive,None,None,None,None,9,None,adam,None,0.4722222222222222,ok,105.33038125396706
20,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,3,sqrt,15,40,None,None,None,None,1.0,ok,105.74100569379516
21,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,2,sqrt,13,2,None,None,None,None,0.9988425925925926,ok,106.16464356891811
22,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,37,log2,7,18,None,None,None,None,1.0,ok,106.61664061085321
23,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,36,auto,2,39,None,None,None,None,1.0,ok,107.06722775800154
24,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,46,auto,4,3,None,None,None,None,1.0,ok,107.56684916792437
25,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,55,auto,2,3,None,None,None,None,1.0,ok,108.06758755794726
26,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,58,auto,6,17,None,None,None,None,1.0,ok,108.64302838593721
27,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,54,auto,4,9,None,None,None,None,1.0,ok,109.14130589994602
28,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,95,auto,2,7,None,None,None,None,1.0,ok,109.63718191790394
29,1,0,0,1,kneighborsClassifier,None,ball_tree,None,None,5,None,None,None,None,None,None,2,None,uniform,1.0,ok,109.70690141594969
30,1,0,0,0,kneighborsClassifier,None,ball_tree,None,None,3,None,None,None,None,None,None,1,None,uniform,0.9166666666666666,ok,109.77186368079856
31,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,37,auto,2,39,None,None,None,None,1.0,ok,110.21130669000559
32,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,43,auto,4,33,None,None,None,None,0.9618055555555556,ok,111.36028903978877
33,1,0,0,1,kneighborsClassifier,None,auto,None,None,3,None,None,None,None,None,None,5,None,uniform,1.0,ok,111.4322554578539
34,1,0,0,1,kneighborsClassifier,None,auto,None,None,15,None,None,None,None,None,None,5,None,uniform,1.0,ok,111.50166261196136
35,1,0,0,0,kneighborsClassifier,None,auto,None,None,14,None,None,None,None,None,None,5,None,uniform,0.9594907407407407,ok,111.56465060194023
36,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,24,sqrt,17,40,None,None,None,None,1.0,ok,112.01015613088384
37,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,20,sqrt,17,35,None,None,None,None,1.0,ok,112.4275916388724
38,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,28,log2,10,20,None,None,None,None,1.0,ok,112.88487873389386
39,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,29,log2,10,22,None,None,None,None,1.0,ok,113.33692835480906
40,1,0,0,0,kneighborsClassifier,None,auto,None,None,3,None,None,None,None,None,None,7,None,uniform,0.9560185185185185,ok,113.40212067496032
41,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,9,sqrt,10,29,None,None,None,None,1.0,ok,113.81288025295362
42,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,9,sqrt,13,23,None,None,None,None,0.6990740740740741,ok,114.13688414078206
43,1,1,0,0,kneighborsClassifier,None,auto,None,None,22,None,None,None,None,None,None,7,None,uniform,0.9722222222222222,ok,114.19893737789243
44,1,0,0,1,kneighborsClassifier,None,auto,None,None,14,None,None,None,None,None,None,3,None,uniform,1.0,ok,114.26515637990087
45,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,46,log2,5,14,None,None,None,None,0.6400462962962963,ok,115.85909723886289
46,1,0,1,1,nnClassifier,tanh,None,31,None,None,constant,None,None,None,None,2,None,adam,None,0.5150462962962963,ok,123.63109198398888
47,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
48,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,66,auto,3,37,None,None,None,None,1.0,ok,124.20917293382809
49,1,1,0,1,nnClassifier,logistic,None,32,None,None,invscaling,None,None,None,None,1,None,lbfgs,None,0.5162037037037037,ok,124.78084321087226
50,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,9,None,None,None,None,None,None,7,None,uniform,0.7604166666666666,ok,124.94629951682873
51,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,37,None,None,None,None,None,None,2,None,distance,0.9756944444444444,ok,124.98982283985242
52,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,79,sqrt,14,5,None,None,None,None,1.0,ok,125.47126550786197
53,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,58,auto,6,15,None,None,None,None,0.7962962962962963,ok,126.59539398900233
54,1,1,0,1,nnClassifier,relu,None,27,None,None,constant,None,None,None,None,3,None,adam,None,0.5173611111111112,ok,133.35727654979564
55,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,32,log2,9,9,None,None,None,None,0.9837962962962963,ok,134.09182150894776
56,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,50,log2,8,18,None,None,None,None,0.7997685185185185,ok,135.23997700493783
57,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,98,auto,3,6,None,None,None,None,1.0,ok,135.7552968109958
58,1,1,0,1,nnClassifier,identity,None,8,None,None,invscaling,None,None,None,None,9,None,lbfgs,None,0.5162037037037037,ok,136.05245231394656
59,1,0,1,1,kneighborsClassifier,None,ball_tree,None,None,8,None,None,None,None,None,None,1,None,uniform,0.9837962962962963,ok,136.1160255339928
60,0,1,0,0,kneighborsClassifier,None,ball_tree,None,None,19,None,None,None,None,None,None,3,None,uniform,0.5902777777777778,ok,136.1839642149862
61,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,42,log2,7,12,None,None,None,None,1.0,ok,136.65768130286597
62,1,0,0,1,kneighborsClassifier,None,brute,None,None,26,None,None,None,None,None,None,6,None,uniform,1.0,ok,136.8125194318127
63,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,62,auto,4,29,None,None,None,None,1.0,ok,137.52004513982683
64,0,1,0,0,nnClassifier,relu,None,23,None,None,constant,None,None,None,None,10,None,adam,None,0.5150462962962963,ok,157.26547359488904
