,feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,0,1,kneighborsClassifier,None,kd_tree,None,None,6,None,None,None,None,None,None,1,None,distance,1.0,ok,0.0509681710973382
1,1,1,1,0,nnClassifier,identity,None,24.0,None,None,invscaling,None,None,None,None,4.0,None,sgd,None,0.5162037037037037,ok,1.1924819680862129
2,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,77.0,auto,12.0,36.0,None,None,None,None,1.0,ok,1.808858378091827
3,0,1,1,0,nnClassifier,tanh,None,20.0,None,None,constant,None,None,None,None,9.0,None,adam,None,0.5115740740740741,ok,11.636851544026285
4,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,11,None,None,None,None,None,None,8,None,distance,0.9594907407407407,ok,11.665979142067954
5,0,0,1,0,kneighborsClassifier,None,brute,None,None,10,None,None,None,None,None,None,3,None,uniform,0.6076388888888888,ok,11.778567394940183
6,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,12.0,auto,16.0,29.0,None,None,None,None,0.7013888888888888,ok,12.755531127098948
7,1,1,1,0,nnClassifier,relu,None,12.0,None,None,adaptive,None,None,None,None,6.0,None,sgd,None,0.5243055555555556,ok,41.056841454003006
8,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,81.0,auto,8.0,14.0,None,None,None,None,0.6180555555555556,ok,42.484689527889714
9,1,1,1,1,kneighborsClassifier,None,auto,None,None,8,None,None,None,None,None,None,6,None,distance,0.9849537037037037,ok,42.5175494949799
10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
11,1,0,0,1,kneighborsClassifier,None,brute,None,None,11,None,None,None,None,None,None,8,None,distance,1.0,ok,42.64407910290174
12,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,41.0,log2,8.0,11.0,None,None,None,None,0.9872685185185185,ok,43.475630382075906
13,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,12.0,log2,8.0,3.0,None,None,None,None,0.7118055555555556,ok,43.774085582001135
14,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,9,None,None,None,None,None,None,2,None,distance,0.9872685185185185,ok,43.80346887791529
15,0,1,1,1,nnClassifier,relu,None,29.0,None,None,adaptive,None,None,None,None,6.0,None,adam,None,0.5069444444444444,ok,54.99632624001242
16,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,18.0,sqrt,15.0,7.0,None,None,None,None,0.6365740740740741,ok,55.90546904504299
17,1,1,0,1,kneighborsClassifier,None,auto,None,None,21,None,None,None,None,None,None,9,None,distance,1.0,ok,55.938766550971195
18,0,1,0,0,kneighborsClassifier,None,kd_tree,None,None,17,None,None,None,None,None,None,4,None,uniform,0.6388888888888888,ok,55.98500777198933
19,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,22,None,None,None,None,None,None,3,None,distance,0.9884259259259259,ok,56.01377117889933
20,1,0,0,1,kneighborsClassifier,None,auto,None,None,34,None,None,None,None,None,None,10,None,distance,1.0,ok,56.05950014595874
21,1,0,0,1,kneighborsClassifier,None,auto,None,None,27,None,None,None,None,None,None,10,None,distance,1.0,ok,56.10460132895969
22,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,2,None,None,None,None,None,None,6,None,distance,1.0,ok,56.15028037689626
23,1,0,0,1,kneighborsClassifier,None,ball_tree,None,None,38,None,None,None,None,None,None,5,None,distance,1.0,ok,56.19636175897904
24,1,0,0,1,kneighborsClassifier,None,auto,None,None,28,None,None,None,None,None,None,7,None,uniform,1.0,ok,56.260093074059114
25,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,2,None,None,None,None,None,None,6,None,distance,1.0,ok,56.37363675003871
26,1,0,0,1,kneighborsClassifier,None,ball_tree,None,None,37,None,None,None,None,None,None,1,None,distance,1.0,ok,56.41781778400764
27,1,0,0,1,kneighborsClassifier,None,auto,None,None,31,None,None,None,None,None,None,7,None,uniform,1.0,ok,56.48176948609762
28,1,1,0,1,nnClassifier,logistic,None,9.0,None,None,invscaling,None,None,None,None,1.0,None,lbfgs,None,0.5081018518518519,ok,57.28625186509453
29,1,0,0,1,kneighborsClassifier,None,ball_tree,None,None,40,None,None,None,None,None,None,1,None,distance,1.0,ok,57.331607026048005
30,1,0,0,1,kneighborsClassifier,None,auto,None,None,28,None,None,None,None,None,None,8,None,uniform,1.0,ok,57.396343579981476
31,1,0,0,1,nnClassifier,logistic,None,32.0,None,None,adaptive,None,None,None,None,10.0,None,lbfgs,None,0.5081018518518519,ok,58.856581057887524
32,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,2,None,None,None,None,None,None,5,None,distance,1.0,ok,58.90535474102944
33,1,0,0,1,kneighborsClassifier,None,brute,None,None,16,None,None,None,None,None,None,9,None,uniform,1.0,ok,59.057413534028456
34,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,96.0,sqrt,2.0,23.0,None,None,None,None,1.0,ok,59.450271223904565
35,1,1,0,1,nnClassifier,tanh,None,27.0,None,None,invscaling,None,None,None,None,9.0,None,lbfgs,None,0.5081018518518519,ok,60.11312895291485
36,1,0,0,0,kneighborsClassifier,None,brute,None,None,15,None,None,None,None,None,None,9,None,uniform,0.9421296296296297,ok,60.27248221402988
37,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,47.0,sqrt,20.0,36.0,None,None,None,None,1.0,ok,60.74278648500331
38,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,100.0,sqrt,2.0,21.0,None,None,None,None,0.7627314814814815,ok,61.61326745408587
39,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,32,None,None,None,None,None,None,2,None,distance,0.9178240740740741,ok,61.65409063594416
40,0,0,0,1,nnClassifier,tanh,None,14.0,None,None,constant,None,None,None,None,1.0,None,adam,None,0.47685185185185186,ok,75.822067738045
41,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,46.0,sqrt,20.0,39.0,None,None,None,None,0.9664351851851852,ok,76.4974808760453
42,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,64.0,sqrt,20.0,32.0,None,None,None,None,1.0,ok,76.96423850697465
43,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,30.0,sqrt,17.0,28.0,None,None,None,None,0.8113425925925926,ok,77.68998984992504
44,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,65.0,log2,12.0,40.0,None,None,None,None,0.9791666666666666,ok,78.33949045999907
45,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,65.0,sqrt,5.0,30.0,None,None,None,None,1.0,ok,78.8024555130396
46,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,30.0,auto,18.0,15.0,None,None,None,None,0.8101851851851852,ok,79.51901890896261
47,1,0,0,0,kneighborsClassifier,None,auto,None,None,24,None,None,None,None,None,None,10,None,distance,0.9328703703703703,ok,79.56031204597093
48,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,26,None,None,None,None,None,None,4,None,distance,0.7118055555555556,ok,79.6582658959087
49,1,0,1,1,nnClassifier,identity,None,22.0,None,None,constant,None,None,None,None,8.0,None,lbfgs,None,0.5081018518518519,ok,79.89820530288853
50,1,0,0,0,kneighborsClassifier,None,auto,None,None,5,None,None,None,None,None,None,2,None,distance,0.9189814814814815,ok,79.94028166006319
51,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,18,None,None,None,None,None,None,4,None,distance,0.7118055555555556,ok,80.04205862805247
52,1,0,1,1,kneighborsClassifier,None,auto,None,None,13,None,None,None,None,None,None,7,None,distance,0.9884259259259259,ok,80.08830706891604
53,1,0,0,1,kneighborsClassifier,None,ball_tree,None,None,26,None,None,None,None,None,None,3,None,distance,1.0,ok,80.1378259928897
54,1,0,0,0,nnClassifier,logistic,None,9.0,None,None,invscaling,None,None,None,None,3.0,None,sgd,None,0.5601851851851852,ok,83.25987785705365
55,0,1,0,1,kneighborsClassifier,None,kd_tree,None,None,5,None,None,None,None,None,None,6,None,distance,0.6539351851851852,ok,83.31413072790019
