,feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
72,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,1,sqrt,3,22,None,None,None,None,1.0,ok,143.93231995985843
73,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,8,sqrt,4,22,None,None,None,None,1.0,ok,144.48245755885728
74,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,80,auto,4,26,None,None,None,None,1.0,ok,145.03473117086105
75,1,1,0,1,kneighborsClassifier,None,brute,None,None,20.0,None,None,None,None,None,None,6.0,None,uniform,1.0,ok,145.21038727485575
76,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,59,auto,5,30,None,None,None,None,1.0,ok,145.76478306087665
77,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,95,auto,6,27,None,None,None,None,1.0,ok,146.31900633894838
78,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,87,auto,18,35,None,None,None,None,1.0,ok,146.79900381504558
79,0,0,1,0,nnClassifier,identity,None,13.0,None,None,constant,None,None,None,None,9.0,None,lbfgs,None,0.5358796296296297,ok,146.9067217670381
80,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,52,log2,9,4,None,None,None,None,1.0,ok,147.39146674005315
81,1,1,1,1,kneighborsClassifier,None,auto,None,None,10.0,None,None,None,None,None,None,10.0,None,distance,0.9745370370370371,ok,147.44060763786547
82,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,45,log2,13,2,None,None,None,None,1.0,ok,147.92614221805707
83,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,44,log2,13,2,None,None,None,None,0.9039351851851852,ok,148.64572324883193
84,0,0,1,1,nnClassifier,relu,None,28.0,None,None,adaptive,None,None,None,None,7.0,None,sgd,None,0.5208333333333334,ok,162.20454532001168
85,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,30,log2,12,11,None,None,None,None,1.0,ok,162.6869280738756
86,1,0,1,1,kneighborsClassifier,None,brute,None,None,26.0,None,None,None,None,None,None,1.0,None,uniform,0.9814814814814815,ok,162.78801392088644
87,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,32,log2,12,5,None,None,None,None,1.0,ok,163.27127004996873
88,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,35,log2,14,5,None,None,None,None,0.6435185185185185,ok,164.2023845128715
