activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
logistic,ball_tree,11,gini,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,8,constant,46,auto,18,39,nnClassifier,2,10,sgd,distance,0.9921875,186.58481906889938
relu,ball_tree,17,gini,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,8,constant,47,auto,13,20,nnClassifier,2,10,adam,distance,0.98828125,186.5848901879508
identity,ball_tree,27,gini,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,24,constant,52,auto,18,29,nnClassifier,1,7,sgd,distance,0.009765625,186.58494132687338
tanh,ball_tree,20,gini,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,17,constant,79,auto,10,39,nnClassifier,1,5,adam,distance,0.990234375,186.5849919358734
logistic,ball_tree,26,gini,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,33,constant,47,auto,14,22,nnClassifier,4,9,adam,distance,0.013671875,186.58504152484238
relu,ball_tree,19,gini,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,17,constant,56,auto,9,8,nnClassifier,2,9,adam,distance,0.015625,186.5851250239648
relu,auto,11,gini,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,22,constant,78,auto,13,15,nnClassifier,4,2,sgd,distance,0.482421875,186.58517465298064
relu,ball_tree,13,gini,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,23,constant,17,auto,18,38,nnClassifier,1,6,sgd,distance,0.9921875,186.5852239918895
tanh,ball_tree,19,gini,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,34,constant,22,auto,9,34,nnClassifier,1,10,sgd,distance,0.01171875,186.58527298085392
tanh,ball_tree,20,gini,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,17,constant,43,auto,19,15,nnClassifier,2,8,adam,distance,0.044921875,186.58532196097076
tanh,ball_tree,12,gini,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,13,constant,17,auto,19,28,nnClassifier,5,5,sgd,distance,0.009765625,186.5853705299087
identity,ball_tree,12,gini,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,22,constant,27,auto,18,16,nnClassifier,5,8,adam,distance,0.091796875,186.58541929884814
