activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,22,gini,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,16,invscaling,6,auto,3,30,nnClassifier,5,4,sgd,distance,0.0234375,99.7046735889744
tanh,auto,12,gini,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,14,invscaling,29,auto,6,32,nnClassifier,6,5,sgd,distance,0.015625,99.70475173788145
tanh,auto,14,gini,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,20,invscaling,77,auto,6,10,nnClassifier,6,3,sgd,distance,0.005859375,99.70480427681468
tanh,auto,24,gini,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,6,invscaling,40,auto,12,14,nnClassifier,6,6,sgd,distance,0.994140625,99.70485580596142
relu,auto,25,gini,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,13,invscaling,90,auto,16,13,nnClassifier,4,7,adam,distance,0.02734375,99.70490752486512
tanh,auto,19,gini,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,19,constant,79,auto,4,32,nnClassifier,3,4,sgd,distance,0.666015625,99.70495903398842
tanh,auto,11,gini,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,7,invscaling,39,auto,14,6,nnClassifier,5,5,adam,distance,0.994140625,99.70501017197967
tanh,auto,14,gini,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,20,invscaling,55,auto,15,14,nnClassifier,3,3,sgd,distance,0.00390625,99.70506140077487
tanh,auto,28,gini,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,25,invscaling,45,auto,13,16,nnClassifier,5,4,sgd,distance,0.005859375,99.7051129899919
tanh,auto,24,gini,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,21,invscaling,83,auto,3,30,nnClassifier,5,3,adam,distance,0.994140625,99.70516361878254
tanh,auto,27,gini,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,17,invscaling,10,auto,10,9,nnClassifier,5,7,sgd,distance,0.01953125,99.70521447784267
tanh,auto,10,gini,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,16,invscaling,23,auto,2,16,nnClassifier,4,4,sgd,distance,0.998046875,99.70526525680907
tanh,auto,13,gini,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,36,constant,40,auto,13,16,nnClassifier,4,2,adam,distance,0.00390625,99.7053272058256
tanh,auto,17,gini,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,36,invscaling,24,auto,3,17,nnClassifier,4,6,adam,distance,0.005859375,99.7053781549912
tanh,auto,25,gini,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,32,invscaling,39,auto,8,20,nnClassifier,6,3,adam,distance,0.009765625,99.70542830391787
tanh,auto,15,gini,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,32,invscaling,24,auto,14,29,nnClassifier,6,4,sgd,distance,0.005859375,99.70547767286189
tanh,auto,12,gini,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,7,constant,56,auto,5,22,nnClassifier,4,2,sgd,distance,0.994140625,99.70552872191183
tanh,auto,13,gini,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,16,invscaling,40,auto,6,20,nnClassifier,3,4,sgd,distance,0.212890625,99.70557801099494
tanh,auto,14,gini,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,7,invscaling,79,auto,3,17,nnClassifier,8,3,adam,distance,0.662109375,99.70562708983198
relu,auto,9,gini,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,16,invscaling,53,auto,3,12,nnClassifier,4,4,adam,distance,0.0234375,99.70567636890337
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,10,auto,2,26,nnClassifier,3,4,adam,distance,0.998046875,550.9326556588057
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,25,auto,3,28,nnClassifier,4,5,adam,distance,0.998046875,550.9327314379625
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,73,auto,2,14,nnClassifier,2,1,adam,distance,0.998046875,550.9327834767755
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,36,auto,8,18,nnClassifier,3,2,adam,distance,0.998046875,550.9328346659895
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,86,auto,12,17,nnClassifier,4,4,adam,distance,0.998046875,550.9328853848856
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,75,auto,2,28,nnClassifier,2,4,adam,distance,0.9921875,550.9329364339355
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,constant,35,auto,10,10,nnClassifier,9,1,adam,distance,0.9921875,550.9329871728551
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,51,auto,11,17,nnClassifier,4,4,adam,distance,0.998046875,550.9330373317935
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,41,auto,9,17,nnClassifier,5,5,adam,distance,0.998046875,550.9330880008638
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,79,auto,7,26,nnClassifier,4,4,adam,distance,0.9921875,550.9331381299999
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,14,auto,7,13,nnClassifier,2,3,adam,distance,0.998046875,550.9331887487788
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,23,auto,2,16,nnClassifier,4,4,adam,distance,0.998046875,550.9332383878063
relu,auto,9,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,36,auto,9,17,nnClassifier,4,2,adam,distance,0.994140625,550.9332879369613
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,20,auto,2,17,nnClassifier,4,2,adam,distance,0.9921875,550.9333620159887
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,35,auto,4,17,nnClassifier,2,3,adam,distance,0.994140625,550.9334119549021
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,25,auto,10,25,nnClassifier,3,2,adam,distance,0.998046875,550.9334611739032
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,52,auto,4,18,nnClassifier,4,1,adam,distance,0.994140625,550.9335104329512
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,36,auto,3,16,nnClassifier,5,4,adam,distance,0.998046875,550.9335598819889
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,75,auto,2,19,nnClassifier,4,2,adam,distance,0.994140625,550.9336090409197
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,49,auto,3,16,nnClassifier,6,4,adam,distance,0.9921875,550.9336582799442
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,14,auto,2,22,nnClassifier,6,4,adam,distance,0.99609375,816.6797361229546
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,26,auto,4,24,nnClassifier,5,4,adam,distance,0.99609375,816.6798066219781
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,69,auto,3,13,nnClassifier,4,5,adam,distance,0.99609375,816.6798573508859
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,40,auto,4,14,nnClassifier,6,6,adam,distance,0.99609375,816.6799074898008
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,82,auto,16,13,nnClassifier,4,4,adam,distance,0.99609375,816.6799569788855
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,71,auto,2,24,nnClassifier,5,4,adam,distance,0.998046875,816.6800066279247
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,constant,31,auto,6,14,nnClassifier,7,2,adam,distance,0.99609375,816.6800561668351
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,47,auto,11,14,nnClassifier,4,4,adam,distance,0.99609375,816.6801055260003
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,37,auto,11,15,nnClassifier,5,2,adam,distance,0.99609375,816.6801546448842
