activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,87,auto,18,3,nnClassifier,10,5,adam,distance,0.994140625,381.13189345085993
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,44,auto,18,12,nnClassifier,9,8,adam,distance,0.994140625,381.13194284099154
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,constant,62,auto,11,9,nnClassifier,9,7,adam,distance,0.9921875,381.13199207000434
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,48,auto,19,30,nnClassifier,9,8,adam,distance,0.998046875,381.13204143894836
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,48,auto,18,36,nnClassifier,5,6,adam,distance,0.990234375,381.1321014689747
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,88,auto,19,5,nnClassifier,9,7,adam,distance,0.998046875,381.13215095805936
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,44,auto,18,11,nnClassifier,9,6,adam,distance,0.9921875,381.13220019685104
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,67,auto,15,28,nnClassifier,7,6,adam,distance,0.994140625,381.132249356946
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,constant,46,auto,13,12,nnClassifier,10,6,adam,distance,0.990234375,381.1322984758299
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,10,auto,12,6,nnClassifier,5,7,adam,distance,0.998046875,381.13234755489975
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,54,auto,17,12,nnClassifier,8,3,adam,distance,0.9921875,520.4060476729646
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,55,auto,17,8,nnClassifier,6,7,adam,distance,0.990234375,520.4061297718436
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,16,auto,13,7,nnClassifier,7,6,adam,distance,0.990234375,520.4061812809668
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,51,auto,18,7,nnClassifier,7,8,adam,distance,0.990234375,520.4062315109186
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,constant,26,auto,18,4,nnClassifier,10,8,adam,distance,0.9921875,520.4062812698539
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,79,auto,20,25,nnClassifier,8,7,adam,distance,0.990234375,520.4063304788433
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,constant,48,auto,18,4,nnClassifier,9,7,adam,distance,0.9921875,520.4063802878372
relu,auto,9,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,86,auto,19,7,nnClassifier,10,7,adam,distance,0.9921875,520.4064292679541
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,86,auto,16,18,nnClassifier,8,5,adam,distance,0.990234375,520.4064781470224
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,47,auto,17,18,nnClassifier,8,9,adam,distance,0.990234375,520.4065265960526
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,83,auto,14,7,nnClassifier,7,6,adam,distance,0.990234375,520.4065750560258
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,41,auto,18,8,nnClassifier,6,7,adam,distance,0.990234375,520.4066236449871
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,60,auto,12,5,nnClassifier,9,7,adam,distance,0.9921875,520.4066720239352
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,48,auto,19,26,nnClassifier,9,7,adam,distance,0.990234375,520.406728812959
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,49,auto,18,32,nnClassifier,7,6,adam,distance,0.990234375,520.406778012868
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,84,auto,18,3,nnClassifier,9,7,adam,distance,0.990234375,520.4068274018355
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,45,auto,18,7,nnClassifier,8,10,adam,distance,0.9921875,520.4068765109405
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,64,auto,11,24,nnClassifier,4,4,adam,distance,0.9921875,520.4069253799971
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,49,auto,16,8,nnClassifier,8,6,adam,distance,0.990234375,520.4069744199514
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,14,auto,10,10,nnClassifier,6,10,adam,distance,0.9921875,520.4070235888939
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,52,auto,13,16,nnClassifier,8,2,adam,distance,0.990234375,681.8956321249716
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,54,auto,16,9,nnClassifier,8,8,adam,distance,0.990234375,681.8956976840273
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,17,auto,17,5,nnClassifier,8,8,adam,distance,0.994140625,681.8957493728958
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,47,auto,15,3,nnClassifier,8,7,adam,distance,0.9921875,681.8957994428929
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,constant,30,auto,17,4,nnClassifier,6,5,adam,distance,0.990234375,681.895849061897
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,80,auto,16,21,nnClassifier,7,8,adam,distance,0.990234375,681.8958981509786
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,constant,48,auto,18,4,nnClassifier,9,7,adam,distance,0.9921875,681.8959473308641
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,82,auto,18,7,nnClassifier,10,7,adam,distance,0.990234375,681.8959965899121
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,82,auto,12,21,nnClassifier,8,5,adam,distance,0.990234375,681.8960454089101
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,50,auto,16,14,nnClassifier,10,7,adam,distance,0.990234375,681.8961050279904
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,79,auto,17,5,nnClassifier,7,7,adam,distance,0.9921875,681.8961545580532
