activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,brute,23,gini,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,40,constant,3,log2,7,8,nnClassifier,7,6,sgd,distance,0.9921875,113.26200193399563
relu,kd_tree,24,gini,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,13,constant,86,log2,9,6,nnClassifier,8,6,adam,distance,0.0078125,113.26207364303991
relu,ball_tree,17,gini,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,16,constant,50,auto,6,22,nnClassifier,8,3,adam,distance,0.990234375,113.26212689210661
relu,auto,20,gini,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,22,constant,79,sqrt,10,36,nnClassifier,6,7,adam,distance,0.009765625,113.26217862195335
relu,auto,27,gini,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,27,constant,21,log2,15,21,nnClassifier,7,5,adam,distance,0.98828125,113.26223041093908
relu,auto,13,gini,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,11,constant,45,sqrt,16,8,nnClassifier,4,8,adam,distance,0.00390625,113.2622808709275
relu,ball_tree,23,gini,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,18,constant,25,auto,5,8,nnClassifier,9,6,sgd,distance,0.0078125,113.26233198004775
relu,kd_tree,21,gini,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,9,constant,42,log2,14,36,nnClassifier,6,6,adam,distance,0.474609375,113.2623823499307
relu,brute,23,gini,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,12,constant,74,log2,13,33,nnClassifier,6,5,sgd,distance,0.009765625,113.26243277895264
relu,ball_tree,25,gini,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,19,constant,82,log2,6,23,nnClassifier,9,6,sgd,distance,0.173828125,113.26249325810932
relu,kd_tree,26,gini,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,40,constant,5,log2,7,13,nnClassifier,7,3,sgd,distance,0.013671875,113.26254442799836
relu,ball_tree,17,gini,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,18,constant,38,auto,7,8,nnClassifier,4,5,sgd,distance,0.0078125,113.26259480696172
relu,brute,26,gini,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,40,constant,36,sqrt,7,25,nnClassifier,8,5,adam,distance,0.990234375,113.26264565694146
relu,ball_tree,23,gini,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,38,constant,71,auto,7,8,nnClassifier,7,3,sgd,distance,0.015625,113.26269596605562
relu,ball_tree,24,gini,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,37,constant,49,sqrt,13,14,nnClassifier,6,6,adam,distance,0.005859375,113.26274609612301
relu,brute,24,gini,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,28,constant,61,log2,6,18,nnClassifier,6,7,sgd,distance,0.013671875,113.26279629510827
relu,ball_tree,16,gini,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,10,constant,8,sqrt,6,8,nnClassifier,4,6,adam,distance,0.015625,113.26284663495608
relu,auto,23,gini,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,12,constant,51,auto,9,6,nnClassifier,2,5,sgd,distance,0.990234375,113.26289688399993
relu,kd_tree,21,gini,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,13,constant,19,auto,8,6,nnClassifier,7,6,adam,distance,0.990234375,113.2629469530657
relu,kd_tree,14,gini,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,40,constant,93,log2,13,8,nnClassifier,7,9,sgd,distance,0.384765625,113.26299682306126
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,constant,3,auto,7,8,nnClassifier,7,6,adam,distance,0.9921875,412.98603974608704
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,82,auto,6,6,nnClassifier,8,5,adam,distance,0.9921875,412.98611495504156
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,46,auto,6,18,nnClassifier,9,7,adam,distance,0.990234375,412.9861665540375
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,75,auto,6,32,nnClassifier,7,5,adam,distance,0.9921875,412.98621759400703
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,17,auto,11,17,nnClassifier,7,8,adam,distance,0.990234375,412.9862676730845
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,41,auto,12,10,nnClassifier,8,7,adam,distance,0.98828125,412.98631790303625
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,21,auto,7,6,nnClassifier,8,7,adam,distance,0.990234375,412.98636781214736
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,38,auto,10,32,nnClassifier,9,5,adam,distance,0.990234375,412.9864176909905
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,70,auto,9,29,nnClassifier,7,5,adam,distance,0.9921875,412.98648453108035
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,78,auto,5,19,nnClassifier,9,6,adam,distance,0.9921875,412.9865394900553
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,constant,1,auto,7,9,nnClassifier,8,5,adam,distance,0.990234375,412.9865888999775
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,34,auto,7,7,nnClassifier,8,6,adam,distance,0.9921875,412.98663864913397
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,constant,33,auto,7,21,nnClassifier,4,7,adam,distance,0.990234375,412.9866877780296
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,constant,67,auto,7,8,nnClassifier,9,4,adam,distance,0.9921875,412.9867373481393
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,constant,45,auto,9,10,nnClassifier,8,6,adam,distance,0.9921875,412.9867867869325
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,57,auto,9,14,nnClassifier,5,6,adam,distance,0.990234375,412.98683626693673
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,4,auto,9,8,nnClassifier,5,8,adam,distance,0.990234375,412.98688612598926
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,47,auto,12,5,nnClassifier,6,9,adam,distance,0.990234375,412.98693570611067
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,16,auto,4,3,nnClassifier,8,6,adam,distance,0.990234375,412.9869850750547
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,constant,89,auto,9,9,nnClassifier,7,5,adam,distance,0.9921875,412.98703470500186
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,constant,3,auto,7,8,nnClassifier,7,6,adam,distance,0.9921875,546.5346066311467
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,78,auto,6,9,nnClassifier,7,7,adam,distance,0.9921875,546.5346772100311
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,42,auto,7,14,nnClassifier,9,8,adam,distance,0.9921875,546.5347291589715
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,71,auto,10,28,nnClassifier,6,9,adam,distance,0.9921875,546.5347799290903
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,13,auto,8,13,nnClassifier,7,9,adam,distance,0.9921875,546.5348304479849
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,37,auto,8,10,nnClassifier,9,6,adam,distance,0.9921875,546.534880258143
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,17,auto,8,6,nnClassifier,7,6,adam,distance,0.9921875,546.5349304070696
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,34,auto,6,28,nnClassifier,8,6,adam,distance,0.9921875,546.5349802870769
