activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,ball_tree,25,gini,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,30,constant,12,log2,2,38,nnClassifier,4,7,adam,distance,0.4921875,115.35589542612433
relu,ball_tree,28,gini,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,14,constant,6,log2,4,10,nnClassifier,6,7,adam,distance,0.0078125,115.35596825508401
identity,ball_tree,17,gini,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,36,constant,23,log2,3,35,nnClassifier,6,10,adam,uniform,0.986328125,115.35603411402553
identity,auto,24,gini,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,30,constant,18,log2,7,23,nnClassifier,7,10,adam,uniform,0.986328125,115.35608486295678
relu,ball_tree,27,gini,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,31,constant,45,auto,16,16,nnClassifier,2,10,adam,distance,0.443359375,115.3561355820857
tanh,ball_tree,25,gini,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,31,constant,29,auto,15,20,nnClassifier,4,8,adam,uniform,0.05859375,115.35618539201096
tanh,auto,22,gini,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,29,constant,26,log2,5,19,nnClassifier,5,7,adam,distance,0.1328125,115.35623524105176
relu,ball_tree,19,gini,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,32,constant,94,log2,2,30,nnClassifier,6,6,adam,distance,0.986328125,115.35628559999168
relu,ball_tree,24,gini,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,30,constant,8,auto,2,30,nnClassifier,5,6,adam,distance,0.068359375,115.35633551911451
tanh,ball_tree,27,gini,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,11,constant,18,auto,2,37,nnClassifier,6,7,adam,distance,0.66796875,115.35638522915542
relu,ball_tree,18,gini,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,31,constant,8,log2,3,17,nnClassifier,5,8,adam,distance,0.017578125,115.35643949802034
identity,ball_tree,16,gini,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,35,constant,91,sqrt,2,36,nnClassifier,5,8,adam,uniform,0.025390625,115.35648892703466
tanh,ball_tree,15,gini,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,30,constant,46,sqrt,15,36,nnClassifier,4,5,adam,uniform,0.048828125,115.35653870599344
identity,ball_tree,28,gini,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,34,constant,74,log2,11,24,nnClassifier,6,9,adam,uniform,0.453125,115.35658800601959
relu,ball_tree,22,gini,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,25,constant,50,sqrt,2,37,nnClassifier,2,9,adam,distance,0.390625,115.3566378550604
identity,ball_tree,26,gini,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,30,constant,8,log2,2,36,nnClassifier,5,9,adam,uniform,0.990234375,115.35668737394735
identity,auto,22,gini,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,26,constant,82,auto,13,36,nnClassifier,5,10,adam,distance,0.171875,115.35673671402037
relu,auto,22,gini,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,9,constant,38,log2,12,11,nnClassifier,5,7,adam,uniform,0.029296875,115.3567862729542
identity,ball_tree,26,gini,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,31,constant,62,sqrt,13,20,nnClassifier,4,8,adam,distance,0.0234375,115.35683554201387
identity,ball_tree,10,gini,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,23,constant,47,auto,12,8,nnClassifier,6,9,adam,uniform,0.529296875,115.35688489116728
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,10,auto,2,35,nnClassifier,5,10,adam,distance,0.98828125,296.89614175609313
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,9,auto,2,14,nnClassifier,4,10,adam,distance,0.984375,296.89621180598624
