activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,10,gini,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,14,constant,21,auto,13,11,nnClassifier,8,5,sgd,distance,0.01171875,161.13758556405082
relu,auto,8,gini,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,15,constant,91,sqrt,3,28,nnClassifier,1,4,sgd,distance,0.015625,161.13766328291968
relu,ball_tree,25,gini,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,28,constant,78,auto,7,39,nnClassifier,1,4,sgd,distance,0.01171875,161.13771685305983
relu,ball_tree,26,gini,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,30,constant,6,auto,6,22,nnClassifier,2,5,sgd,uniform,0.0078125,161.13776831305586
relu,ball_tree,9,gini,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,15,constant,32,sqrt,7,24,nnClassifier,1,6,adam,distance,0.51953125,161.137821292039
relu,ball_tree,22,gini,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,7,constant,15,sqrt,14,18,nnClassifier,1,3,adam,distance,0.10546875,161.13787293201312
relu,ball_tree,25,gini,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,26,constant,69,sqrt,12,29,nnClassifier,9,6,sgd,uniform,0.4765625,161.13792403205298
relu,ball_tree,17,gini,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,8,constant,12,sqrt,12,32,nnClassifier,6,5,adam,distance,0.486328125,161.13798578106798
relu,ball_tree,8,gini,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,17,constant,7,sqrt,8,25,nnClassifier,1,6,sgd,uniform,0.048828125,161.13803738099523
relu,ball_tree,12,gini,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,14,constant,27,auto,5,14,nnClassifier,1,6,sgd,distance,0.01171875,161.13808797998354
relu,ball_tree,17,gini,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,28,constant,29,auto,15,20,nnClassifier,2,5,sgd,distance,0.001953125,161.13813894009218
relu,auto,18,gini,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,22,constant,38,auto,8,12,nnClassifier,1,4,sgd,distance,0.0078125,161.13818986993283
relu,ball_tree,18,gini,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,11,constant,94,sqrt,12,16,nnClassifier,2,7,sgd,distance,0.98828125,161.13824064889923
relu,ball_tree,8,gini,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,26,constant,43,auto,16,32,nnClassifier,1,5,sgd,distance,0.095703125,161.13829117896967
relu,auto,8,gini,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,27,constant,50,auto,13,31,nnClassifier,6,5,adam,uniform,0.005859375,161.13834161800332
relu,auto,17,gini,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,27,constant,63,sqrt,9,34,nnClassifier,9,5,sgd,distance,0.98828125,161.1383923778776
relu,ball_tree,23,gini,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,24,constant,5,sqrt,7,27,nnClassifier,5,6,sgd,uniform,0.01171875,161.13844414800406
relu,ball_tree,20,gini,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,15,constant,53,sqrt,8,11,nnClassifier,4,7,sgd,distance,0.00390625,161.13849447690882
relu,ball_tree,8,gini,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,14,constant,40,sqrt,8,32,nnClassifier,1,5,sgd,uniform,0.99609375,161.13854423700832
relu,ball_tree,9,gini,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,34,constant,13,auto,9,31,nnClassifier,1,6,adam,uniform,0.015625,161.13859397592023
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,25,auto,9,15,nnClassifier,4,7,adam,distance,0.990234375,670.7679973489139
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,87,auto,7,32,nnClassifier,1,4,adam,distance,0.99609375,670.7680676579475
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,74,auto,7,37,nnClassifier,1,5,adam,distance,0.994140625,670.7681200979277
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,10,auto,10,26,nnClassifier,1,6,adam,distance,0.99609375,670.7681705469731
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,36,auto,6,28,nnClassifier,1,4,adam,distance,0.9921875,670.7682206470054
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,19,auto,10,22,nnClassifier,1,5,adam,distance,0.994140625,670.7682708760258
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,65,auto,8,32,nnClassifier,5,4,adam,distance,0.9921875,670.7683210759424
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,16,auto,8,31,nnClassifier,2,5,adam,distance,0.990234375,670.7683710749261
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,11,auto,10,29,nnClassifier,1,8,adam,distance,0.990234375,670.7684206650592
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,31,auto,9,18,nnClassifier,1,5,adam,distance,0.99609375,670.7684703040868
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,33,auto,11,24,nnClassifier,1,5,adam,distance,0.99609375,670.7685201240238
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,42,auto,9,16,nnClassifier,1,4,adam,distance,0.99609375,670.7685695639811
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,90,auto,8,20,nnClassifier,1,3,adam,distance,0.99609375,670.7686195529532
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,39,auto,12,32,nnClassifier,1,3,adam,distance,0.9921875,670.7686691929121
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,46,auto,9,33,nnClassifier,4,4,adam,distance,0.98828125,670.7687188419513
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,59,auto,6,30,nnClassifier,5,5,adam,distance,0.990234375,670.7687678618822
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,7,auto,11,31,nnClassifier,1,6,adam,distance,0.9921875,670.7688169409521
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,49,auto,8,15,nnClassifier,2,3,adam,distance,0.994140625,670.7688663410954
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,40,auto,8,32,nnClassifier,1,5,adam,distance,0.99609375,670.7689151698723
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,17,auto,9,33,nnClassifier,1,7,adam,distance,0.990234375,670.768973980099
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,29,auto,6,19,nnClassifier,1,4,adam,distance,0.9921875,935.794162388891
