activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,24,gini,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,12,constant,25,auto,2,19,nnClassifier,2,2,sgd,uniform,0.2673992673992674,201.97144268802367
tanh,auto,19,gini,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,28,constant,86,auto,14,24,kneighborsClassifier,2,5,lbfgs,uniform,0.8333333333333334,201.97151229716837
relu,auto,22,gini,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,13,constant,22,auto,4,9,nnClassifier,4,9,sgd,uniform,0.2893772893772894,201.97156969597563
tanh,auto,14,gini,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,28,constant,72,auto,5,25,nnClassifier,2,5,adam,distance,0.2948717948717949,201.97162575507537
relu,auto,18,gini,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,28,constant,45,auto,9,22,nnClassifier,5,2,adam,uniform,0.2838827838827839,201.971682443982
tanh,auto,19,gini,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,8,constant,45,auto,14,36,kneighborsClassifier,3,2,adam,distance,0.9065934065934066,201.97173865395598
tanh,auto,15,gini,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,8,auto,15,20,kneighborsClassifier,2,8,lbfgs,uniform,0.8315018315018315,201.9717939030379
tanh,auto,21,gini,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,88,auto,9,20,randomForestClassifier,4,3,sgd,uniform,0.9340659340659341,201.97184859216213
relu,auto,12,gini,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,30,constant,93,auto,13,23,nnClassifier,3,4,adam,distance,0.2857142857142857,201.97190354112536
tanh,auto,26,gini,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,89,auto,3,35,kneighborsClassifier,2,6,adam,distance,0.8626373626373627,201.97195863118395
tanh,auto,19,gini,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,11,constant,61,auto,7,11,nnClassifier,2,4,adam,distance,0.31135531135531136,201.9720131100621
relu,auto,18,gini,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,11,constant,59,auto,5,6,kneighborsClassifier,9,3,adam,uniform,0.8406593406593407,201.9720679090824
tanh,auto,19,gini,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,35,constant,90,auto,10,23,randomForestClassifier,4,3,lbfgs,distance,0.9523809523809523,201.972122768173
tanh,auto,24,gini,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,13,constant,45,auto,12,23,kneighborsClassifier,2,3,adam,distance,0.9065934065934066,201.972178068012
tanh,auto,27,gini,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,36,constant,87,auto,5,12,nnClassifier,1,2,lbfgs,distance,0.2838827838827839,201.97223280696198
tanh,auto,19,gini,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,27,constant,44,auto,4,23,randomForestClassifier,2,3,lbfgs,uniform,0.9871794871794872,201.97228776616976
relu,auto,22,gini,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,12,constant,93,auto,6,24,kneighborsClassifier,4,3,sgd,uniform,0.847985347985348,201.9723424850963
tanh,auto,19,gini,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,18,constant,96,auto,6,23,kneighborsClassifier,6,6,lbfgs,distance,0.8534798534798534,201.97239692416042
tanh,auto,27,gini,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,26,constant,70,auto,4,22,kneighborsClassifier,2,3,sgd,distance,0.8626373626373627,201.9724601341877
tanh,auto,19,gini,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,69,auto,5,25,nnClassifier,2,2,sgd,uniform,0.0,201.97251467313617
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,29,auto,6,21,nnClassifier,2,4,adam,distance,0.2838827838827839,416.5973684890196
