activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,27,gini,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,26,invscaling,69,auto,12,37,randomForestClassifier,2,4,adam,distance,0.9871794871794872,119.80514746089466
relu,auto,22,gini,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,30,constant,62,sqrt,11,20,kneighborsClassifier,4,5,adam,distance,0.8754578754578755,119.80521716992371
tanh,auto,18,gini,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,35,invscaling,83,auto,12,30,nnClassifier,2,3,adam,distance,0.37545787545787546,119.80527438898571
relu,auto,20,gini,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,31,constant,27,auto,11,37,nnClassifier,9,3,adam,distance,0.36996336996337,119.8053301088512
tanh,auto,21,gini,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,13,invscaling,9,sqrt,13,36,kneighborsClassifier,1,3,adam,distance,0.9102564102564102,119.80538602801971
tanh,auto,24,gini,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,invscaling,17,sqrt,10,36,nnClassifier,2,4,adam,distance,0.37545787545787546,119.80544214788824
tanh,auto,23,gini,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,9,invscaling,92,auto,8,17,randomForestClassifier,1,4,adam,distance,0.9871794871794872,119.80549820698798
tanh,auto,20,gini,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,invscaling,60,sqrt,13,13,randomForestClassifier,4,6,adam,distance,0.9816849816849816,119.8055542758666
relu,auto,13,gini,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,24,invscaling,71,sqrt,13,7,randomForestClassifier,1,6,adam,distance,0.9597069597069597,119.80561897601001
tanh,auto,19,gini,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,10,invscaling,17,log2,8,36,kneighborsClassifier,4,3,adam,distance,0.8608058608058609,119.80567437503487
tanh,auto,28,gini,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,13,invscaling,81,log2,10,38,nnClassifier,3,3,adam,distance,0.336996336996337,119.80572926485911
tanh,auto,25,gini,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,invscaling,22,log2,9,7,kneighborsClassifier,4,2,adam,distance,0.836996336996337,119.80578352394514
tanh,auto,22,gini,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,31,invscaling,83,log2,11,37,randomForestClassifier,2,3,adam,distance,0.9926739926739927,119.80583814298734
tanh,auto,22,gini,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,15,invscaling,54,log2,13,33,kneighborsClassifier,5,5,adam,distance,0.8937728937728938,119.80589270289056
tanh,auto,13,gini,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,31,constant,8,sqrt,12,10,randomForestClassifier,8,6,adam,distance,0.8296703296703297,119.80594712193124
tanh,auto,23,gini,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,22,invscaling,63,sqrt,11,27,kneighborsClassifier,2,5,adam,distance,0.8443223443223443,119.80600145203061
tanh,auto,23,gini,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,30,invscaling,11,auto,12,9,nnClassifier,2,5,adam,distance,0.37545787545787546,119.8060560610611
relu,auto,20,gini,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,34,invscaling,63,auto,8,36,randomForestClassifier,3,6,adam,distance,0.945054945054945,119.80611104005948
relu,auto,23,gini,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,23,invscaling,51,auto,11,36,randomForestClassifier,2,4,adam,distance,0.945054945054945,119.80616575991735
tanh,auto,9,gini,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,25,constant,57,auto,14,22,kneighborsClassifier,1,5,adam,distance,0.9212454212454212,119.80622100899927
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,73,auto,8,37,nnClassifier,1,4,adam,distance,0.9926739926739927,269.5333577990532
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,66,auto,13,24,nnClassifier,1,3,adam,distance,0.8772893772893773,269.5334358289838
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,85,auto,12,34,nnClassifier,1,1,adam,distance,0.3956043956043956,269.53349248785526
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,31,auto,11,37,nnClassifier,8,3,adam,distance,0.3516483516483517,269.5335491569713
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,13,auto,9,38,nnClassifier,5,4,adam,distance,0.9029304029304029,269.53361315699294
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,21,auto,13,38,nnClassifier,2,5,adam,distance,0.36446886446886445,269.53366902587004
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,88,auto,12,21,nnClassifier,1,1,adam,distance,0.9926739926739927,269.53372426587157
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,64,auto,9,17,nnClassifier,1,2,adam,distance,0.989010989010989,269.53378029493615
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,75,auto,11,11,nnClassifier,1,4,adam,distance,0.989010989010989,269.53383571398444
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,21,auto,12,37,nnClassifier,1,2,adam,distance,0.8901098901098901,269.5338905940298
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,84,auto,11,37,nnClassifier,1,2,adam,distance,0.3608058608058608,269.5339457830414
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,26,auto,13,11,nnClassifier,1,3,adam,distance,0.8864468864468864,269.53400116204284
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,83,auto,11,37,nnClassifier,2,3,adam,distance,0.9926739926739927,269.53405610192567
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,58,auto,16,30,nnClassifier,5,4,adam,distance,0.8827838827838828,269.53411120106466
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,12,auto,8,14,nnClassifier,4,3,adam,distance,0.989010989010989,269.53416568087414
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,67,auto,11,31,nnClassifier,1,3,adam,distance,0.891941391941392,269.5342206598725
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,15,auto,9,12,nnClassifier,1,6,adam,distance,0.3315018315018315,269.5342755999882
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,67,auto,12,34,nnClassifier,1,4,adam,distance,0.9926739926739927,269.53433063905686
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,55,auto,10,39,nnClassifier,2,5,adam,distance,0.9926739926739927,269.5343852478545
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,61,auto,10,26,nnClassifier,1,5,adam,distance,0.8809523809523809,269.5344400079921
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,77,auto,10,37,nnClassifier,2,3,adam,distance,0.38278388278388276,708.1328497710638
