activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,brute,24,gini,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,23,invscaling,75,sqrt,12,32,nnClassifier,9,6,adam,uniform,0.34065934065934067,111.19786768895574
tanh,ball_tree,18,gini,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,10,constant,35,sqrt,9,32,kneighborsClassifier,4,7,adam,distance,0.8534798534798534,111.19794392795302
tanh,ball_tree,28,gini,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,23,invscaling,79,sqrt,14,31,kneighborsClassifier,8,5,sgd,distance,0.8956043956043956,111.19800053699873
tanh,auto,27,gini,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,34,constant,94,sqrt,11,13,nnClassifier,9,6,sgd,uniform,0.3424908424908425,111.19805601611733
tanh,brute,14,gini,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,34,invscaling,70,auto,11,7,randomForestClassifier,9,6,lbfgs,uniform,0.9212454212454212,111.19811101490632
tanh,brute,26,gini,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,22,invscaling,47,sqrt,13,31,randomForestClassifier,9,6,lbfgs,uniform,0.9871794871794872,111.19816679391079
relu,auto,26,gini,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,18,constant,85,auto,12,28,randomForestClassifier,10,6,sgd,uniform,0.8992673992673993,111.19822212401778
tanh,brute,20,gini,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,22,constant,78,sqrt,8,14,randomForestClassifier,9,5,adam,distance,0.9340659340659341,111.19827710301615
tanh,kd_tree,21,gini,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,10,invscaling,38,sqrt,6,33,randomForestClassifier,7,5,adam,uniform,0.978021978021978,111.19833222194575
tanh,kd_tree,30,gini,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,28,invscaling,76,sqrt,6,24,randomForestClassifier,7,5,adam,distance,0.9267399267399268,111.19838688103482
tanh,kd_tree,12,gini,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,17,invscaling,75,auto,12,35,nnClassifier,9,5,adam,distance,0.2087912087912088,111.19844200997613
tanh,kd_tree,12,gini,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,21,invscaling,14,sqrt,11,33,randomForestClassifier,9,5,adam,distance,0.9267399267399268,111.19849691004492
relu,kd_tree,19,gini,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,6,invscaling,41,sqrt,11,32,kneighborsClassifier,10,5,adam,distance,0.9139194139194139,111.19855151907541
tanh,ball_tree,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,22,invscaling,72,sqrt,10,30,kneighborsClassifier,9,6,sgd,uniform,0.8608058608058609,111.1986063180957
tanh,kd_tree,20,gini,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,20,constant,19,sqrt,14,28,kneighborsClassifier,7,5,sgd,uniform,0.8113553113553114,111.19866078696214
relu,auto,25,gini,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,invscaling,85,sqrt,15,16,randomForestClassifier,5,7,lbfgs,uniform,0.9010989010989011,111.19871494593099
tanh,auto,14,gini,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,11,invscaling,63,auto,7,12,kneighborsClassifier,9,7,lbfgs,distance,0.8626373626373627,111.19876968604513
tanh,auto,26,gini,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,33,invscaling,65,sqrt,18,25,kneighborsClassifier,1,5,adam,uniform,0.8131868131868132,111.1988310450688
relu,brute,24,gini,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,9,invscaling,69,sqrt,10,31,kneighborsClassifier,6,7,sgd,distance,0.86996336996337,111.19888514396735
tanh,kd_tree,12,gini,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,15,invscaling,55,sqrt,11,16,randomForestClassifier,7,6,adam,distance,0.9377289377289377,111.19893946312368
