activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,kd_tree,10,gini,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,37,constant,46,auto,12,20,kneighborsClassifier,2,8,adam,distance,0.8461538461538461,109.01785445492715
tanh,kd_tree,10,gini,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,16,constant,66,auto,14,15,nnClassifier,1,6,adam,distance,0.31868131868131866,109.01793048391119
identity,ball_tree,11,gini,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,34,invscaling,30,auto,10,12,kneighborsClassifier,1,9,adam,distance,0.9139194139194139,109.01798909297213
relu,kd_tree,12,gini,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,15,invscaling,93,auto,15,22,kneighborsClassifier,2,8,adam,distance,0.8571428571428571,109.01804613298737
relu,kd_tree,13,gini,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,20,constant,69,auto,13,19,kneighborsClassifier,1,8,adam,distance,0.9029304029304029,109.01810311200097
tanh,kd_tree,24,gini,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,15,constant,42,auto,7,34,kneighborsClassifier,3,8,adam,distance,0.8608058608058609,109.01815936202183
tanh,kd_tree,24,gini,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,21,invscaling,29,auto,11,36,kneighborsClassifier,2,8,adam,distance,0.8516483516483516,109.0182279208675
tanh,kd_tree,26,gini,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,18,constant,69,auto,11,27,nnClassifier,3,9,adam,distance,0.29853479853479853,109.01828399091028
relu,kd_tree,21,gini,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,18,invscaling,72,auto,15,13,nnClassifier,6,5,adam,distance,0.31684981684981683,109.01834026002325
identity,auto,21,gini,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,7,invscaling,44,auto,9,10,randomForestClassifier,4,8,adam,distance,0.9761904761904762,109.01839595893398
