activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,18,gini,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,30,invscaling,40,auto,5,24,nnClassifier,9,1,adam,distance,0.32051282051282054,209.30318193603307
relu,ball_tree,25,gini,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,36,constant,75,sqrt,14,11,kneighborsClassifier,8,1,adam,distance,0.9029304029304029,209.303277494153
relu,ball_tree,15,gini,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,13,constant,91,sqrt,12,21,nnClassifier,7,5,sgd,distance,0.30036630036630035,209.30333518306725
relu,ball_tree,25,entropy,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,34,invscaling,47,sqrt,13,12,nnClassifier,9,4,adam,uniform,0.11538461538461539,209.30339065217413
relu,ball_tree,21,entropy,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,23,invscaling,46,sqrt,12,11,nnClassifier,5,5,lbfgs,distance,0.0,209.3034468810074
relu,ball_tree,26,entropy,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,33,invscaling,42,sqrt,5,11,randomForestClassifier,3,1,adam,distance,0.9652014652014652,209.30350209004246
relu,ball_tree,18,entropy,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,21,constant,38,sqrt,6,23,kneighborsClassifier,8,2,lbfgs,uniform,0.826007326007326,209.3035572702065
relu,ball_tree,25,entropy,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,31,invscaling,84,sqrt,5,11,randomForestClassifier,9,1,lbfgs,uniform,0.9816849816849816,209.3036123290658
relu,ball_tree,24,gini,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,31,invscaling,96,auto,11,33,randomForestClassifier,9,1,sgd,distance,0.9358974358974359,209.30366685800254
relu,ball_tree,28,gini,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,19,invscaling,10,sqrt,6,22,randomForestClassifier,6,1,adam,uniform,0.8443223443223443,209.30372210708447
relu,auto,12,gini,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,12,invscaling,30,auto,5,32,kneighborsClassifier,7,2,adam,distance,0.8736263736263736,209.3037768062204
