activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,31,mse,0,1,0,1,0,0,0,0,1,1,0,1,1,1,37,invscaling,98,sqrt,5,21,kneighborsRegressor,5,4,sgd,distance,0.6972578536558995
logistic,ball_tree,12,poisson,1,1,0,1,0,0,0,1,1,0,1,1,0,0,5,constant,88,auto,16,40,nnRegressor,1,2,sgd,uniform,0.6495793861186554
logistic,ball_tree,24,mae,1,1,0,0,1,1,0,1,0,1,1,0,1,0,22,adaptive,64,sqrt,2,22,kneighborsRegressor,7,5,lbfgs,distance,0.7362271980430465
relu,auto,13,mse,1,0,1,0,1,1,1,1,0,0,1,1,0,0,8,constant,49,log2,20,4,randomForestRegressor,7,2,lbfgs,uniform,0.6593024500953613
identity,kd_tree,25,poisson,1,0,1,1,0,0,0,0,1,1,1,0,0,0,33,constant,85,sqrt,12,25,randomForestRegressor,10,7,adam,uniform,0.6194045657701146
identity,brute,21,poisson,0,1,1,0,1,1,1,1,0,0,0,1,0,0,14,constant,66,sqrt,13,6,nnRegressor,3,3,sgd,distance,0.634397394384687
tanh,auto,13,poisson,1,1,1,1,0,0,1,0,0,1,1,1,0,0,26,adaptive,22,log2,7,36,kneighborsRegressor,3,7,adam,uniform,0.7003555453676698
identity,kd_tree,25,mae,1,1,0,1,0,0,0,1,0,1,0,0,0,0,5,constant,79,log2,5,9,nnRegressor,9,7,adam,uniform,0.6108868394130987
identity,ball_tree,31,mae,0,1,1,1,0,0,0,1,0,1,1,0,1,1,8,adaptive,81,sqrt,16,3,randomForestRegressor,7,8,sgd,uniform,0.7211661394221537
logistic,kd_tree,25,mse,1,0,1,1,1,1,1,0,0,0,1,0,0,1,28,invscaling,8,log2,6,8,kneighborsRegressor,9,6,lbfgs,distance,0.6277274648605502
relu,auto,27,mae,1,1,1,1,0,1,0,0,0,1,0,0,0,1,35,adaptive,11,log2,3,11,nnRegressor,7,1,sgd,uniform,0.7180809584053984
logistic,brute,32,mae,1,0,1,1,0,1,1,0,1,0,0,1,0,0,15,adaptive,71,log2,15,16,kneighborsRegressor,1,3,sgd,uniform,0.531451987410736
logistic,brute,32,mae,1,1,1,0,1,1,1,1,0,0,0,0,0,0,6,adaptive,61,auto,2,33,randomForestRegressor,1,5,lbfgs,uniform,0.5630018991405874
tanh,kd_tree,9,mae,0,1,1,1,1,1,1,0,1,0,0,0,1,1,31,adaptive,15,log2,18,4,randomForestRegressor,10,2,sgd,distance,0.7134681370287553
identity,auto,26,mae,0,1,0,1,1,0,0,1,1,0,0,1,0,1,2,constant,7,sqrt,4,8,nnRegressor,9,6,adam,distance,0.696032218287987
logistic,kd_tree,9,poisson,0,1,1,1,1,1,0,0,0,1,0,1,0,1,21,constant,54,auto,2,27,randomForestRegressor,2,6,sgd,distance,0.5352604809788223
tanh,auto,28,mae,0,0,1,0,1,1,0,0,1,0,0,1,0,1,4,constant,10,auto,18,20,nnRegressor,3,8,lbfgs,uniform,0.7082222328386658
logistic,auto,31,poisson,0,1,0,0,1,0,0,1,1,0,0,1,1,1,14,invscaling,92,auto,14,39,randomForestRegressor,4,5,adam,distance,0.7124854982988342
identity,ball_tree,30,poisson,0,1,1,1,0,1,0,0,0,1,0,1,0,0,4,invscaling,29,log2,13,25,nnRegressor,4,7,adam,uniform,0.6556175890707171
relu,brute,32,poisson,0,0,0,1,0,1,1,1,0,1,0,0,0,0,36,invscaling,100,log2,20,3,kneighborsRegressor,2,2,lbfgs,distance,0.4332408258481366
tanh,auto,14,mae,0,1,1,1,1,1,0,1,0,0,0,0,1,1,26,invscaling,86,auto,10,37,nnRegressor,3,8,sgd,distance,0.6790084446135276
identity,auto,19,mae,0,1,0,1,1,0,0,1,0,1,1,0,0,0,28,constant,42,sqrt,12,3,nnRegressor,6,6,lbfgs,distance,0.6387487601366013
logistic,auto,20,mae,1,1,1,0,1,1,1,0,0,1,1,1,0,0,12,invscaling,6,log2,20,19,kneighborsRegressor,6,7,lbfgs,uniform,0.6853032167580926
relu,brute,10,mae,1,0,1,0,1,0,1,1,1,0,0,1,0,1,20,adaptive,52,log2,2,32,nnRegressor,7,6,lbfgs,distance,0.6999743721315195
tanh,brute,30,mse,0,1,1,0,0,1,1,1,0,0,1,1,1,1,22,adaptive,41,auto,10,13,kneighborsRegressor,7,1,adam,uniform,0.49663615849983633
relu,auto,21,mse,1,1,0,0,0,0,1,0,1,0,1,0,0,0,30,invscaling,45,log2,16,2,nnRegressor,4,2,adam,distance,0.6556806435664742
logistic,ball_tree,13,poisson,0,0,1,1,1,0,1,0,0,1,1,0,0,0,18,invscaling,80,auto,9,16,nnRegressor,1,8,adam,distance,0.6182878449773193
