activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,22,mae,1,0,0,0,0,0,0,1,0,1,1,0,1,1,32,adaptive,40,auto,8,22,randomForestRegressor,5,5,sgd,uniform,0.726864333919961
identity,kd_tree,13,poisson,1,0,0,0,0,1,0,1,1,0,1,0,1,0,18,invscaling,65,log2,17,39,randomForestRegressor,10,6,lbfgs,uniform,0.6338910949055567
logistic,brute,29,mse,1,1,1,0,0,0,1,1,1,1,1,0,0,0,6,adaptive,47,sqrt,9,19,nnRegressor,2,4,adam,uniform,0.6476551281312344
tanh,brute,14,mae,0,1,0,0,1,0,1,0,0,0,0,1,1,1,17,constant,22,log2,12,24,randomForestRegressor,1,4,sgd,distance,0.7191411294260536
relu,kd_tree,8,mse,0,0,1,0,1,0,1,1,1,1,1,1,1,1,16,invscaling,45,log2,4,6,randomForestRegressor,3,10,lbfgs,uniform,0.7122347087726697
tanh,auto,30,mae,1,1,1,0,0,0,0,0,1,1,0,0,1,1,37,invscaling,80,auto,2,16,nnRegressor,8,5,lbfgs,distance,0.7594270771273419
logistic,kd_tree,18,poisson,1,0,0,1,1,0,0,0,0,0,0,0,0,1,40,invscaling,46,log2,16,22,nnRegressor,9,3,lbfgs,distance,0.6519064784432018
identity,ball_tree,14,mae,0,0,1,1,0,0,1,1,0,0,1,1,1,1,18,invscaling,95,auto,10,6,randomForestRegressor,1,2,lbfgs,distance,0.7001278856927371
logistic,auto,8,poisson,0,1,1,1,0,0,1,1,1,0,1,0,1,1,9,invscaling,79,sqrt,16,10,randomForestRegressor,1,9,adam,uniform,0.6704853028762767
tanh,brute,19,poisson,0,0,0,0,1,1,0,1,0,1,1,1,1,0,38,invscaling,43,log2,13,34,randomForestRegressor,6,1,adam,distance,0.5672513566959061
tanh,brute,11,poisson,1,1,0,0,0,1,0,1,1,0,1,1,1,1,19,invscaling,23,log2,18,18,kneighborsRegressor,10,6,sgd,uniform,0.7160002762751128
logistic,brute,31,mae,0,0,0,1,1,1,0,0,0,1,0,0,0,1,18,constant,52,auto,7,28,nnRegressor,8,9,lbfgs,distance,0.6738960856840512
logistic,kd_tree,22,poisson,0,0,0,0,0,1,1,1,1,1,1,1,0,0,5,constant,70,auto,8,7,kneighborsRegressor,1,5,lbfgs,distance,0.5812911770160047
logistic,kd_tree,8,mae,0,0,1,1,0,0,0,0,1,1,0,0,0,1,27,invscaling,76,log2,17,26,kneighborsRegressor,10,3,adam,distance,0.5975338241145751
identity,ball_tree,32,poisson,1,0,0,1,1,0,0,0,1,0,1,0,1,1,36,invscaling,43,sqrt,3,13,randomForestRegressor,8,6,adam,distance,0.43987457489732207
relu,auto,29,mse,0,0,1,0,1,0,1,0,1,1,0,0,1,1,8,constant,76,sqrt,14,32,nnRegressor,3,5,adam,distance,0.6901128335084882
logistic,auto,28,poisson,1,1,1,0,1,1,1,1,1,0,1,1,0,0,32,constant,93,auto,4,14,nnRegressor,2,8,adam,uniform,0.6621668900294047
logistic,auto,13,poisson,1,0,0,0,0,1,1,1,0,1,1,0,1,0,15,invscaling,23,auto,14,31,nnRegressor,3,3,adam,distance,0.7142636390801147
relu,ball_tree,13,mse,1,0,0,0,0,0,1,1,1,0,1,0,1,0,25,constant,18,log2,15,17,randomForestRegressor,9,1,adam,distance,0.6947322492127249
logistic,auto,9,poisson,1,1,1,1,1,1,0,1,1,1,1,0,1,1,23,constant,53,auto,6,38,nnRegressor,10,2,sgd,uniform,0.7820320988978169
identity,auto,20,poisson,1,0,0,0,0,0,1,0,0,1,0,1,1,1,17,adaptive,52,sqrt,14,7,nnRegressor,1,4,lbfgs,uniform,0.7249921904514663
relu,auto,24,poisson,1,1,1,1,0,0,0,1,1,0,0,1,1,0,22,invscaling,93,sqrt,6,9,nnRegressor,4,5,lbfgs,uniform,0.7375793419453621
logistic,ball_tree,8,mae,1,0,1,0,1,0,1,0,0,0,0,0,0,0,23,adaptive,64,auto,4,33,kneighborsRegressor,2,9,lbfgs,uniform,0.4329868184860697
logistic,brute,31,mae,1,0,0,0,1,1,0,1,1,0,0,0,0,0,23,constant,49,auto,17,25,kneighborsRegressor,7,6,adam,distance,0.45693322665953995
