activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,31,mae,0,0,0,0,1,1,0,1,0,0,1,0,1,1,3,constant,55,auto,2,32,kneighborsRegressor,10,1,sgd,uniform,0.4318551663697996
tanh,auto,20,mae,1,1,1,0,0,0,1,1,0,0,0,0,0,0,7,adaptive,11,auto,3,39,kneighborsRegressor,7,5,adam,uniform,0.5404657179930753
relu,brute,29,poisson,0,0,0,0,1,0,0,0,0,1,1,1,1,0,32,constant,75,auto,15,7,randomForestRegressor,3,4,sgd,uniform,0.6787690936459422
tanh,ball_tree,22,mse,0,0,0,0,0,0,0,1,0,1,0,0,1,1,36,constant,48,log2,14,30,kneighborsRegressor,2,6,adam,distance,0.6794795541112348
logistic,kd_tree,29,mse,0,1,1,1,1,0,1,1,1,1,1,0,0,1,29,invscaling,37,sqrt,10,35,randomForestRegressor,5,2,sgd,uniform,0.7012323476205157
relu,brute,12,poisson,1,1,1,1,1,1,0,1,0,0,0,0,0,0,18,adaptive,4,auto,13,35,nnRegressor,8,8,lbfgs,uniform,0.5423652065175036
tanh,auto,32,poisson,0,0,0,0,0,1,0,1,0,0,1,1,1,0,5,constant,72,log2,4,35,kneighborsRegressor,1,8,adam,distance,0.6612901213161086
logistic,brute,13,mse,1,1,0,0,0,0,1,0,0,1,1,0,1,0,33,invscaling,2,sqrt,16,13,nnRegressor,6,3,adam,distance,0.7853593937679801
tanh,kd_tree,11,poisson,1,1,0,0,0,0,1,0,1,0,1,0,0,1,30,constant,28,log2,4,7,randomForestRegressor,5,2,adam,uniform,0.4610340066378815
identity,kd_tree,32,mse,1,0,0,0,1,0,1,1,1,1,1,0,0,1,8,constant,90,sqrt,15,36,kneighborsRegressor,7,1,lbfgs,uniform,0.4692289332655215
logistic,ball_tree,21,mae,0,0,0,0,1,1,1,1,0,1,1,0,1,1,19,adaptive,2,log2,7,15,kneighborsRegressor,4,2,sgd,distance,0.634833637297845
tanh,ball_tree,15,mse,0,1,0,0,1,0,0,0,0,0,0,0,1,1,19,adaptive,89,auto,4,3,randomForestRegressor,8,8,adam,distance,0.7144918411060279
relu,auto,27,poisson,0,0,0,1,0,1,0,0,0,1,0,1,0,0,8,adaptive,30,sqrt,12,24,randomForestRegressor,2,7,adam,uniform,0.5527312269631937
tanh,ball_tree,32,poisson,1,1,0,0,0,0,1,1,0,1,1,1,0,0,5,adaptive,50,log2,2,11,randomForestRegressor,1,10,lbfgs,distance,0.5829581312141692
logistic,auto,14,poisson,0,0,0,0,1,1,1,0,0,0,0,0,0,0,19,constant,56,sqrt,10,13,nnRegressor,4,4,lbfgs,uniform,0.49294582949712795
logistic,auto,24,poisson,1,0,1,0,1,1,1,1,1,1,1,1,0,0,39,adaptive,12,auto,20,7,randomForestRegressor,6,2,lbfgs,uniform,0.35503536427996973
tanh,brute,24,mae,0,1,0,0,0,1,0,0,0,1,1,0,1,1,40,invscaling,4,sqrt,8,7,randomForestRegressor,4,3,lbfgs,distance,0.6990340930993724
tanh,ball_tree,10,poisson,1,0,1,0,0,1,1,0,0,1,0,1,0,0,21,constant,73,log2,9,37,randomForestRegressor,9,8,adam,uniform,0.6423085535660865
identity,kd_tree,23,mse,0,0,0,1,0,0,1,1,0,0,0,1,0,0,31,invscaling,94,log2,19,19,kneighborsRegressor,2,1,sgd,distance,0.2764544191211341
identity,auto,20,mse,1,0,1,1,0,1,1,0,0,0,1,1,0,0,35,adaptive,94,log2,11,28,nnRegressor,10,5,adam,uniform,0.6527260013026899
logistic,kd_tree,12,poisson,1,1,1,1,1,0,0,1,0,0,0,0,1,1,32,invscaling,100,auto,8,4,randomForestRegressor,9,5,adam,uniform,0.7025932283448075
logistic,kd_tree,14,poisson,0,0,1,0,0,1,0,1,1,1,0,1,0,1,10,adaptive,59,sqrt,4,2,randomForestRegressor,7,4,lbfgs,uniform,0.629384270544516
logistic,auto,28,mae,0,0,1,1,1,0,1,0,1,1,0,0,0,1,32,constant,20,log2,9,20,kneighborsRegressor,2,6,adam,uniform,0.6590969061685124
relu,kd_tree,13,mae,1,1,0,1,1,0,0,1,0,0,1,1,1,1,2,constant,71,auto,7,31,kneighborsRegressor,4,3,lbfgs,distance,0.7204021573482944
identity,kd_tree,19,mae,0,0,0,1,0,1,0,0,1,0,1,1,1,1,27,invscaling,15,auto,15,23,kneighborsRegressor,1,1,sgd,uniform,0.49461359215061107
identity,ball_tree,8,mse,1,0,0,0,1,0,1,0,1,1,0,1,0,0,10,constant,67,auto,12,23,randomForestRegressor,2,5,adam,distance,0.6870700396589474
relu,auto,30,mae,0,0,0,1,1,1,1,1,1,0,0,1,1,1,34,constant,77,log2,13,36,nnRegressor,8,3,lbfgs,uniform,0.7486208261785958
logistic,brute,18,mse,1,0,1,0,0,0,0,0,1,0,1,0,1,1,31,constant,54,auto,8,31,nnRegressor,1,7,sgd,uniform,-0.0006943125172962361
relu,auto,9,poisson,0,0,0,1,0,1,0,1,1,0,1,1,0,1,14,invscaling,13,log2,12,33,randomForestRegressor,1,7,adam,uniform,0.3130460192785376
identity,kd_tree,14,mse,1,1,1,0,1,0,1,0,1,1,0,1,0,1,37,adaptive,32,auto,16,13,kneighborsRegressor,1,3,sgd,distance,0.7101915736766704
logistic,ball_tree,20,poisson,0,0,1,1,0,1,1,0,0,1,0,1,1,1,19,invscaling,4,auto,8,9,kneighborsRegressor,10,1,adam,uniform,0.5105836649942679
relu,brute,9,mse,0,0,0,0,1,0,1,0,0,0,1,1,0,0,30,invscaling,100,log2,4,24,randomForestRegressor,10,9,sgd,distance,0.6485732452833328
relu,ball_tree,18,mse,0,1,1,1,1,1,1,0,0,0,1,0,1,0,35,invscaling,8,log2,8,19,kneighborsRegressor,3,6,lbfgs,uniform,0.6726364361446906
logistic,kd_tree,28,poisson,0,0,0,1,1,1,1,1,1,0,1,0,1,1,34,constant,54,sqrt,16,5,nnRegressor,1,3,lbfgs,distance,-0.001219175719769261
tanh,kd_tree,24,mae,0,0,0,1,0,1,1,1,0,1,0,1,0,1,18,invscaling,61,auto,7,34,nnRegressor,7,2,sgd,uniform,0.6884799856301753
relu,auto,24,poisson,0,1,0,1,0,1,1,1,1,0,0,1,1,1,25,invscaling,56,sqrt,15,25,nnRegressor,9,8,sgd,distance,0.7690905313469246
logistic,kd_tree,31,mse,1,0,1,0,0,0,1,0,0,0,0,1,0,1,39,adaptive,88,auto,4,3,nnRegressor,5,10,lbfgs,uniform,0.6814851092614227
tanh,brute,12,mse,1,0,0,1,0,1,1,0,1,1,0,0,1,1,37,constant,31,auto,4,20,randomForestRegressor,4,5,sgd,distance,0.7689343613658575
logistic,kd_tree,11,poisson,1,1,0,0,1,0,1,0,1,1,0,0,1,0,12,adaptive,37,log2,14,25,nnRegressor,10,5,adam,uniform,0.7861272652808088
relu,kd_tree,12,mae,0,1,0,0,0,1,0,0,1,0,1,0,1,0,18,adaptive,65,auto,4,18,nnRegressor,9,10,lbfgs,uniform,0.724355906682371
tanh,brute,30,mae,1,0,1,1,0,0,1,0,1,0,1,0,1,0,30,adaptive,79,auto,13,21,nnRegressor,9,2,lbfgs,uniform,0.735468790054703
logistic,ball_tree,24,poisson,0,0,0,1,1,1,0,0,1,0,1,0,1,1,27,constant,18,auto,3,7,nnRegressor,10,6,lbfgs,uniform,0.6959014611842553
identity,brute,32,mse,1,0,1,1,1,1,0,0,1,1,0,1,0,0,32,invscaling,58,log2,12,23,kneighborsRegressor,6,8,sgd,uniform,0.6643227441892058
logistic,ball_tree,19,mse,1,0,1,0,1,1,0,1,0,1,1,0,0,0,7,constant,60,sqrt,8,27,kneighborsRegressor,7,10,lbfgs,distance,0.6649906164881612
