activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,21,poisson,1,0,0,0,0,0,0,1,1,1,0,1,0,0,18,invscaling,26,sqrt,12,27,nnRegressor,6,2,sgd,uniform,0.599338848123896
logistic,kd_tree,10,poisson,0,0,1,1,0,0,0,0,0,0,1,1,1,0,25,adaptive,32,auto,16,37,kneighborsRegressor,7,8,lbfgs,distance,0.617003315466375
logistic,kd_tree,17,poisson,0,1,0,0,0,0,1,0,1,1,0,1,0,0,28,invscaling,62,sqrt,17,16,randomForestRegressor,2,2,adam,distance,0.619742903905689
tanh,kd_tree,14,mae,1,1,0,0,1,0,1,1,0,1,0,0,1,0,6,adaptive,95,auto,12,40,kneighborsRegressor,5,6,lbfgs,uniform,0.6765932663351566
tanh,ball_tree,23,mse,1,0,0,1,0,0,0,0,1,0,0,1,1,0,11,invscaling,93,auto,2,30,randomForestRegressor,2,10,lbfgs,uniform,0.6846955360333409
identity,ball_tree,22,mse,0,1,1,1,0,0,0,1,0,0,1,1,1,0,31,adaptive,35,sqrt,5,23,kneighborsRegressor,7,6,sgd,distance,0.6498306843808649
identity,kd_tree,18,mse,0,1,1,0,0,1,1,0,0,0,0,0,1,1,12,adaptive,43,auto,14,32,nnRegressor,4,5,sgd,uniform,0.6595785650898581
tanh,brute,18,mse,0,0,1,1,1,1,0,0,0,1,1,0,0,1,29,constant,52,auto,11,6,nnRegressor,2,8,adam,distance,0.6722012640360558
relu,brute,22,mse,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,constant,27,log2,16,3,kneighborsRegressor,10,2,adam,distance,0.6085622671664083
relu,auto,26,mse,0,0,0,0,0,0,1,1,1,0,1,0,1,0,3,constant,25,auto,9,18,nnRegressor,9,8,adam,uniform,0.6386582293425893
tanh,auto,32,poisson,0,0,0,0,0,0,1,1,0,0,0,1,0,1,25,invscaling,19,auto,3,18,kneighborsRegressor,1,8,adam,distance,0.6114641219990503
tanh,kd_tree,18,mae,1,1,1,0,1,0,1,0,0,0,0,1,1,1,32,adaptive,24,log2,17,9,nnRegressor,3,6,sgd,distance,0.7538543868546432
relu,brute,31,poisson,1,0,1,1,0,0,0,1,1,0,1,1,0,0,30,invscaling,24,sqrt,13,13,nnRegressor,5,1,adam,distance,0.6069082691927856
logistic,ball_tree,24,poisson,0,1,1,0,1,1,1,0,1,0,1,1,0,1,39,invscaling,92,log2,5,27,randomForestRegressor,8,10,adam,uniform,0.628140315646508
tanh,ball_tree,11,mse,1,1,1,0,0,1,1,0,1,1,1,0,1,0,22,adaptive,36,auto,14,19,nnRegressor,2,5,lbfgs,distance,0.7428054210333139
logistic,kd_tree,15,poisson,0,1,1,0,0,0,0,1,1,1,1,0,1,0,10,adaptive,17,auto,2,8,kneighborsRegressor,7,7,lbfgs,distance,0.6492209708087135
tanh,ball_tree,21,mse,0,0,0,0,1,1,0,0,1,1,1,0,0,1,34,adaptive,93,auto,19,10,kneighborsRegressor,5,1,adam,distance,0.41067878795851953
relu,kd_tree,17,mse,1,1,1,0,0,1,0,1,0,1,1,0,1,0,8,invscaling,29,sqrt,20,37,nnRegressor,8,3,adam,distance,0.742381578420102
logistic,ball_tree,25,mse,1,1,1,1,0,0,1,0,0,0,0,0,1,1,11,adaptive,23,sqrt,9,23,kneighborsRegressor,10,7,lbfgs,distance,0.6909719437896912
identity,auto,30,mse,0,1,0,1,1,1,1,1,1,1,0,0,1,1,9,adaptive,94,log2,8,24,randomForestRegressor,6,5,sgd,distance,0.7096961626607479
tanh,ball_tree,10,mae,0,0,1,0,0,0,0,0,1,1,0,0,0,0,8,adaptive,2,log2,20,31,kneighborsRegressor,7,7,lbfgs,uniform,0.5368765878595279
logistic,auto,18,poisson,1,1,1,1,1,1,0,0,0,0,1,1,1,0,23,adaptive,68,auto,2,5,nnRegressor,1,9,adam,distance,0.6819851123448146
tanh,ball_tree,31,poisson,0,1,0,0,0,0,1,1,1,1,0,0,1,0,16,invscaling,96,auto,5,27,randomForestRegressor,1,9,lbfgs,distance,0.6457662651465439
relu,kd_tree,17,poisson,1,0,0,1,1,1,0,1,0,0,1,1,1,0,26,constant,43,sqrt,7,37,randomForestRegressor,6,6,adam,uniform,0.48209033722908357
relu,kd_tree,8,poisson,0,0,1,1,0,0,1,1,1,0,0,1,1,1,23,constant,13,sqrt,3,10,nnRegressor,10,5,lbfgs,distance,0.7013544418051676
identity,brute,28,poisson,1,1,1,1,1,0,1,1,0,0,1,1,1,0,36,adaptive,46,log2,2,19,nnRegressor,1,7,sgd,uniform,0.6797228313167898
identity,brute,12,mae,0,1,0,1,0,0,0,1,1,1,0,0,0,0,7,constant,50,auto,15,27,nnRegressor,4,7,lbfgs,distance,0.5917258141798925
identity,auto,27,mse,1,1,1,1,0,1,0,1,1,0,1,0,1,0,32,constant,30,sqrt,15,35,nnRegressor,2,2,lbfgs,uniform,0.6860987640863819
logistic,auto,20,mae,1,1,0,0,0,0,0,0,1,1,0,0,0,0,40,invscaling,86,auto,12,5,nnRegressor,5,8,adam,distance,0.6342303114855439
relu,brute,8,mae,0,0,1,1,0,0,1,0,1,1,1,0,1,0,8,adaptive,7,auto,9,20,nnRegressor,10,10,sgd,distance,0.652617692054811
relu,kd_tree,25,mae,0,0,0,1,0,0,1,0,0,1,1,0,1,1,27,invscaling,76,sqrt,17,19,randomForestRegressor,9,4,adam,distance,0.6782039002741365
logistic,kd_tree,8,mse,1,0,1,0,1,0,1,1,0,0,0,1,1,1,40,constant,66,sqrt,9,7,randomForestRegressor,4,9,sgd,distance,0.6994595339623371
logistic,brute,21,mae,0,0,1,0,1,1,1,0,0,1,0,1,1,1,39,invscaling,32,log2,19,12,randomForestRegressor,6,2,lbfgs,uniform,0.682599543907054
tanh,kd_tree,11,mse,1,0,1,0,0,0,0,1,1,1,1,1,1,0,3,constant,24,auto,14,14,kneighborsRegressor,7,7,adam,uniform,0.6553001902630868
identity,kd_tree,27,mse,1,0,0,0,0,0,0,0,0,1,1,1,0,1,23,constant,75,log2,16,3,kneighborsRegressor,10,5,sgd,distance,0.6095001201639807
identity,ball_tree,19,mae,1,1,1,0,0,0,0,1,0,0,0,1,0,0,13,constant,42,sqrt,20,34,randomForestRegressor,4,10,adam,distance,0.6232960066238349
logistic,brute,29,poisson,1,1,1,0,1,1,0,0,1,1,0,1,1,1,5,invscaling,42,sqrt,8,20,kneighborsRegressor,6,8,sgd,distance,0.7116158723975542
identity,ball_tree,20,poisson,0,0,0,0,1,1,0,0,0,1,1,1,1,0,13,invscaling,75,log2,15,23,randomForestRegressor,8,2,adam,distance,0.6412181137383128
relu,kd_tree,8,mse,0,0,0,0,0,1,1,1,1,1,1,1,1,0,14,adaptive,27,log2,20,2,kneighborsRegressor,10,3,sgd,uniform,0.6188431185794674
tanh,kd_tree,13,mae,0,0,0,1,0,0,1,1,0,1,0,1,0,0,35,constant,12,auto,12,10,kneighborsRegressor,4,9,adam,distance,0.5890979066809519
relu,auto,32,mse,1,0,1,1,0,0,1,0,1,1,1,0,1,0,37,constant,75,log2,12,23,nnRegressor,9,6,lbfgs,uniform,0.7237507105023505
relu,brute,19,poisson,1,0,0,0,1,0,1,0,1,0,1,0,0,1,25,constant,92,auto,7,15,kneighborsRegressor,9,4,adam,distance,0.5564831786468394
identity,auto,17,mae,0,1,1,0,1,0,0,0,0,0,1,1,1,1,33,adaptive,74,sqrt,17,8,randomForestRegressor,10,3,adam,distance,0.6931997799172435
identity,kd_tree,10,poisson,0,1,0,0,1,0,1,1,1,0,1,1,1,0,19,constant,73,sqrt,17,14,randomForestRegressor,6,5,sgd,uniform,0.6444710980629973
logistic,auto,30,mae,1,1,1,1,1,0,0,0,0,0,0,1,1,1,17,invscaling,95,log2,17,4,nnRegressor,9,7,adam,uniform,0.7457625214822776
identity,kd_tree,14,poisson,0,1,0,1,0,0,1,0,1,0,1,0,0,0,23,adaptive,23,auto,9,14,randomForestRegressor,2,8,lbfgs,uniform,0.35985810481606795
logistic,ball_tree,13,mse,1,0,0,1,0,0,1,1,1,1,0,0,0,1,39,adaptive,28,sqrt,17,18,kneighborsRegressor,10,1,sgd,uniform,0.42738951975812556
tanh,auto,31,mse,0,0,1,1,0,1,0,1,1,0,0,1,1,0,32,adaptive,70,auto,14,13,randomForestRegressor,5,3,sgd,uniform,0.6571002563438375
relu,auto,28,mse,1,0,1,1,1,1,0,0,0,1,0,0,0,1,35,constant,36,sqrt,17,18,randomForestRegressor,8,6,lbfgs,distance,0.6738575150955262
logistic,ball_tree,20,mae,0,1,1,0,0,0,1,1,1,0,0,1,1,0,7,adaptive,55,auto,12,36,nnRegressor,2,3,lbfgs,uniform,0.7022100740494683
identity,kd_tree,16,mse,1,1,1,0,0,1,0,0,0,0,1,1,1,1,40,constant,29,auto,10,17,kneighborsRegressor,10,1,adam,uniform,0.545048344027607
