activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,18,mae,0,1,1,1,1,0,0,1,1,0,1,1,0,0,8,adaptive,1,auto,18,10,kneighborsRegressor,6,2,sgd,uniform,0.5631430796886301
identity,ball_tree,30,mae,1,1,0,0,0,1,1,1,1,0,1,1,0,1,30,adaptive,35,sqrt,2,10,kneighborsRegressor,9,4,lbfgs,uniform,0.69436605933293
tanh,brute,13,poisson,1,0,1,0,0,0,1,1,0,1,0,1,0,1,36,invscaling,99,sqrt,4,40,kneighborsRegressor,6,4,lbfgs,distance,0.6965918345431894
tanh,brute,24,mae,1,1,0,0,0,1,0,1,1,0,0,0,0,1,31,invscaling,34,log2,16,36,randomForestRegressor,6,10,adam,distance,0.6773140127985102
logistic,kd_tree,11,poisson,1,1,0,1,1,1,0,0,0,0,1,1,1,0,14,adaptive,24,auto,2,20,kneighborsRegressor,3,9,adam,uniform,0.7458441907037057
logistic,brute,8,mse,0,0,1,1,0,1,1,1,0,1,0,1,1,1,31,adaptive,74,auto,13,8,randomForestRegressor,10,10,sgd,distance,0.7535935917459624
tanh,ball_tree,26,poisson,1,1,0,1,1,1,1,0,1,1,1,0,0,1,8,adaptive,59,sqrt,13,29,randomForestRegressor,4,3,lbfgs,uniform,0.6400736607395979
identity,kd_tree,20,mae,0,0,0,1,1,1,1,1,1,0,1,0,0,1,2,invscaling,27,auto,16,30,nnRegressor,3,10,sgd,distance,0.6391818580992852
logistic,brute,25,mse,1,1,1,1,1,0,0,1,1,1,0,1,0,0,13,invscaling,69,sqrt,19,25,kneighborsRegressor,2,8,lbfgs,distance,0.6775199196940411
logistic,kd_tree,29,poisson,1,1,0,0,0,0,0,1,1,1,1,1,0,1,29,constant,4,sqrt,15,24,kneighborsRegressor,5,7,adam,uniform,0.7304105624656121
tanh,kd_tree,22,mse,0,0,1,1,1,1,1,0,1,0,0,0,0,1,24,constant,34,auto,7,9,nnRegressor,10,1,adam,uniform,0.6625339376547513
relu,auto,11,mae,0,0,1,0,1,1,0,1,0,1,0,1,1,0,4,constant,48,log2,11,21,nnRegressor,9,8,sgd,distance,0.6902823582656741
logistic,brute,26,mae,1,0,1,0,1,1,1,1,0,1,0,1,1,0,33,adaptive,5,log2,20,8,kneighborsRegressor,4,6,sgd,uniform,0.7123194218092566
identity,brute,31,poisson,1,0,0,0,1,1,1,0,0,0,0,0,1,0,20,invscaling,65,log2,11,26,randomForestRegressor,9,8,adam,uniform,0.6515393248123496
identity,auto,19,mse,1,0,1,0,1,1,1,1,1,0,1,0,1,1,20,adaptive,79,sqrt,16,32,randomForestRegressor,9,7,adam,distance,0.7291669122056419
identity,kd_tree,32,mae,1,0,0,1,1,0,1,0,0,1,0,1,1,1,13,invscaling,31,log2,14,13,nnRegressor,10,8,adam,distance,0.7540402757676304
tanh,kd_tree,30,mae,0,0,0,0,0,1,1,1,1,1,0,1,1,1,15,adaptive,40,sqrt,9,32,randomForestRegressor,2,10,lbfgs,uniform,0.7486010759764627
logistic,ball_tree,13,poisson,1,0,1,0,0,0,1,1,0,0,1,0,1,1,32,invscaling,22,sqrt,16,26,kneighborsRegressor,2,10,lbfgs,uniform,0.6964384168290687
tanh,brute,14,mse,1,1,1,0,0,0,1,1,0,0,1,0,1,1,5,constant,40,sqrt,11,4,randomForestRegressor,4,1,lbfgs,distance,0.7485683720811503
identity,ball_tree,27,mae,1,1,1,1,1,1,0,0,0,0,1,0,1,1,36,constant,20,log2,12,20,nnRegressor,9,8,lbfgs,uniform,0.7268797019192015
identity,kd_tree,20,mae,1,1,1,0,1,0,1,1,0,1,1,1,1,1,37,constant,81,log2,3,2,randomForestRegressor,8,1,lbfgs,distance,0.7806845696272595
relu,kd_tree,28,mae,1,0,1,1,1,1,0,1,1,0,0,1,0,1,24,adaptive,31,sqrt,6,32,kneighborsRegressor,10,1,sgd,distance,0.4663441647215475
tanh,kd_tree,21,poisson,1,0,0,1,1,0,1,1,1,1,1,1,1,1,24,adaptive,73,sqrt,3,17,kneighborsRegressor,8,4,lbfgs,uniform,0.7427778998783101
relu,ball_tree,21,poisson,0,0,1,0,0,0,0,1,1,0,0,0,1,0,15,adaptive,19,auto,13,6,kneighborsRegressor,9,5,adam,distance,0.5865617542736778
identity,ball_tree,12,mae,0,1,0,1,1,0,0,1,1,0,0,0,1,0,25,adaptive,41,sqrt,17,35,kneighborsRegressor,10,3,adam,uniform,0.6095474214328274
relu,brute,28,poisson,0,1,1,0,0,1,1,1,1,0,0,0,0,1,19,constant,4,auto,5,8,nnRegressor,7,10,lbfgs,uniform,0.6836248818875138
relu,brute,20,poisson,1,0,1,1,0,0,1,0,1,0,0,1,0,0,29,constant,24,sqrt,14,31,kneighborsRegressor,6,5,lbfgs,distance,0.5780564329941218
relu,kd_tree,24,mae,1,0,0,1,1,0,1,0,0,0,0,1,0,0,26,adaptive,33,auto,15,6,kneighborsRegressor,9,7,lbfgs,uniform,0.6264547689690803
logistic,auto,15,mse,0,0,1,0,0,1,1,1,1,1,0,1,0,1,27,invscaling,11,auto,6,12,nnRegressor,10,1,adam,uniform,0.7357179150959743
logistic,ball_tree,14,mse,1,0,1,1,1,1,1,1,0,0,1,1,1,0,34,invscaling,44,log2,17,11,nnRegressor,3,2,sgd,distance,0.002468166049481302
relu,ball_tree,19,mse,0,1,0,0,1,0,1,1,0,1,0,1,0,0,32,constant,56,auto,11,23,kneighborsRegressor,10,2,lbfgs,distance,0.5322461714434679
logistic,kd_tree,29,mse,0,1,0,0,1,1,1,1,1,0,0,1,1,0,39,invscaling,34,sqrt,6,32,nnRegressor,10,5,lbfgs,distance,0.7465281797619032
