activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,kd_tree,15,gini,1,1,0,1,0,18,constant,87,log2,3,13,nnClassifier,4,7,lbfgs,distance,0.5273492286115007
tanh,kd_tree,18,entropy,1,0,1,0,1,18,adaptive,91,auto,16,7,randomForestClassifier,7,2,adam,uniform,0.9368863955119214
logistic,ball_tree,10,gini,0,0,1,0,0,36,adaptive,86,sqrt,13,32,randomForestClassifier,4,10,sgd,uniform,0.573632538569425
tanh,ball_tree,8,gini,1,0,1,0,1,6,invscaling,52,sqrt,17,8,nnClassifier,9,7,sgd,distance,0.5287517531556802
identity,auto,31,entropy,1,1,0,1,0,13,invscaling,9,log2,4,36,randomForestClassifier,1,7,lbfgs,uniform,0.9368863955119214
tanh,ball_tree,11,gini,0,1,1,1,1,17,constant,48,auto,16,4,nnClassifier,2,1,sgd,uniform,0.541374474053296
relu,auto,16,gini,1,0,1,0,0,24,constant,24,sqrt,8,22,nnClassifier,10,10,sgd,distance,0.5287517531556802
relu,kd_tree,24,gini,1,1,1,1,0,22,invscaling,100,sqrt,2,17,kneighborsClassifier,10,6,lbfgs,distance,0.94109396914446
relu,brute,28,gini,0,0,0,0,1,24,constant,35,sqrt,3,15,randomForestClassifier,5,6,adam,uniform,0.6830294530154277
logistic,brute,17,gini,0,0,0,0,1,35,invscaling,81,log2,13,4,nnClassifier,9,5,adam,distance,0.5315568022440392
identity,brute,29,gini,1,1,0,1,1,32,constant,68,log2,6,20,nnClassifier,6,1,lbfgs,distance,0.5329593267882188
tanh,brute,13,gini,0,0,0,1,0,31,constant,21,sqrt,17,9,kneighborsClassifier,1,7,adam,uniform,0.7503506311360448
relu,ball_tree,20,gini,1,0,1,0,1,25,adaptive,5,auto,15,10,randomForestClassifier,5,8,lbfgs,uniform,0.9340813464235624
tanh,auto,18,gini,0,0,0,0,0,40,adaptive,92,log2,15,22,randomForestClassifier,8,3,adam,uniform,0
tanh,brute,8,gini,1,0,1,1,1,11,adaptive,91,log2,18,4,kneighborsClassifier,4,5,adam,distance,0.9312762973352033
relu,kd_tree,11,gini,0,1,1,1,0,18,adaptive,15,auto,18,38,randomForestClassifier,1,1,adam,distance,0.7517531556802244
logistic,brute,27,entropy,0,0,0,1,1,35,invscaling,13,sqrt,5,3,kneighborsClassifier,5,1,lbfgs,uniform,0.8359046283309958
identity,kd_tree,26,entropy,0,1,0,0,0,21,invscaling,21,sqrt,12,27,nnClassifier,8,3,adam,uniform,0.5105189340813464
logistic,kd_tree,21,gini,1,1,1,1,1,26,invscaling,55,auto,10,19,nnClassifier,9,9,adam,distance,0.5343618513323983
relu,kd_tree,12,entropy,1,0,1,1,1,23,adaptive,37,log2,3,33,nnClassifier,1,2,lbfgs,uniform,0.520336605890603
relu,kd_tree,16,gini,0,1,0,0,0,29,adaptive,64,auto,20,29,randomForestClassifier,6,3,adam,uniform,0.5091164095371669
relu,auto,29,gini,1,0,1,1,1,9,constant,69,log2,9,21,randomForestClassifier,4,8,sgd,uniform,0.9424964936886395
tanh,brute,9,entropy,0,0,0,1,0,33,constant,52,auto,7,40,kneighborsClassifier,5,5,lbfgs,distance,0.7363253856942497
relu,brute,24,entropy,0,0,0,0,1,21,constant,95,sqrt,5,15,nnClassifier,5,9,lbfgs,uniform,0.5133239831697055
logistic,auto,28,gini,1,0,0,0,0,19,constant,90,sqrt,6,33,randomForestClassifier,9,2,sgd,distance,0.9340813464235624
identity,brute,12,entropy,1,1,0,0,1,14,constant,79,auto,6,27,kneighborsClassifier,1,6,lbfgs,distance,0.9340813464235624
relu,kd_tree,10,entropy,0,1,0,0,0,34,adaptive,59,sqrt,6,30,nnClassifier,10,7,adam,uniform,0.5105189340813464
tanh,auto,32,gini,0,0,1,1,0,29,constant,5,auto,8,23,kneighborsClassifier,6,7,sgd,uniform,0.7559607293127629
logistic,brute,11,gini,0,1,0,0,0,26,constant,11,auto,3,35,kneighborsClassifier,6,8,adam,uniform,0.5231416549789621
logistic,auto,15,gini,1,1,1,1,0,33,invscaling,8,log2,18,5,kneighborsClassifier,10,3,lbfgs,uniform,0.9368863955119214
relu,brute,17,gini,0,0,0,1,0,4,invscaling,72,log2,9,28,randomForestClassifier,4,1,adam,uniform,0.7713884992987378
relu,brute,8,entropy,1,1,1,0,1,14,invscaling,39,auto,18,4,nnClassifier,7,10,sgd,distance,0.5273492286115007
identity,brute,25,gini,0,1,0,1,1,32,constant,88,auto,15,14,kneighborsClassifier,10,10,lbfgs,uniform,0.788218793828892
tanh,brute,9,gini,0,1,1,1,1,24,invscaling,15,log2,20,21,nnClassifier,10,4,sgd,uniform,0.5217391304347826
logistic,ball_tree,32,gini,0,0,1,0,1,15,adaptive,64,sqrt,5,28,kneighborsClassifier,5,10,adam,distance,0.6493688639551192
identity,ball_tree,13,gini,1,1,1,0,0,23,constant,81,auto,14,4,kneighborsClassifier,9,5,sgd,uniform,0.9270687237026648
relu,ball_tree,28,entropy,0,1,0,0,0,23,adaptive,10,auto,3,26,randomForestClassifier,7,10,sgd,distance,0.5161290322580645
relu,brute,31,entropy,0,0,0,1,0,16,adaptive,37,sqrt,13,6,randomForestClassifier,4,3,adam,distance,0.7713884992987378
identity,kd_tree,14,gini,0,1,0,1,0,19,adaptive,50,sqrt,15,33,nnClassifier,5,9,adam,uniform,0.4838709677419355
relu,kd_tree,15,gini,0,1,0,0,1,39,adaptive,60,log2,14,6,kneighborsClassifier,4,10,adam,uniform,0.6437587657784011
relu,ball_tree,24,gini,0,0,1,1,1,32,constant,64,auto,14,33,randomForestClassifier,10,10,sgd,uniform,0.8709677419354839
identity,brute,28,gini,0,0,0,0,1,8,adaptive,60,sqrt,17,34,nnClassifier,7,1,adam,distance,0.5245441795231417
tanh,brute,23,entropy,1,0,0,1,1,15,constant,76,auto,12,38,randomForestClassifier,8,9,sgd,uniform,0.9424964936886395
logistic,auto,30,gini,0,0,0,1,1,7,adaptive,62,log2,10,29,nnClassifier,1,8,lbfgs,uniform,0.5035063113604488
logistic,brute,18,gini,0,1,0,0,0,20,invscaling,60,sqrt,18,31,nnClassifier,8,8,lbfgs,distance,0.5105189340813464
identity,auto,8,gini,0,0,1,0,1,17,adaptive,71,auto,17,40,nnClassifier,5,9,lbfgs,uniform,0.5287517531556802
tanh,auto,18,entropy,0,0,0,0,0,19,constant,61,log2,2,33,nnClassifier,10,9,adam,distance,0
relu,brute,28,gini,0,1,1,0,0,20,constant,39,log2,10,35,nnClassifier,3,2,adam,distance,0.5385694249649369
logistic,kd_tree,15,entropy,1,0,0,1,0,22,adaptive,89,auto,8,3,randomForestClassifier,6,10,adam,distance,0.94109396914446
relu,brute,25,gini,1,1,0,0,1,14,constant,93,log2,8,34,randomForestClassifier,6,7,lbfgs,uniform,0.9312762973352033
relu,ball_tree,23,entropy,1,0,1,1,1,18,constant,16,sqrt,20,22,randomForestClassifier,8,4,lbfgs,distance,0.9396914446002805
tanh,kd_tree,19,entropy,1,0,1,1,1,16,constant,98,log2,14,26,kneighborsClassifier,5,2,adam,uniform,0.9032258064516129
logistic,kd_tree,13,entropy,1,1,1,1,0,33,invscaling,63,auto,11,39,kneighborsClassifier,3,2,adam,uniform,0.9032258064516129
logistic,kd_tree,17,entropy,1,1,0,0,0,15,invscaling,4,log2,16,22,kneighborsClassifier,5,8,adam,distance,0.9228611500701263
identity,ball_tree,20,entropy,1,0,0,1,0,30,invscaling,27,auto,5,11,randomForestClassifier,7,8,lbfgs,distance,0.9424964936886395
relu,kd_tree,24,entropy,1,1,1,1,1,39,invscaling,46,log2,6,8,randomForestClassifier,7,3,sgd,uniform,0.9424964936886395
relu,ball_tree,24,entropy,0,1,1,0,0,12,invscaling,11,log2,15,3,nnClassifier,8,7,sgd,distance,0.4179523141654979
logistic,kd_tree,30,entropy,0,0,0,1,0,12,adaptive,97,auto,5,6,randomForestClassifier,8,10,sgd,uniform,0.7713884992987378
relu,brute,32,entropy,1,1,1,1,0,37,adaptive,99,auto,18,2,nnClassifier,3,8,adam,distance,0.5329593267882188
identity,kd_tree,8,gini,0,1,1,0,1,29,invscaling,1,log2,18,2,randomForestClassifier,4,7,adam,uniform,0.6942496493688639
logistic,kd_tree,27,gini,1,1,0,0,1,5,adaptive,91,sqrt,20,25,nnClassifier,2,1,lbfgs,distance,0.5315568022440392
