activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,kd_tree,25,entropy,0,1,1,1,0,34,constant,99,sqrt,9,32,nnClassifier,9,8,sgd,distance,0.5021037868162693
tanh,auto,28,gini,1,0,0,1,1,37,invscaling,55,sqrt,5,34,kneighborsClassifier,5,1,lbfgs,uniform,0.9144460028050491
logistic,auto,14,gini,0,0,0,0,0,27,invscaling,90,sqrt,14,40,kneighborsClassifier,10,8,lbfgs,uniform,0
logistic,auto,29,entropy,0,0,0,0,1,3,adaptive,82,sqrt,13,14,kneighborsClassifier,8,2,adam,uniform,0.5497896213183731
identity,kd_tree,24,gini,1,0,0,0,1,26,invscaling,98,log2,13,22,kneighborsClassifier,4,6,sgd,distance,0.9242636746143057
identity,ball_tree,31,entropy,0,0,0,1,1,23,constant,89,log2,12,40,kneighborsClassifier,7,5,lbfgs,distance,0.8695652173913043
identity,ball_tree,11,entropy,0,1,1,1,0,29,invscaling,24,log2,8,31,kneighborsClassifier,7,5,sgd,distance,0.7419354838709677
relu,auto,19,gini,0,0,0,0,1,21,adaptive,13,auto,9,40,randomForestClassifier,7,6,adam,uniform,0.6900420757363254
identity,brute,19,gini,1,1,0,1,0,26,invscaling,41,sqrt,15,27,nnClassifier,1,5,sgd,distance,0.4964936886395512
relu,kd_tree,17,gini,1,1,0,0,1,19,constant,47,sqrt,6,13,kneighborsClassifier,8,4,lbfgs,uniform,0.9270687237026648
tanh,kd_tree,10,entropy,0,1,1,0,0,36,adaptive,98,log2,16,24,kneighborsClassifier,3,1,adam,uniform,0.5638148667601683
relu,auto,17,entropy,1,0,0,0,1,39,adaptive,19,sqrt,10,10,randomForestClassifier,5,10,sgd,uniform,0.9340813464235624
relu,kd_tree,12,gini,1,1,0,0,0,32,constant,68,sqrt,8,20,kneighborsClassifier,2,5,adam,uniform,0.9312762973352033
logistic,ball_tree,27,entropy,1,1,0,0,0,21,adaptive,57,sqrt,19,38,kneighborsClassifier,4,9,lbfgs,distance,0.9130434782608695
relu,kd_tree,23,entropy,0,1,1,1,1,26,constant,37,sqrt,20,8,nnClassifier,1,5,sgd,distance,0.4838709677419355
tanh,auto,22,entropy,1,1,1,1,0,22,adaptive,56,log2,11,25,randomForestClassifier,9,4,sgd,distance,0.938288920056101
tanh,ball_tree,25,entropy,1,0,1,1,1,18,constant,100,auto,8,7,kneighborsClassifier,1,9,sgd,uniform,0.94109396914446
tanh,ball_tree,20,entropy,0,1,0,0,1,39,adaptive,62,auto,12,8,kneighborsClassifier,5,2,sgd,distance,0.5806451612903226
relu,kd_tree,31,gini,0,0,0,0,1,31,adaptive,35,log2,4,20,kneighborsClassifier,4,2,sgd,distance,0.5694249649368864
