activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,27,gini,1,0,1,1,0,16,invscaling,70,auto,15,22,randomForestClassifier,3,2,lbfgs,uniform,0.9537166900420757
logistic,kd_tree,15,entropy,1,1,0,0,1,2,constant,7,log2,9,8,randomForestClassifier,4,1,adam,distance,0.9495091164095372
relu,ball_tree,17,entropy,0,0,1,1,0,37,invscaling,53,sqrt,15,30,randomForestClassifier,6,10,sgd,distance,0.788218793828892
identity,brute,30,entropy,0,0,1,1,1,31,constant,87,auto,15,7,nnClassifier,10,6,adam,uniform,0.5049088359046283
relu,ball_tree,22,entropy,0,1,0,1,1,29,invscaling,65,auto,11,40,randomForestClassifier,5,1,adam,uniform,0.8737727910238429
tanh,brute,25,entropy,1,0,1,1,1,40,constant,38,sqrt,18,6,nnClassifier,1,1,lbfgs,distance,0.45582047685834504
logistic,brute,24,entropy,1,0,0,0,0,26,adaptive,79,log2,19,34,nnClassifier,10,10,sgd,distance,0.453015427769986
relu,kd_tree,28,entropy,1,1,0,1,1,11,constant,62,auto,16,29,randomForestClassifier,6,9,sgd,uniform,0.9537166900420757
identity,brute,31,entropy,1,1,1,0,0,24,adaptive,13,log2,13,17,randomForestClassifier,3,10,sgd,uniform,0.9467040673211781
relu,ball_tree,20,gini,1,0,1,1,1,23,adaptive,23,auto,16,10,kneighborsClassifier,6,1,lbfgs,distance,0.9228611500701263
logistic,ball_tree,32,gini,0,0,0,1,0,9,adaptive,63,log2,10,25,kneighborsClassifier,6,10,sgd,distance,0.7769985974754559
identity,auto,8,gini,1,1,1,0,0,33,adaptive,98,sqrt,17,36,nnClassifier,3,7,lbfgs,distance,0.4431977559607293
tanh,ball_tree,20,gini,1,0,0,1,1,14,invscaling,33,log2,7,37,kneighborsClassifier,4,1,sgd,uniform,0.9298737727910238
tanh,auto,19,entropy,1,1,0,1,1,40,constant,20,log2,6,35,kneighborsClassifier,10,3,adam,distance,0.9523141654978962
logistic,auto,23,entropy,0,1,1,0,1,6,invscaling,23,auto,4,10,nnClassifier,2,9,adam,uniform,0.5063113604488079
logistic,brute,27,entropy,0,1,1,0,1,37,invscaling,21,log2,2,37,nnClassifier,3,6,adam,uniform,0.5035063113604488
logistic,ball_tree,30,gini,0,1,1,1,0,22,adaptive,17,log2,10,16,randomForestClassifier,3,10,lbfgs,distance,0.7868162692847125
tanh,ball_tree,8,entropy,0,0,0,1,0,39,invscaling,78,sqrt,3,7,kneighborsClassifier,3,2,adam,distance,0.6942496493688639
identity,ball_tree,29,entropy,1,1,1,1,1,14,constant,31,sqrt,7,7,randomForestClassifier,5,2,sgd,distance,0.9537166900420757
identity,brute,14,entropy,1,1,1,0,1,19,constant,61,sqrt,7,36,kneighborsClassifier,8,4,sgd,distance,0.938288920056101
relu,kd_tree,13,gini,1,1,0,1,1,13,adaptive,51,log2,13,7,nnClassifier,8,3,adam,uniform,0.453015427769986
relu,ball_tree,20,entropy,1,0,1,1,0,29,invscaling,13,auto,9,37,kneighborsClassifier,7,6,lbfgs,distance,0.9481065918653576
tanh,ball_tree,22,entropy,0,0,1,0,1,5,invscaling,85,auto,6,28,kneighborsClassifier,10,2,sgd,uniform,0.603085553997195
tanh,auto,30,entropy,0,1,1,0,1,23,constant,38,sqrt,10,35,randomForestClassifier,7,10,lbfgs,uniform,0.7054698457223001
logistic,kd_tree,19,entropy,1,0,1,1,0,25,constant,54,log2,15,25,kneighborsClassifier,7,2,sgd,uniform,0.9256661991584852
tanh,brute,15,entropy,0,1,1,0,1,29,invscaling,24,log2,12,20,nnClassifier,5,10,sgd,distance,0.5007012622720898
tanh,auto,13,entropy,1,0,1,0,1,20,invscaling,72,auto,16,2,nnClassifier,7,5,lbfgs,distance,0.4544179523141655
logistic,auto,17,gini,0,0,1,1,1,29,constant,75,sqrt,9,24,kneighborsClassifier,2,1,sgd,uniform,0.820476858345021
relu,kd_tree,26,gini,0,0,0,1,1,22,adaptive,47,auto,15,34,nnClassifier,9,2,lbfgs,uniform,0.46563814866760167
relu,brute,25,gini,0,1,0,0,0,37,constant,99,log2,10,16,nnClassifier,7,7,lbfgs,uniform,0.5301542776998598
relu,brute,25,gini,1,0,0,0,0,33,constant,5,log2,5,10,randomForestClassifier,6,7,sgd,uniform,0.9467040673211781
relu,kd_tree,27,entropy,1,1,0,0,1,3,constant,23,log2,14,26,nnClassifier,6,10,sgd,distance,0.45161290322580644
