activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,9,gini,1,1,32,invscaling,50,auto,19,8,nnClassifier,2,7,lbfgs,distance,0.47735849056603774
identity,brute,15,gini,0,0,4,constant,4,sqrt,20,19,kneighborsClassifier,9,3,lbfgs,distance,0
identity,brute,24,entropy,0,1,9,invscaling,22,auto,8,23,nnClassifier,10,9,sgd,uniform,0.5339622641509434
tanh,auto,29,gini,1,0,10,invscaling,57,log2,20,20,kneighborsClassifier,6,5,sgd,distance,0.5622641509433962
logistic,kd_tree,17,gini,1,1,13,adaptive,87,auto,7,27,randomForestClassifier,8,3,lbfgs,distance,0.8905660377358491
identity,kd_tree,26,gini,1,0,2,invscaling,94,sqrt,6,35,nnClassifier,5,5,lbfgs,distance,0.5509433962264151
logistic,ball_tree,14,entropy,0,0,13,adaptive,99,sqrt,6,4,randomForestClassifier,5,3,adam,uniform,0
logistic,auto,23,entropy,1,0,17,adaptive,54,auto,18,19,randomForestClassifier,7,8,adam,uniform,0.6018867924528302
logistic,ball_tree,13,gini,0,0,8,constant,47,sqrt,10,21,randomForestClassifier,2,7,lbfgs,distance,0
tanh,auto,13,entropy,1,1,11,constant,40,sqrt,18,15,randomForestClassifier,4,7,lbfgs,uniform,0.8849056603773585
logistic,ball_tree,18,entropy,1,0,35,constant,7,auto,8,38,kneighborsClassifier,10,8,adam,uniform,0.5981132075471698
logistic,brute,16,entropy,1,0,39,invscaling,5,log2,10,31,kneighborsClassifier,9,9,lbfgs,uniform,0.569811320754717
relu,auto,13,gini,1,1,16,invscaling,95,auto,5,20,nnClassifier,8,2,sgd,distance,0.42830188679245285
logistic,kd_tree,25,entropy,1,0,21,invscaling,92,auto,15,38,kneighborsClassifier,4,7,adam,distance,0.5433962264150943
relu,kd_tree,13,entropy,1,0,30,adaptive,15,sqrt,20,28,nnClassifier,1,4,sgd,uniform,0.5452830188679245
identity,ball_tree,21,entropy,0,1,18,constant,58,log2,9,22,randomForestClassifier,6,6,sgd,uniform,0.7150943396226415
logistic,ball_tree,9,gini,0,0,26,constant,77,log2,11,2,randomForestClassifier,1,1,sgd,distance,0
relu,auto,24,entropy,0,1,16,adaptive,6,sqrt,2,7,nnClassifier,9,2,lbfgs,distance,0.48867924528301887
tanh,ball_tree,16,entropy,0,0,11,adaptive,70,log2,2,12,nnClassifier,9,6,adam,distance,0
tanh,brute,11,entropy,0,1,14,constant,13,log2,9,28,randomForestClassifier,6,5,adam,uniform,0.7150943396226415
logistic,brute,10,gini,0,1,32,adaptive,84,log2,11,40,randomForestClassifier,4,10,adam,distance,0.7188679245283018
tanh,kd_tree,15,gini,1,1,17,constant,81,log2,13,32,kneighborsClassifier,6,2,lbfgs,uniform,0.8962264150943396
relu,auto,20,entropy,1,0,29,constant,18,auto,7,18,nnClassifier,10,4,lbfgs,uniform,0.5377358490566038
identity,auto,18,gini,1,1,23,constant,48,sqrt,7,18,kneighborsClassifier,5,3,lbfgs,distance,0.8886792452830189
identity,kd_tree,8,gini,1,1,13,adaptive,28,sqrt,7,7,kneighborsClassifier,10,3,sgd,uniform,0.8886792452830189
logistic,auto,23,entropy,0,0,25,adaptive,25,log2,18,19,nnClassifier,5,4,sgd,uniform,0
logistic,kd_tree,28,entropy,0,0,20,invscaling,63,auto,11,32,randomForestClassifier,5,3,sgd,distance,0
identity,kd_tree,28,entropy,0,1,27,invscaling,73,sqrt,3,8,randomForestClassifier,2,8,sgd,uniform,0.7018867924528301
tanh,auto,11,gini,1,0,22,invscaling,61,auto,17,28,kneighborsClassifier,10,6,lbfgs,uniform,0.5924528301886792
logistic,auto,11,entropy,0,1,10,invscaling,56,sqrt,17,5,randomForestClassifier,5,4,lbfgs,distance,0.7169811320754716
identity,auto,21,entropy,1,1,21,constant,41,sqrt,7,39,nnClassifier,6,7,sgd,uniform,0.5132075471698113
logistic,brute,30,entropy,0,0,18,constant,84,sqrt,13,25,nnClassifier,6,3,adam,distance,0
identity,brute,31,gini,1,0,31,constant,61,auto,10,38,nnClassifier,6,9,lbfgs,uniform,0.5509433962264151
relu,kd_tree,19,gini,0,1,31,adaptive,4,auto,15,8,kneighborsClassifier,9,8,sgd,uniform,0.7132075471698113
identity,brute,24,entropy,0,0,35,invscaling,98,log2,17,33,kneighborsClassifier,3,9,lbfgs,distance,0
relu,brute,12,entropy,1,0,16,adaptive,55,sqrt,11,22,randomForestClassifier,7,6,adam,distance,0.5792452830188679
identity,brute,23,gini,1,1,13,invscaling,86,sqrt,20,35,randomForestClassifier,4,5,lbfgs,distance,0.8867924528301887
