activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,28,gini,1,1,39,constant,13,log2,13,19,nnClassifier,2,1,sgd,distance,0.4849056603773585
relu,ball_tree,29,gini,0,0,19,adaptive,25,log2,5,26,kneighborsClassifier,6,6,sgd,uniform,0
relu,ball_tree,31,entropy,1,0,9,adaptive,70,sqrt,3,21,nnClassifier,3,1,sgd,uniform,0.5075471698113208
logistic,brute,9,entropy,1,0,23,invscaling,42,log2,16,6,kneighborsClassifier,5,6,lbfgs,uniform,0.5716981132075472
identity,ball_tree,10,gini,1,0,6,invscaling,15,sqrt,3,7,randomForestClassifier,3,3,adam,distance,0.5471698113207547
relu,auto,23,entropy,1,0,28,adaptive,13,log2,20,39,randomForestClassifier,8,5,sgd,uniform,0.5528301886792453
logistic,kd_tree,32,entropy,1,1,14,constant,81,log2,13,12,randomForestClassifier,2,5,sgd,distance,0.8830188679245283
relu,brute,20,entropy,1,0,4,invscaling,49,auto,9,6,nnClassifier,9,1,adam,uniform,0.5075471698113208
relu,ball_tree,27,gini,0,0,39,adaptive,1,log2,18,22,randomForestClassifier,4,10,adam,uniform,0
tanh,ball_tree,11,entropy,0,0,27,invscaling,50,log2,9,5,kneighborsClassifier,5,4,adam,uniform,0
tanh,ball_tree,26,gini,0,1,20,adaptive,41,auto,10,33,nnClassifier,5,6,adam,uniform,0.5188679245283019
logistic,auto,18,gini,1,0,24,invscaling,51,auto,13,13,randomForestClassifier,1,1,lbfgs,distance,0.5377358490566038
relu,kd_tree,20,gini,1,0,12,constant,66,log2,4,19,nnClassifier,8,9,adam,uniform,0.5056603773584906
logistic,kd_tree,27,gini,0,1,32,invscaling,91,auto,15,25,kneighborsClassifier,5,6,adam,uniform,0.6867924528301886
tanh,ball_tree,14,entropy,0,1,32,constant,97,auto,11,16,nnClassifier,8,7,adam,distance,0.5056603773584906
identity,brute,12,gini,0,1,31,constant,38,auto,6,10,kneighborsClassifier,7,3,sgd,distance,0.6264150943396226
identity,kd_tree,9,gini,1,0,9,constant,98,log2,6,26,randomForestClassifier,10,8,sgd,uniform,0.5471698113207547
logistic,brute,25,gini,1,1,15,invscaling,93,auto,2,12,kneighborsClassifier,8,3,adam,distance,0.879245283018868
relu,kd_tree,20,entropy,1,0,25,invscaling,9,auto,15,5,kneighborsClassifier,10,1,lbfgs,uniform,0.5037735849056604
identity,kd_tree,25,gini,1,1,17,adaptive,39,log2,7,37,kneighborsClassifier,10,2,sgd,distance,0.8679245283018868
