activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,20,gini,1,0,31,adaptive,62,sqrt,6,12,randomForestClassifier,4,4,sgd,uniform,0.5679245283018868
identity,brute,12,entropy,1,1,37,constant,79,sqrt,14,29,kneighborsClassifier,1,6,lbfgs,uniform,0.8716981132075472
tanh,ball_tree,28,entropy,0,0,6,adaptive,19,auto,20,35,randomForestClassifier,3,1,adam,distance,0
relu,brute,28,entropy,0,0,16,constant,6,log2,3,18,randomForestClassifier,6,2,adam,uniform,0
tanh,auto,19,gini,0,1,6,invscaling,43,sqrt,19,8,randomForestClassifier,8,3,sgd,distance,0.6886792452830188
relu,ball_tree,11,gini,0,1,6,adaptive,63,auto,5,40,kneighborsClassifier,5,3,lbfgs,uniform,0.6094339622641509
logistic,ball_tree,27,gini,1,0,29,invscaling,72,log2,7,7,nnClassifier,7,8,sgd,uniform,0.5754716981132075
logistic,kd_tree,29,entropy,0,0,34,adaptive,13,sqrt,8,2,randomForestClassifier,9,4,sgd,distance,0
logistic,ball_tree,32,entropy,0,1,38,invscaling,20,log2,7,24,kneighborsClassifier,5,8,lbfgs,uniform,0.6509433962264151
identity,auto,20,gini,0,1,9,constant,59,sqrt,7,16,nnClassifier,4,9,lbfgs,distance,0.5641509433962264
relu,brute,15,entropy,1,1,21,adaptive,63,auto,16,7,nnClassifier,9,1,sgd,uniform,0.5188679245283019
tanh,auto,22,gini,1,1,2,adaptive,39,auto,19,40,randomForestClassifier,10,9,sgd,uniform,0.8773584905660378
identity,brute,9,entropy,1,0,30,adaptive,100,sqrt,18,36,nnClassifier,7,8,adam,uniform,0.5641509433962264
tanh,kd_tree,27,entropy,1,0,38,invscaling,6,log2,3,36,randomForestClassifier,3,5,lbfgs,uniform,0.5641509433962264
relu,kd_tree,14,entropy,0,1,18,invscaling,39,log2,20,34,randomForestClassifier,8,2,sgd,distance,0.6867924528301886
identity,ball_tree,28,gini,0,1,27,invscaling,13,sqrt,16,34,nnClassifier,10,10,sgd,distance,0.569811320754717
identity,kd_tree,25,entropy,0,1,3,invscaling,14,auto,9,17,randomForestClassifier,10,3,sgd,uniform,0.6716981132075471
logistic,kd_tree,32,entropy,0,1,2,adaptive,87,auto,12,29,randomForestClassifier,3,8,adam,distance,0.6830188679245283
tanh,brute,28,gini,0,0,18,invscaling,86,log2,3,16,randomForestClassifier,6,6,sgd,distance,0
relu,ball_tree,21,entropy,0,0,22,adaptive,89,log2,17,16,kneighborsClassifier,3,8,adam,uniform,0
relu,brute,28,entropy,0,0,21,invscaling,29,auto,19,21,kneighborsClassifier,4,4,lbfgs,distance,0
identity,brute,20,entropy,0,1,37,constant,44,auto,11,8,kneighborsClassifier,9,2,sgd,uniform,0.590566037735849
relu,kd_tree,14,entropy,0,1,25,adaptive,76,log2,9,10,kneighborsClassifier,6,3,sgd,uniform,0.6056603773584905
tanh,ball_tree,16,entropy,1,0,15,constant,58,log2,16,18,randomForestClassifier,5,1,sgd,distance,0.5622641509433962
logistic,ball_tree,25,gini,0,0,39,invscaling,99,log2,9,37,kneighborsClassifier,3,7,sgd,distance,0
tanh,ball_tree,32,entropy,0,1,2,constant,84,sqrt,5,5,nnClassifier,6,4,sgd,distance,0.5188679245283019
tanh,kd_tree,31,gini,0,1,26,constant,58,auto,5,28,randomForestClassifier,2,6,lbfgs,distance,0.6584905660377358
identity,ball_tree,20,entropy,1,0,40,invscaling,2,log2,15,26,randomForestClassifier,2,9,sgd,distance,0.5622641509433962
tanh,auto,26,entropy,0,1,18,adaptive,95,auto,13,18,randomForestClassifier,5,1,lbfgs,uniform,0.6886792452830188
logistic,auto,12,entropy,1,0,26,adaptive,26,auto,9,28,nnClassifier,3,2,lbfgs,distance,0.5754716981132075
logistic,ball_tree,10,gini,0,1,12,adaptive,59,log2,6,30,kneighborsClassifier,2,9,lbfgs,uniform,0.6471698113207547
tanh,kd_tree,25,gini,1,1,30,adaptive,69,auto,8,23,nnClassifier,5,4,lbfgs,uniform,0.5169811320754717
tanh,kd_tree,20,gini,1,0,33,constant,41,sqrt,10,32,randomForestClassifier,2,5,lbfgs,distance,0.5509433962264151
tanh,brute,18,gini,1,1,33,adaptive,34,sqrt,8,2,nnClassifier,10,3,sgd,uniform,0.5226415094339623
relu,brute,29,gini,0,1,27,invscaling,75,log2,16,26,nnClassifier,9,2,lbfgs,distance,0.5169811320754717
relu,kd_tree,9,gini,1,1,8,adaptive,97,log2,18,11,nnClassifier,10,8,lbfgs,uniform,0.5113207547169811
logistic,auto,24,entropy,0,0,37,invscaling,31,log2,20,32,nnClassifier,4,8,lbfgs,distance,0
logistic,kd_tree,20,entropy,0,1,11,constant,97,log2,4,13,kneighborsClassifier,3,6,adam,distance,0.6037735849056604
logistic,kd_tree,25,entropy,0,1,14,adaptive,7,log2,19,18,kneighborsClassifier,8,6,lbfgs,uniform,0.6358490566037736
relu,ball_tree,31,gini,1,0,18,invscaling,61,auto,13,12,randomForestClassifier,3,6,lbfgs,distance,0.5679245283018868
relu,auto,9,entropy,0,0,11,adaptive,18,auto,10,18,nnClassifier,8,8,adam,uniform,0
identity,ball_tree,13,gini,1,1,34,adaptive,77,log2,14,7,nnClassifier,6,2,sgd,uniform,0.560377358490566
logistic,brute,18,entropy,1,1,3,adaptive,76,auto,7,40,kneighborsClassifier,9,6,lbfgs,uniform,0.8716981132075472
identity,ball_tree,13,entropy,0,0,22,invscaling,82,auto,4,12,randomForestClassifier,9,7,sgd,distance,0
identity,kd_tree,24,gini,0,1,3,adaptive,59,log2,19,7,kneighborsClassifier,7,4,sgd,distance,0.5811320754716981
