activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,26,entropy,0,0,6,invscaling,36,auto,14,32,randomForestClassifier,8,9,lbfgs,distance,0
logistic,auto,24,entropy,1,1,8,constant,79,sqrt,18,32,randomForestClassifier,7,6,sgd,uniform,0.8962264150943396
logistic,kd_tree,31,gini,0,0,11,constant,71,sqrt,13,20,kneighborsClassifier,5,3,adam,uniform,0
identity,auto,10,gini,1,1,22,invscaling,32,sqrt,11,30,kneighborsClassifier,7,6,adam,uniform,0.8905660377358491
logistic,kd_tree,31,gini,1,1,2,adaptive,17,auto,9,37,nnClassifier,4,2,adam,distance,0.5150943396226415
tanh,ball_tree,8,entropy,1,0,9,constant,54,sqrt,4,18,nnClassifier,3,3,lbfgs,uniform,0.5584905660377358
relu,brute,27,gini,1,0,3,adaptive,40,sqrt,12,5,kneighborsClassifier,3,5,sgd,uniform,0.5339622641509434
tanh,brute,25,gini,0,1,27,constant,93,log2,14,17,nnClassifier,2,10,adam,distance,0.49056603773584906
relu,auto,9,gini,1,0,23,invscaling,70,sqrt,20,15,kneighborsClassifier,7,7,adam,uniform,0.530188679245283
tanh,brute,27,entropy,0,1,39,adaptive,26,auto,17,22,kneighborsClassifier,6,5,adam,uniform,0.6811320754716981
logistic,kd_tree,16,entropy,0,0,37,invscaling,42,log2,13,8,kneighborsClassifier,8,9,adam,distance,0
relu,kd_tree,11,gini,1,1,25,adaptive,36,sqrt,4,21,kneighborsClassifier,10,1,lbfgs,distance,0.8754716981132076
relu,brute,26,entropy,0,0,20,adaptive,89,auto,10,40,kneighborsClassifier,2,7,lbfgs,distance,0
logistic,kd_tree,15,gini,1,1,4,adaptive,28,auto,3,40,nnClassifier,5,1,lbfgs,distance,0.5094339622641509
tanh,auto,14,entropy,0,0,9,invscaling,30,sqrt,7,30,kneighborsClassifier,4,2,sgd,distance,0
logistic,brute,9,entropy,1,0,33,invscaling,67,auto,5,21,randomForestClassifier,7,10,sgd,uniform,0.569811320754717
tanh,kd_tree,24,gini,1,0,10,adaptive,8,auto,8,6,randomForestClassifier,2,6,lbfgs,distance,0.5924528301886792
logistic,brute,15,gini,0,1,18,constant,48,auto,20,23,nnClassifier,7,6,sgd,uniform,0.5830188679245283
logistic,ball_tree,22,entropy,1,1,11,invscaling,25,auto,10,30,kneighborsClassifier,9,3,sgd,uniform,0.8849056603773585
logistic,kd_tree,26,entropy,0,0,34,invscaling,69,auto,13,10,randomForestClassifier,10,4,adam,distance,0
logistic,kd_tree,22,gini,1,0,15,constant,16,log2,6,9,nnClassifier,1,2,lbfgs,distance,0.5622641509433962
tanh,ball_tree,27,entropy,0,1,10,adaptive,69,sqrt,13,9,randomForestClassifier,9,2,sgd,uniform,0.6735849056603773
relu,auto,23,gini,1,1,2,constant,79,auto,3,32,kneighborsClassifier,3,8,lbfgs,distance,0.8943396226415095
logistic,brute,29,entropy,1,0,9,constant,28,auto,13,18,nnClassifier,2,9,sgd,uniform,0.5830188679245283
tanh,auto,16,entropy,0,0,10,constant,30,sqrt,5,28,nnClassifier,4,4,adam,uniform,0
tanh,auto,31,gini,1,0,30,constant,11,auto,11,23,kneighborsClassifier,9,10,lbfgs,uniform,0.5811320754716981
