activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,9,entropy,1,1,30,adaptive,6,sqrt,18,13,nnClassifier,9,7,lbfgs,distance,0.5132075471698113
identity,kd_tree,20,gini,0,0,38,adaptive,27,log2,14,22,randomForestClassifier,5,2,lbfgs,uniform,0
relu,kd_tree,21,entropy,1,1,4,invscaling,41,auto,17,23,nnClassifier,10,9,sgd,distance,0.30754716981132074
logistic,auto,19,entropy,1,0,35,invscaling,44,sqrt,9,15,nnClassifier,7,7,adam,uniform,0.5622641509433962
identity,kd_tree,19,gini,1,0,26,invscaling,37,log2,7,8,nnClassifier,2,10,adam,distance,0.5830188679245283
relu,auto,9,entropy,1,1,28,invscaling,46,log2,16,40,kneighborsClassifier,6,7,lbfgs,distance,0.8867924528301887
tanh,ball_tree,18,entropy,1,1,18,invscaling,98,sqrt,2,6,kneighborsClassifier,1,9,adam,distance,0.8849056603773585
tanh,auto,29,gini,1,0,8,invscaling,23,sqrt,13,24,randomForestClassifier,6,6,lbfgs,distance,0.5452830188679245
tanh,brute,31,entropy,0,0,40,adaptive,63,sqrt,5,10,nnClassifier,10,7,sgd,uniform,0
relu,auto,19,gini,1,1,30,invscaling,53,log2,8,24,randomForestClassifier,6,3,lbfgs,uniform,0.9075471698113208
tanh,auto,28,entropy,0,1,7,constant,43,auto,9,6,randomForestClassifier,8,9,lbfgs,uniform,0.6849056603773584
logistic,brute,30,entropy,0,0,30,constant,64,log2,18,11,randomForestClassifier,2,7,sgd,uniform,0
tanh,ball_tree,26,gini,1,1,16,invscaling,1,auto,19,5,kneighborsClassifier,3,4,lbfgs,uniform,0.8905660377358491
identity,brute,21,entropy,0,0,8,invscaling,67,auto,9,24,randomForestClassifier,4,9,sgd,uniform,0
relu,brute,23,gini,1,0,22,invscaling,12,auto,16,6,kneighborsClassifier,1,3,adam,distance,0.5339622641509434
logistic,brute,13,entropy,0,0,12,invscaling,42,sqrt,14,8,kneighborsClassifier,5,3,lbfgs,distance,0
identity,brute,14,gini,1,0,29,adaptive,10,auto,17,29,nnClassifier,1,10,sgd,distance,0.5452830188679245
logistic,brute,31,entropy,0,0,35,invscaling,53,sqrt,18,31,kneighborsClassifier,6,10,adam,distance,0
logistic,kd_tree,17,gini,1,0,16,invscaling,5,auto,5,17,randomForestClassifier,2,8,sgd,uniform,0.5924528301886792
relu,brute,19,entropy,0,0,9,invscaling,18,auto,10,40,kneighborsClassifier,1,8,lbfgs,uniform,0
relu,auto,20,gini,0,1,27,adaptive,93,log2,10,24,randomForestClassifier,10,3,adam,distance,0.6962264150943396
tanh,auto,10,entropy,0,0,18,constant,25,auto,17,11,randomForestClassifier,1,5,sgd,uniform,0
tanh,kd_tree,20,entropy,1,1,11,invscaling,62,auto,18,34,kneighborsClassifier,6,7,adam,uniform,0.8867924528301887
logistic,kd_tree,18,entropy,1,0,4,adaptive,74,sqrt,15,7,nnClassifier,1,10,sgd,uniform,0.5962264150943396
logistic,auto,28,entropy,0,0,2,invscaling,52,auto,13,30,randomForestClassifier,9,3,lbfgs,distance,0
identity,auto,27,gini,1,1,12,adaptive,74,sqrt,10,26,kneighborsClassifier,5,4,adam,distance,0.8905660377358491
logistic,auto,17,entropy,0,1,29,adaptive,77,sqrt,14,30,nnClassifier,7,10,adam,distance,0.5207547169811321
identity,ball_tree,20,entropy,0,0,13,adaptive,53,log2,5,18,randomForestClassifier,2,2,adam,distance,0
relu,brute,15,entropy,0,0,18,invscaling,29,auto,3,26,randomForestClassifier,6,3,sgd,uniform,0
tanh,brute,20,gini,1,1,18,constant,98,sqrt,13,16,nnClassifier,9,6,lbfgs,uniform,0.5169811320754717
logistic,ball_tree,12,gini,1,0,11,constant,16,log2,17,32,randomForestClassifier,1,1,lbfgs,distance,0.5566037735849056
