feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,7,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8895927601809954,5.909606695175171
0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,53,log2,14,26,nan,nan,NA,NA,0.8642533936651584,12.072057247161865
0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,kneighborsClassifier,NA,brute,nan,NA,12,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.930316742081448,17.63231873512268
1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,22,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.7864253393665158,22.9846510887146
0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,kneighborsClassifier,NA,brute,nan,NA,8,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.853393665158371,28.414286613464355
0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9466063348416289,34.5085027217865
0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.9167420814479638,41.031206369400024
1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,23,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9466063348416289,46.46831727027893
0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9384615384615385,52.91300868988037
1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,31,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9330316742081448,58.872788190841675
1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9366515837104072,64.61450719833374
1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9312217194570136,70.26127052307129
1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,16,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9538461538461539,75.2328131198883
1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.8787330316742081,80.14302158355713
1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,kneighborsClassifier,NA,auto,nan,NA,17,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9520361990950226,85.24725699424744
0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,11,auto,2,30,nan,nan,NA,NA,0.9076923076923077,91.92676377296448
0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,38,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8914027149321267,97.42358303070068
1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,kneighborsClassifier,NA,auto,nan,NA,6,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9375565610859729,102.51848983764648
0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,24,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9058823529411765,108.44915103912354
0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,25,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9266968325791856,114.1662232875824
1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,kneighborsClassifier,NA,auto,nan,NA,14,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9113122171945701,120.10751914978027
0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,40,auto,19,28,nan,nan,NA,NA,0.9294117647058824,125.71248698234558
0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,kneighborsClassifier,NA,brute,nan,NA,33,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9239819004524887,131.16230630874634
1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,38,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.8714932126696833,136.16884756088257
1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,24,auto,1,38,nan,nan,NA,NA,0.9375565610859729,141.40444469451904
0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9312217194570136,146.72070574760437
1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,kneighborsClassifier,NA,auto,nan,NA,5,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9203619909502262,152.70583367347717
0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,12,sqrt,16,7,nan,nan,NA,NA,0.9384615384615385,158.20088529586792
