feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,14,auto,16,30,nan,nan,NA,NA,0.8995475113122172,6.0320727825164795
1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,63,log2,17,10,nan,nan,NA,NA,0.7900452488687782,11.607811450958252
0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,53,sqrt,15,34,nan,nan,NA,NA,0.7746606334841629,17.17512273788452
0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,7,NA,distance,0.92579185520362,22.4804949760437
1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,30,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.930316742081448,27.984874725341797
0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8841628959276018,33.427083015441895
1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,kneighborsClassifier,NA,brute,nan,NA,34,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8751131221719457,38.56295394897461
0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,nnClassifier,relu,NA,25,NA,nan,adaptive,nan,NA,nan,nan,3,nan,sgd,NA,0.5104072398190045,63.357115507125854
1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,16,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.8923076923076924,68.73881602287292
0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,sqrt,12,2,nan,nan,NA,NA,0.890497737556561,74.35677337646484
0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.8850678733031674,80.27571702003479
1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,kneighborsClassifier,NA,auto,nan,NA,28,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8298642533936652,85.5776436328888
