feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,nnClassifier,logistic,NA,28,NA,nan,adaptive,nan,NA,nan,nan,4,nan,sgd,NA,0.5031674208144796,24.24428677558899
1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,54,sqrt,17,8,nan,nan,NA,NA,0.9330316742081448,29.650949239730835
0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,48,sqrt,4,35,nan,nan,NA,NA,0.7918552036199095,35.418781757354736
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,96,log2,7,10,nan,nan,NA,NA,0.9438914027149321,40.842384338378906
1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,92,auto,18,15,nan,nan,NA,NA,0.9140271493212669,46.40916609764099
0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,72,sqrt,9,3,nan,nan,NA,NA,0.9031674208144796,52.2525897026062
1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,84,sqrt,14,18,nan,nan,NA,NA,0.9276018099547512,57.94433522224426
0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9420814479638009,63.72455191612244
1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9239819004524887,69.39504265785217
0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,nnClassifier,relu,NA,14,NA,nan,invscaling,nan,NA,nan,nan,6,nan,adam,NA,0.5113122171945701,97.60200023651123
