feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,nnClassifier,relu,NA,21,NA,nan,adaptive,nan,NA,nan,nan,10,nan,lbfgs,NA,0.5067873303167421,10.297226905822754
1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9312217194570136,15.782357215881348
0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,kneighborsClassifier,NA,auto,nan,NA,2,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.7773755656108597,20.955740928649902
1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,66,sqrt,20,36,nan,nan,NA,NA,0.9013574660633484,26.366514682769775
0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,84,sqrt,20,14,nan,nan,NA,NA,0.9158371040723982,31.513357877731323
0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,89,sqrt,18,17,nan,nan,NA,NA,0.9285067873303168,37.179171323776245
1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,90,sqrt,10,17,nan,nan,NA,NA,0.6968325791855203,42.79387664794922
0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,kneighborsClassifier,NA,auto,nan,NA,34,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9140271493212669,48.72221112251282
0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,nnClassifier,tanh,NA,29,NA,nan,adaptive,nan,NA,nan,nan,3,nan,adam,NA,0.5194570135746607,72.66614770889282
0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,kneighborsClassifier,NA,brute,nan,NA,23,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8678733031674208,77.72616767883301
0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,nnClassifier,relu,NA,16,NA,nan,adaptive,nan,NA,nan,nan,1,nan,lbfgs,NA,0.5203619909502263,86.90697765350342
0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,32,log2,19,35,nan,nan,NA,NA,0.9357466063348416,92.36408567428589
1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9393665158371041,97.23949956893921
0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,12,sqrt,16,22,nan,nan,NA,NA,0.9285067873303168,102.597829580307
0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8380090497737557,108.15374970436096
0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,nnClassifier,tanh,NA,14,NA,nan,invscaling,nan,NA,nan,nan,9,nan,adam,NA,0.5230769230769231,155.43062496185303
0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,63,auto,2,14,nan,nan,NA,NA,0.9502262443438914,160.84672474861145
0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,69,auto,9,31,nan,nan,NA,NA,0.930316742081448,166.47820615768433
1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,93,log2,1,19,nan,nan,NA,NA,0.9366515837104072,172.2070939540863
0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,auto,13,31,nan,nan,NA,NA,0.8968325791855204,177.97169423103333
