activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,79,auto,14,21,nnClassifier,6,10,adam,distance,0.623400365630713,1008.5990063918289
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,58,auto,14,22,nnClassifier,6,4,adam,distance,0.08683729433272395,1008.5990763108712
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,76,auto,12,11,nnClassifier,8,10,adam,distance,0.26051188299817185,1008.5991350198165
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,41,auto,10,30,nnClassifier,8,9,adam,distance,0.27513711151736747,1008.5991935699712
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,75,auto,12,12,nnClassifier,7,8,adam,distance,0.11151736745886655,1008.5992520989385
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,73,auto,12,29,nnClassifier,2,6,adam,distance,0.6005484460694699,1008.599311308004
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,44,auto,13,21,nnClassifier,6,8,adam,distance,0.48811700182815354,1008.5993696867954
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,45,auto,11,25,nnClassifier,9,6,adam,distance,0.4945155393053016,1008.5994279859588
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,70,auto,14,12,nnClassifier,6,7,adam,distance,0.47074954296160876,1008.5994860148057
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,74,auto,12,11,nnClassifier,4,7,adam,distance,0.6087751371115173,1008.5995448548347
