activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,12,gini,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,7,invscaling,7,auto,13,31,kneighborsClassifier,9,8,lbfgs,distance,0.4369287020109689,241.79349569091573
relu,kd_tree,19,gini,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,21,invscaling,93,auto,15,8,randomForestClassifier,6,7,lbfgs,distance,0.6042047531992687,241.7935763890855
relu,kd_tree,27,gini,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,11,constant,86,auto,6,26,kneighborsClassifier,10,6,adam,distance,0.4716636197440585,241.79363767802715
relu,ball_tree,26,gini,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,32,invscaling,86,auto,6,23,nnClassifier,10,8,sgd,distance,0.002742230347349177,241.79369794693775
relu,kd_tree,20,gini,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,11,invscaling,12,auto,3,28,randomForestClassifier,10,9,lbfgs,distance,0.6535648994515539,241.7937582959421
relu,ball_tree,20,gini,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,11,invscaling,12,auto,8,29,randomForestClassifier,10,9,adam,distance,0.48720292504570384,241.7938201050274
relu,auto,20,gini,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,10,invscaling,81,auto,11,8,randomForestClassifier,6,7,lbfgs,distance,0.5438756855575868,241.7938821830321
relu,kd_tree,19,gini,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,29,invscaling,49,auto,15,31,nnClassifier,10,9,sgd,distance,0.051188299817184646,241.79394153202884
relu,auto,20,gini,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,15,invscaling,78,auto,2,25,nnClassifier,5,3,adam,distance,0.09323583180987204,241.79400158091448
relu,kd_tree,23,gini,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,10,invscaling,23,auto,19,27,randomForestClassifier,10,9,sgd,distance,0.5585009140767825,241.79406130989082
relu,auto,23,gini,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,17,invscaling,35,auto,3,16,nnClassifier,7,9,lbfgs,distance,0.08592321755027423,241.79412065888755
relu,kd_tree,22,gini,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,12,constant,50,auto,6,20,nnClassifier,10,9,sgd,distance,0.010054844606946984,241.79417936806567
relu,ball_tree,27,gini,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,10,invscaling,47,auto,9,22,nnClassifier,9,9,adam,distance,0.07495429616087751,241.7942501269281
relu,kd_tree,28,gini,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,30,invscaling,11,auto,6,22,nnClassifier,5,10,lbfgs,distance,0.04113345521023766,241.79430905496702
relu,kd_tree,16,gini,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,10,constant,31,auto,9,18,nnClassifier,9,7,adam,distance,0.17093235831809872,241.7943679240998
relu,ball_tree,20,gini,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,21,invscaling,10,auto,9,29,kneighborsClassifier,10,8,adam,distance,0.49725776965265084,241.79442628310062
relu,ball_tree,13,gini,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,10,constant,19,auto,7,15,kneighborsClassifier,7,8,adam,distance,0.42138939670932357,241.79448535200208
relu,kd_tree,27,gini,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,32,invscaling,8,auto,6,31,nnClassifier,10,7,adam,distance,0.033820840950639856,241.79454371100292
relu,kd_tree,24,gini,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,8,invscaling,25,auto,14,10,kneighborsClassifier,10,9,lbfgs,distance,0.4469835466179159,241.79460238991305
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,21,constant,74,auto,13,17,nnClassifier,7,9,lbfgs,distance,0.0886654478976234,241.7946613188833
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,11,auto,11,27,nnClassifier,10,6,adam,distance,0.5347349177330896,614.4377662430052
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,89,auto,11,10,nnClassifier,8,7,adam,distance,0.6471663619744058,614.4378450310323
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,82,auto,10,22,nnClassifier,10,10,adam,distance,0.5329067641681902,614.4379051199649
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,83,auto,5,19,nnClassifier,7,8,adam,distance,0.03656307129798903,614.4379640589468
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,16,auto,7,24,nnClassifier,6,8,adam,distance,0.6535648994515539,614.4380240680184
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,16,auto,8,25,nnClassifier,7,5,adam,distance,0.6489945155393053,614.4380834670737
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,79,auto,9,8,nnClassifier,8,9,adam,distance,0.6581352833638026,614.4381418949924
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,53,auto,13,35,nnClassifier,8,9,adam,distance,0.02376599634369287,614.4382003939245
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,82,auto,6,22,nnClassifier,7,7,adam,distance,0.2952468007312614,614.4382702130824
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,25,auto,16,23,nnClassifier,8,6,adam,distance,0.629798903107861,614.4383282819763
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,39,auto,7,12,nnClassifier,6,7,adam,distance,0.3117001828153565,614.4383864409756
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,54,auto,10,16,nnClassifier,6,7,adam,distance,0.27513711151736747,614.4384444400202
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,51,auto,9,18,nnClassifier,6,8,adam,distance,0.2577696526508227,614.4385028379038
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,15,auto,10,18,nnClassifier,9,10,adam,distance,0.31444241316270566,614.4385608769953
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,35,auto,8,14,nnClassifier,5,9,adam,distance,0.24862888482632542,614.4386190460064
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,14,auto,10,25,nnClassifier,7,8,adam,distance,0.5484460694698354,614.4386777549516
