activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,ball_tree,26,gini,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,5,constant,37,log2,4,11,randomForestClassifier,9,4,adam,uniform,0.5813528336380256,439.96716699097306
tanh,ball_tree,27,gini,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,16,constant,38,auto,10,35,randomForestClassifier,10,3,adam,distance,0.506398537477148,439.96724913991056
tanh,ball_tree,21,gini,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,23,constant,90,log2,4,11,nnClassifier,7,4,adam,uniform,0.12705667276051189,439.96730951895006
tanh,ball_tree,26,gini,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,26,constant,63,auto,4,15,nnClassifier,9,3,adam,distance,0.17641681901279707,439.96738110808656
tanh,ball_tree,12,gini,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,30,constant,53,sqrt,15,32,randomForestClassifier,9,5,adam,uniform,0.576782449725777,439.9674392370507
tanh,ball_tree,26,gini,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,4,constant,65,log2,12,28,nnClassifier,9,3,adam,uniform,0.031992687385740404,439.96749691595323
tanh,ball_tree,21,gini,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,37,constant,82,log2,2,27,kneighborsClassifier,7,4,adam,distance,0.4076782449725777,439.9675546460785
tanh,auto,12,gini,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,11,constant,30,auto,10,12,nnClassifier,6,3,adam,distance,0.19469835466179158,439.9676121349912
relu,ball_tree,20,gini,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,18,constant,96,auto,4,23,nnClassifier,8,2,adam,distance,0.263254113345521,439.9676698939875
relu,ball_tree,25,gini,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,6,constant,47,log2,5,15,nnClassifier,9,6,adam,distance,0.13619744058500913,439.96772704296745
relu,ball_tree,18,gini,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,34,constant,71,auto,5,27,nnClassifier,9,4,adam,distance,0.23491773308957953,439.96778469206765
relu,auto,17,gini,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,5,constant,15,auto,6,13,kneighborsClassifier,9,10,adam,uniform,0.4716636197440585,439.9678424010053
tanh,auto,14,gini,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,constant,13,log2,5,11,kneighborsClassifier,9,5,adam,distance,0.45429616087751373,439.96789980097674
tanh,ball_tree,13,gini,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,4,constant,18,auto,7,11,kneighborsClassifier,8,3,adam,distance,0.506398537477148,439.9679601700045
relu,ball_tree,19,gini,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,18,constant,14,log2,12,12,randomForestClassifier,7,2,adam,uniform,0.5402193784277879,439.9680200489238
relu,ball_tree,25,gini,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,5,constant,10,auto,14,30,nnClassifier,9,4,adam,uniform,0.24954296160877515,439.9680775778834
tanh,ball_tree,22,gini,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,24,constant,71,log2,4,21,kneighborsClassifier,7,4,adam,uniform,0.3619744058500914,439.9681349368766
