activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,20,gini,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,27,invscaling,54,sqrt,6,39,kneighborsClassifier,4,5,adam,uniform,0.40219378427787933,362.3228986179456
identity,ball_tree,29,gini,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,17,constant,68,auto,6,23,nnClassifier,4,4,adam,uniform,0.07952468007312614,362.32298439578153
identity,ball_tree,18,entropy,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,46,sqrt,9,24,kneighborsClassifier,6,6,sgd,distance,0.5246800731261426,362.32304527494125
identity,kd_tree,31,gini,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,26,constant,85,sqrt,8,17,nnClassifier,1,4,lbfgs,uniform,0.180073126142596,362.3231045338325
identity,kd_tree,27,gini,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,25,invscaling,95,sqrt,11,13,randomForestClassifier,1,4,sgd,distance,0.526508226691042,362.32316406280734
identity,kd_tree,23,gini,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,29,invscaling,16,sqrt,6,35,nnClassifier,5,4,sgd,uniform,0.04113345521023766,362.32322259200737
tanh,auto,27,gini,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,32,invscaling,30,sqrt,11,22,kneighborsClassifier,1,5,adam,distance,0.4780621572212066,362.323280850891
identity,kd_tree,30,entropy,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,23,invscaling,27,sqrt,6,24,randomForestClassifier,1,4,lbfgs,uniform,0.5804387568555759,362.3233382808976
identity,kd_tree,14,gini,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,23,invscaling,38,sqrt,11,24,kneighborsClassifier,6,4,sgd,uniform,0.4716636197440585,362.3233962098602
tanh,kd_tree,31,gini,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,35,invscaling,14,auto,13,24,randomForestClassifier,5,3,adam,distance,0.5100548446069469,362.3234539187979
