activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,25,gini,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,32,constant,76,auto,7,15,nnClassifier,5,2,adam,distance,0.2851919561243144,297.02833816804923
relu,ball_tree,15,gini,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,10,constant,9,auto,11,17,kneighborsClassifier,6,1,adam,uniform,0.5210237659963437,297.0284246269148
relu,kd_tree,12,gini,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,20,constant,30,sqrt,16,29,nnClassifier,7,2,adam,uniform,0.06307129798903108,297.0284867659211
relu,kd_tree,27,gini,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,14,constant,39,auto,6,28,nnClassifier,4,2,adam,distance,0.21023765996343693,297.02854759595357
relu,kd_tree,25,gini,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,21,constant,18,sqrt,11,13,nnClassifier,7,1,adam,distance,0.03290676416819013,297.02860816498287
relu,brute,13,gini,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,20,constant,23,sqrt,4,23,nnClassifier,5,2,adam,distance,0.03016453382084095,297.0286679349374
relu,brute,14,gini,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,15,constant,77,sqrt,6,20,nnClassifier,4,1,adam,distance,0.1956124314442413,297.0287272138521
relu,auto,15,gini,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,6,constant,32,sqrt,9,18,nnClassifier,3,7,adam,distance,0.2312614259597806,297.02878617402166
relu,kd_tree,19,gini,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,27,constant,16,auto,6,7,nnClassifier,4,6,adam,uniform,0.04204753199268738,297.0288452228997
relu,brute,18,gini,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,18,constant,40,sqrt,14,18,kneighborsClassifier,2,6,adam,uniform,0.42230347349177333,297.0289037320763
relu,ball_tree,16,gini,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,31,constant,43,sqrt,5,27,kneighborsClassifier,4,2,adam,distance,0.4753199268738574,297.02896204194985
relu,auto,15,gini,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,10,constant,90,sqrt,4,6,kneighborsClassifier,4,2,adam,uniform,0.4360146252285192,297.0290207709186
relu,brute,28,gini,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,9,constant,37,sqrt,5,17,randomForestClassifier,1,5,adam,distance,0.5329067641681902,297.02909234096296
relu,kd_tree,25,gini,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,89,sqrt,14,36,nnClassifier,5,5,adam,distance,0.07312614259597806,297.0291506599169
relu,ball_tree,12,gini,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,constant,25,sqrt,8,15,kneighborsClassifier,4,1,adam,distance,0.4405850091407678,297.02920880005695
relu,kd_tree,18,gini,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,22,constant,70,auto,15,27,randomForestClassifier,5,3,adam,distance,0.5447897623400365,297.0292671089992
relu,auto,13,gini,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,23,constant,83,sqrt,8,25,nnClassifier,6,1,adam,uniform,0.13345521023765997,297.0293248889502
relu,brute,13,gini,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,20,constant,17,sqrt,5,15,randomForestClassifier,4,1,adam,uniform,0.5996343692870201,297.02938324795105
relu,ball_tree,15,gini,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,27,constant,38,sqrt,8,18,kneighborsClassifier,3,4,adam,distance,0.4670932358318099,297.0294416178949
relu,brute,13,gini,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,10,constant,17,sqrt,4,16,kneighborsClassifier,4,1,adam,distance,0.37385740402193784,297.02950009703636
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,72,auto,4,18,nnClassifier,1,6,adam,distance,0.27879341864716634,983.8548179659992
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,constant,13,auto,9,20,nnClassifier,3,5,adam,distance,0.5173674588665448,983.8549032448791
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,34,auto,16,25,nnClassifier,3,6,adam,distance,0.29250457038391225,983.8549640548881
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,35,auto,5,24,nnClassifier,1,4,adam,distance,0.2696526508226691,983.855022483971
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,22,auto,9,14,nnClassifier,4,5,adam,distance,0.2906764168190128,983.8550935029052
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,27,auto,6,19,nnClassifier,1,3,adam,distance,0.263254113345521,983.8551512430422
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,73,auto,5,16,nnClassifier,1,5,adam,distance,0.26691042047531993,983.855208432069
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,36,auto,6,15,nnClassifier,1,7,adam,distance,0.2806215722120658,983.8552654718515
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,20,auto,4,11,nnClassifier,1,3,adam,distance,0.2806215722120658,983.8553224420175
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,37,auto,10,16,nnClassifier,1,2,adam,distance,0.4680073126142596,983.855379390996
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,39,auto,6,25,nnClassifier,1,6,adam,distance,0.4625228519195612,983.8554363509174
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,86,auto,5,10,nnClassifier,3,2,adam,distance,0.4789762340036563,983.8554931399412
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,35,auto,4,16,nnClassifier,1,4,adam,distance,0.6636197440585009,983.8555496600457
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,85,auto,10,32,nnClassifier,1,5,adam,distance,0.27787934186471663,983.8556062688585
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,29,auto,6,14,nnClassifier,1,1,adam,distance,0.49177330895795246,983.8556634490378
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,66,auto,11,23,nnClassifier,1,4,adam,distance,0.5923217550274223,983.8557204380631
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,79,auto,5,21,nnClassifier,2,3,adam,distance,0.283363802559415,983.8557773178909
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,17,auto,5,16,nnClassifier,2,5,adam,distance,0.5996343692870201,983.85583394696
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,37,auto,5,20,nnClassifier,1,8,adam,distance,0.44972577696526506,983.855890996987
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,21,auto,3,19,nnClassifier,2,5,adam,distance,0.4716636197440585,983.8559480858967
relu,auto,30,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,68,auto,3,16,nnClassifier,1,5,adam,distance,0.11974405850091407,2167.886721419869
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,17,auto,7,19,nnClassifier,4,2,adam,distance,0.20658135283363802,2167.8868034589104
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,38,auto,12,21,nnClassifier,1,7,adam,distance,0.29981718464351004,2167.8868653478567
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,39,auto,6,20,nnClassifier,4,4,adam,distance,0.10786106032906764,2167.886925338069
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,26,auto,8,15,nnClassifier,3,6,adam,distance,0.26782449725776963,2167.8869850670453
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,31,auto,3,15,nnClassifier,5,5,adam,distance,0.10146252285191956,2167.8870446369983
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,69,auto,5,20,nnClassifier,1,1,adam,distance,0.10511882998171847,2167.8871192359366
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,38,auto,5,19,nnClassifier,3,4,adam,distance,0.10877513711151737,2167.887179195881
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,24,auto,8,15,nnClassifier,4,6,adam,distance,0.11974405850091407,2167.8872382449917
