activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,21,gini,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,14,constant,91,auto,12,22,randomForestClassifier,8,9,adam,uniform,0.5786106032906764,298.95222862809896
relu,auto,25,gini,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,14,adaptive,48,auto,12,13,nnClassifier,7,7,adam,uniform,0.21663619744058502,298.9523128680885
logistic,auto,28,gini,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,14,invscaling,94,auto,12,7,nnClassifier,7,10,adam,uniform,0.0,298.9523758071009
relu,auto,26,gini,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,36,adaptive,6,auto,12,15,nnClassifier,5,6,adam,uniform,0.03656307129798903,298.9524359260686
identity,auto,21,gini,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,25,constant,76,auto,12,35,nnClassifier,9,7,adam,distance,0.044789762340036565,298.9524971949868
logistic,auto,30,gini,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,15,invscaling,62,auto,12,10,randomForestClassifier,6,6,adam,uniform,0.5210237659963437,298.9525578049943
identity,auto,22,gini,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,14,invscaling,8,auto,12,12,randomForestClassifier,7,6,adam,distance,0.4963436928702011,298.9526187540032
logistic,auto,28,gini,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,15,invscaling,31,auto,12,11,kneighborsClassifier,7,9,adam,uniform,0.5,298.95267892302945
logistic,auto,23,gini,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,14,adaptive,92,auto,12,14,randomForestClassifier,8,10,adam,uniform,0.6316270566727605,298.952752713114
tanh,auto,24,gini,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,16,invscaling,20,auto,12,14,nnClassifier,7,5,adam,distance,0.25045703839122485,298.9528125920333
