,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,83,sqrt,19,15,None,None,None,None,0.5620915032679739,ok,2.342244649073109
1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,nnClassifier,identity,None,26.0,None,None,adaptive,None,None,None,None,8.0,None,sgd,None,0.12581699346405228,ok,12.103259151102975
2,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,nnClassifier,relu,None,27.0,None,None,invscaling,None,None,None,None,2.0,None,adam,None,0.1437908496732026,ok,25.889692675089464
3,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,24,auto,11,15,None,None,None,None,0.5620915032679739,ok,28.39526482205838
4,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,41,sqrt,6,6,None,None,None,None,0.5784313725490197,ok,29.626660908106714
5,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,nnClassifier,tanh,None,29.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,0.19281045751633988,ok,34.62873248010874
6,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,52,sqrt,18,15,None,None,None,None,0.5620915032679739,ok,35.672359148971736
7,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,nnClassifier,tanh,None,10.0,None,None,adaptive,None,None,None,None,9.0,None,adam,None,0.17647058823529413,ok,69.5053376390133
8,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,10,log2,13,29,None,None,None,None,0.5277777777777778,ok,71.25715919607319
9,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,nnClassifier,logistic,None,9.0,None,None,adaptive,None,None,None,None,8.0,None,lbfgs,None,0.16830065359477125,ok,75.17034920095466
10,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,nnClassifier,identity,None,10.0,None,None,invscaling,None,None,None,None,6.0,None,sgd,None,0.10130718954248366,ok,83.13491527596489
11,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,kneighborsClassifier,None,brute,None,None,7.0,None,None,None,None,None,None,4.0,None,uniform,0.553921568627451,ok,83.25840692594647
12,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,3.0,None,None,None,None,None,None,8.0,None,distance,0.5931372549019608,ok,83.42070964211598
13,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,27,sqrt,18,12,None,None,None,None,0.5359477124183006,ok,84.489322735928
14,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,77,auto,6,20,None,None,None,None,0.5522875816993464,ok,86.95781399309635
15,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,nnClassifier,identity,None,19.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,0.10457516339869281,ok,88.45751258009113
