,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,92,sqrt,18,12,None,None,None,None,0.545751633986928,ok,2.160465758992359
1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,nnClassifier,tanh,None,30.0,None,None,adaptive,None,None,None,None,4.0,None,lbfgs,None,0.14869281045751634,ok,6.52375262696296
2,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,kneighborsClassifier,None,brute,None,None,25.0,None,None,None,None,None,None,3.0,None,uniform,0.5375816993464052,ok,6.633179747965187
3,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,kneighborsClassifier,None,brute,None,None,16.0,None,None,None,None,None,None,1.0,None,distance,0.5555555555555556,ok,6.783454186050221
4,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,87,log2,17,29,None,None,None,None,0.545751633986928,ok,8.589320461032912
5,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,kneighborsClassifier,None,ball_tree,None,None,27.0,None,None,None,None,None,None,7.0,None,uniform,0.5343137254901961,ok,8.715032697888091
6,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,10,log2,15,14,None,None,None,None,0.5392156862745098,ok,9.652175057912245
7,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,nnClassifier,relu,None,20.0,None,None,adaptive,None,None,None,None,7.0,None,sgd,None,0.17483660130718953,ok,24.009424831951037
8,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,kneighborsClassifier,None,ball_tree,None,None,27.0,None,None,None,None,None,None,4.0,None,uniform,0.5392156862745098,ok,24.146622917847708
9,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,nnClassifier,relu,None,24.0,None,None,invscaling,None,None,None,None,10.0,None,adam,None,0.17973856209150327,ok,38.790147142950445
10,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,25,log2,11,6,None,None,None,None,0.576797385620915,ok,39.821722582913935
11,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,nnClassifier,identity,None,21.0,None,None,invscaling,None,None,None,None,7.0,None,sgd,None,0.09803921568627451,ok,44.15944271790795
12,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,46,log2,3,21,None,None,None,None,0.5980392156862745,ok,45.26077624806203
