,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,16,None,None,None,None,None,None,9,None,distance,0.5964052287581699,ok,0.18886403203941882
1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,16,None,None,None,None,None,None,6,None,uniform,0.5490196078431373,ok,0.30936466297134757
2,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,22,None,None,None,None,None,None,7,None,uniform,0.5522875816993464,ok,0.44697083602659404
3,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,nnClassifier,identity,None,22.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,0.13725490196078433,ok,1.593908156035468
4,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,nnClassifier,logistic,None,22.0,None,None,adaptive,None,None,None,None,6.0,None,lbfgs,None,0.1895424836601307,ok,5.051440563052893
5,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,6.0,auto,16.0,10.0,None,None,None,None,0.49019607843137253,ok,6.659840838983655
6,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,83.0,log2,7.0,37.0,None,None,None,None,0.5424836601307189,ok,8.358717537950724
7,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,37.0,log2,17.0,22.0,None,None,None,None,0.5441176470588235,ok,10.112525996053591
8,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,9.0,log2,4.0,10.0,None,None,None,None,0.5424836601307189,ok,12.159818513086066
9,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,kneighborsClassifier,None,auto,None,None,17,None,None,None,None,None,None,5,None,uniform,0.5604575163398693,ok,12.335307484026998
