feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,nnClassifier,identity,NA,11,NA,nan,adaptive,nan,NA,nan,nan,6,nan,lbfgs,NA,1.0,5.973355770111084
1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,nnClassifier,logistic,NA,27,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,1.0,11.542030334472656
1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,nnClassifier,tanh,NA,28,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,1.0,17.351666927337646
0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,nnClassifier,tanh,NA,9,NA,nan,constant,nan,NA,nan,nan,6,nan,adam,NA,1.0,29.931386947631836
0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,35,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9947201689545935,34.769277811050415
1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,25,sqrt,10,21,nan,nan,NA,NA,0.996832101372756,40.109827756881714
0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,9,NA,distance,0.996832101372756,45.057634592056274
1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,96,sqrt,20,34,nan,nan,NA,NA,0.9936642027455121,50.73546767234802
0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,nnClassifier,logistic,NA,9,NA,nan,adaptive,nan,NA,nan,nan,9,nan,sgd,NA,1.0,78.65548872947693
1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9957761351636748,83.96279048919678
0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,sqrt,19,19,nan,nan,NA,NA,0.9936642027455121,89.68306279182434
0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,9,sqrt,12,33,nan,nan,NA,NA,0.996832101372756,95.47836518287659
1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,nnClassifier,logistic,NA,32,NA,nan,adaptive,nan,NA,nan,nan,6,nan,sgd,NA,1.0,110.52216649055481
