feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,nnClassifier,relu,NA,27,NA,nan,invscaling,nan,NA,nan,nan,5,nan,sgd,NA,1.0,21.815898895263672
0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,nnClassifier,identity,NA,16,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,1.0,29.265892028808594
1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,31,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9926082365364308,34.39272356033325
1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,44,sqrt,12,26,nan,nan,NA,NA,0.9926082365364308,40.341192960739136
0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,nnClassifier,relu,NA,28,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,1.0,45.356505393981934
1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,nnClassifier,tanh,NA,29,NA,nan,constant,nan,NA,nan,nan,5,nan,adam,NA,1.0,55.655264377593994
1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,nnClassifier,identity,NA,9,NA,nan,invscaling,nan,NA,nan,nan,1,nan,sgd,NA,1.0,64.52551174163818
1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,nnClassifier,logistic,NA,31,NA,nan,constant,nan,NA,nan,nan,1,nan,adam,NA,1.0,75.81854748725891
1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,nnClassifier,tanh,NA,31,NA,nan,adaptive,nan,NA,nan,nan,6,nan,lbfgs,NA,1.0,81.44261479377747
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,18,sqrt,5,31,nan,nan,NA,NA,0.9926082365364308,86.99490189552307
1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,nnClassifier,logistic,NA,26,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,1.0,97.35780167579651
1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9904963041182682,102.01687932014465
1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,26,auto,8,32,nan,nan,NA,NA,0.9926082365364308,107.67255306243896
0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,nnClassifier,relu,NA,10,NA,nan,invscaling,nan,NA,nan,nan,2,nan,adam,NA,1.0,117.57028651237488
1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,nnClassifier,identity,NA,24,NA,nan,invscaling,nan,NA,nan,nan,8,nan,lbfgs,NA,1.0,122.96183800697327
