feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,63,sqrt,13,36,nan,nan,NA,NA,1.0,6.460280179977417
0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,9,NA,uniform,1.0,11.731321334838867
1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,nnClassifier,relu,NA,23,NA,nan,constant,nan,NA,nan,nan,9,nan,sgd,NA,1.0,19.80447268486023
0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,37,NA,nan,NA,nan,nan,nan,10,NA,uniform,1.0,25.43302083015442
0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,4,NA,distance,0.996832101372756,30.763628005981445
1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9978880675818373,35.986138105392456
0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,56,log2,2,7,nan,nan,NA,NA,1.0,42.10296416282654
1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,nnClassifier,identity,NA,21,NA,nan,adaptive,nan,NA,nan,nan,3,nan,lbfgs,NA,1.0,47.72972297668457
1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,nnClassifier,tanh,NA,24,NA,nan,adaptive,nan,NA,nan,nan,10,nan,adam,NA,1.0,56.56544637680054
0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,7,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9957761351636748,61.655946016311646
0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,kneighborsClassifier,NA,brute,nan,NA,35,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9989440337909187,66.82492327690125
1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,nnClassifier,tanh,NA,12,NA,nan,constant,nan,NA,nan,nan,6,nan,lbfgs,NA,1.0,72.75568079948425
