feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,kneighborsClassifier,NA,auto,nan,NA,20,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9926082365364308,5.964187383651733
1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9936642027455121,11.310050010681152
0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9926082365364308,16.474492073059082
0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9936642027455121,21.50332474708557
0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,nnClassifier,relu,NA,15,NA,nan,constant,nan,NA,nan,nan,1,nan,lbfgs,NA,1.0,26.790751934051514
1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,nnClassifier,relu,NA,28,NA,nan,adaptive,nan,NA,nan,nan,1,nan,lbfgs,NA,1.0,32.395217418670654
1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,nnClassifier,relu,NA,9,NA,nan,constant,nan,NA,nan,nan,6,nan,sgd,NA,1.0,43.15144228935242
0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,nnClassifier,relu,NA,23,NA,nan,adaptive,nan,NA,nan,nan,9,nan,sgd,NA,1.0,58.15884280204773
1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,78,log2,2,23,nan,nan,NA,NA,0.9926082365364308,64.17338418960571
1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,nnClassifier,relu,NA,23,NA,nan,invscaling,nan,NA,nan,nan,6,nan,lbfgs,NA,1.0,69.56327152252197
1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,nnClassifier,tanh,NA,32,NA,nan,adaptive,nan,NA,nan,nan,6,nan,adam,NA,1.0,78.58976459503174
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,nnClassifier,logistic,NA,19,NA,nan,adaptive,nan,NA,nan,nan,2,nan,lbfgs,NA,1.0,84.60287857055664
1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,64,log2,6,9,nan,nan,NA,NA,0.9926082365364308,90.43151140213013
0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,12,sqrt,13,10,nan,nan,NA,NA,0.9926082365364308,96.2953782081604
0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,nnClassifier,tanh,NA,12,NA,nan,constant,nan,NA,nan,nan,2,nan,sgd,NA,1.0,111.17229795455933
1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,nnClassifier,identity,NA,24,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,1.0,116.58292436599731
1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,91,log2,14,15,nan,nan,NA,NA,0.9926082365364308,122.52755951881409
1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,nnClassifier,relu,NA,20,NA,nan,constant,nan,NA,nan,nan,7,nan,adam,NA,1.0,130.25599241256714
0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,nnClassifier,logistic,NA,17,NA,nan,adaptive,nan,NA,nan,nan,4,nan,adam,NA,1.0,142.7662615776062
0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9936642027455121,148.14052557945251
1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,kneighborsClassifier,NA,auto,nan,NA,17,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9936642027455121,153.3629047870636
1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9926082365364308,158.65642857551575
0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9936642027455121,164.02379393577576
0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,21,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9936642027455121,169.01036429405212
0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9936642027455121,174.56762981414795
0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,27,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9926082365364308,179.6716320514679
1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,nnClassifier,identity,NA,24,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,1.0,192.64941096305847
1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,nnClassifier,tanh,NA,18,NA,nan,invscaling,nan,NA,nan,nan,4,nan,lbfgs,NA,1.0,198.30260014533997
0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,nnClassifier,logistic,NA,25,NA,nan,invscaling,nan,NA,nan,nan,7,nan,lbfgs,NA,1.0,203.8663032054901
0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,nnClassifier,tanh,NA,25,NA,nan,invscaling,nan,NA,nan,nan,10,nan,adam,NA,1.0,212.5134723186493
