feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,71,auto,15,5,nan,nan,NA,NA,0.181640625,7.357649326324463
0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,9,NA,distance,0.01171875,11.859523296356201
1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,45,sqrt,5,23,nan,nan,NA,NA,0.109375,26.929980278015137
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,48,auto,12,10,nan,nan,NA,NA,0.734375,32.77293872833252
1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,89,auto,3,38,nan,nan,NA,NA,0.533203125,40.50141143798828
0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,19,auto,6,23,nan,nan,NA,NA,0.623046875,47.41823196411133
1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,20,NA,nan,NA,nan,nan,nan,1,NA,distance,0.0078125,52.13112163543701
1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,53,auto,20,12,nan,nan,NA,NA,0.45703125,62.97282338142395
1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,18,auto,16,12,nan,nan,NA,NA,0.01171875,73.83735728263855
0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,21,auto,12,24,nan,nan,NA,NA,0.3515625,83.88545775413513
1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,96,sqrt,13,8,nan,nan,NA,NA,0.419921875,90.6692898273468
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,24,sqrt,10,23,nan,nan,NA,NA,0.478515625,96.86157321929932
1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,37,log2,11,3,nan,nan,NA,NA,0.544921875,104.8102855682373
0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,62,auto,2,17,nan,nan,NA,NA,0.689453125,113.09254145622253
0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,11,sqrt,5,14,nan,nan,NA,NA,0.44921875,120.29619097709656
1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,43,auto,18,2,nan,nan,NA,NA,0.416015625,126.64871168136597
0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,74,log2,11,16,nan,nan,NA,NA,0.638671875,133.27765727043152
0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,49,auto,13,23,nan,nan,NA,NA,0.419921875,139.65159153938293
0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,19,log2,6,32,nan,nan,NA,NA,0.55078125,146.6489839553833
