feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,nnClassifier,logistic,NA,10,NA,nan,adaptive,nan,NA,nan,nan,1,nan,sgd,NA,0.9921875,18.021939754486084
0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,nnClassifier,tanh,NA,16,NA,nan,constant,nan,NA,nan,nan,9,nan,lbfgs,NA,0.990234375,24.323683738708496
1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,nnClassifier,logistic,NA,21,NA,nan,adaptive,nan,NA,nan,nan,3,nan,adam,NA,0.990234375,42.61305832862854
1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,nnClassifier,identity,NA,11,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,0.990234375,57.11080551147461
0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,nnClassifier,logistic,NA,11,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,0.9921875,80.28400349617004
0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,nnClassifier,tanh,NA,30,NA,nan,constant,nan,NA,nan,nan,5,nan,sgd,NA,0.990234375,93.06139278411865
1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,nnClassifier,identity,NA,28,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,0.9921875,102.27092289924622
0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,38,NA,nan,NA,nan,nan,nan,4,NA,distance,0.005859375,107.37455487251282
0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,11,auto,9,38,nan,nan,NA,NA,0.357421875,115.76712775230408
0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,kneighborsClassifier,NA,brute,nan,NA,7,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.009765625,120.76405334472656
