feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,17,NA,nan,NA,nan,nan,nan,4,NA,distance,0.013671875,5.822249174118042
0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,kneighborsClassifier,NA,auto,nan,NA,37,NA,nan,NA,nan,nan,nan,2,NA,distance,0.009765625,11.130199670791626
0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,kneighborsClassifier,NA,brute,nan,NA,32,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.015625,15.822129249572754
0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,33,auto,1,28,nan,nan,NA,NA,0.091796875,30.16071367263794
0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,11,log2,2,25,nan,nan,NA,NA,0.107421875,46.894816398620605
0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,69,log2,3,17,nan,nan,NA,NA,0.15234375,57.331482887268066
1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,4,log2,8,11,nan,nan,NA,NA,0.033203125,67.66129422187805
0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,85,log2,2,18,nan,nan,NA,NA,0.5625,80.18117451667786
0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,80,log2,17,13,nan,nan,NA,NA,0.50390625,86.94926357269287
0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,95,log2,7,11,nan,nan,NA,NA,0.185546875,94.60424447059631
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,83,auto,11,23,nan,nan,NA,NA,0.46875,103.32206702232361
0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,79,log2,19,33,nan,nan,NA,NA,0.490234375,109.91472935676575
0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,100,auto,20,4,nan,nan,NA,NA,0.42578125,116.32081842422485
0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,85,sqrt,12,35,nan,nan,NA,NA,0.041015625,129.97735691070557
1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,53,sqrt,18,3,nan,nan,NA,NA,0.4296875,136.7483251094818
1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,95,auto,1,19,nan,nan,NA,NA,0.689453125,144.63271713256836
0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,79,auto,1,39,nan,nan,NA,NA,0.3671875,158.77137994766235
