feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.013671875,5.673966407775879
1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,34,NA,nan,NA,nan,nan,nan,4,NA,distance,0.009765625,10.470616340637207
1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,nnClassifier,tanh,NA,12,NA,nan,constant,nan,NA,nan,nan,9,nan,sgd,NA,0.99609375,33.43774676322937
0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,nnClassifier,tanh,NA,8,NA,nan,invscaling,nan,NA,nan,nan,8,nan,lbfgs,NA,0.99609375,40.919633626937866
0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,nnClassifier,relu,NA,24,NA,nan,adaptive,nan,NA,nan,nan,2,nan,adam,NA,0.982421875,51.640764474868774
0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,nnClassifier,tanh,NA,29,NA,nan,adaptive,nan,NA,nan,nan,3,nan,sgd,NA,0.99609375,67.2250611782074
1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,6,auto,7,2,nan,nan,NA,NA,0.0703125,80.94152331352234
0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,nnClassifier,tanh,NA,20,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,0.99609375,97.06047821044922
1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,nnClassifier,tanh,NA,14,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,0.9921875,104.28769946098328
1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,nnClassifier,logistic,NA,13,NA,nan,constant,nan,NA,nan,nan,4,nan,sgd,NA,0.99609375,112.54089188575745
0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,59,sqrt,9,26,nan,nan,NA,NA,0.099609375,126.49032807350159
