activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,23,entropy,0,0,0,14,invscaling,47,sqrt,14,13,kneighborsClassifier,4,1,adam,distance,0
tanh,ball_tree,8,entropy,0,0,0,28,adaptive,9,auto,12,36,kneighborsClassifier,3,2,adam,uniform,0
tanh,auto,19,entropy,0,1,1,27,constant,11,log2,8,9,randomForestClassifier,3,5,lbfgs,uniform,0.9525862068965517
relu,ball_tree,9,entropy,0,0,0,39,constant,35,auto,2,32,randomForestClassifier,6,6,lbfgs,uniform,0
logistic,ball_tree,15,entropy,0,1,0,24,invscaling,36,log2,8,23,randomForestClassifier,9,3,sgd,distance,0.9525862068965517
tanh,brute,13,entropy,0,0,0,40,constant,74,auto,15,3,kneighborsClassifier,10,3,sgd,distance,0
identity,kd_tree,30,entropy,1,1,1,35,constant,73,sqrt,9,33,randomForestClassifier,8,8,adam,uniform,0.9525862068965517
relu,ball_tree,23,gini,0,0,0,24,constant,81,log2,16,33,nnClassifier,9,5,adam,uniform,0
tanh,ball_tree,29,gini,1,0,1,2,adaptive,60,log2,4,11,randomForestClassifier,4,4,lbfgs,distance,0.9515086206896551
tanh,ball_tree,12,gini,0,1,0,29,invscaling,76,auto,20,27,kneighborsClassifier,3,2,lbfgs,distance,0.9515086206896551
tanh,auto,14,gini,0,1,1,27,adaptive,70,auto,2,6,nnClassifier,7,6,lbfgs,uniform,0.9288793103448276
relu,ball_tree,15,gini,0,1,1,9,invscaling,4,sqrt,6,8,randomForestClassifier,7,8,sgd,uniform,0.9525862068965517
tanh,brute,21,entropy,0,1,1,34,invscaling,24,auto,12,12,kneighborsClassifier,3,6,lbfgs,distance,0.9407327586206896
logistic,auto,26,gini,0,0,0,20,invscaling,26,sqrt,17,23,nnClassifier,9,10,adam,distance,0
identity,auto,15,entropy,0,0,0,30,constant,96,log2,16,20,randomForestClassifier,3,10,adam,uniform,0
tanh,kd_tree,23,entropy,1,1,1,23,adaptive,12,auto,10,31,kneighborsClassifier,4,8,adam,distance,0.9493534482758621
identity,brute,22,entropy,1,1,1,33,invscaling,55,sqrt,14,35,nnClassifier,3,8,adam,distance,0.9202586206896551
tanh,kd_tree,14,entropy,1,1,0,12,adaptive,60,auto,2,39,randomForestClassifier,7,5,sgd,distance,0.9525862068965517
tanh,kd_tree,15,gini,1,1,0,31,invscaling,31,log2,18,35,randomForestClassifier,9,7,lbfgs,uniform,0.9525862068965517
tanh,kd_tree,29,entropy,1,1,1,8,adaptive,37,log2,17,36,randomForestClassifier,9,2,lbfgs,uniform,0.9525862068965517
relu,brute,11,gini,1,1,1,31,constant,100,log2,12,7,kneighborsClassifier,3,6,adam,distance,0.9461206896551724
identity,kd_tree,30,gini,0,0,1,38,adaptive,19,log2,9,32,nnClassifier,7,6,sgd,uniform,0.9213362068965517
identity,ball_tree,14,gini,0,1,0,23,invscaling,43,sqrt,6,38,randomForestClassifier,9,7,lbfgs,distance,0.9525862068965517
logistic,kd_tree,18,entropy,0,1,1,21,invscaling,41,auto,14,2,kneighborsClassifier,1,5,sgd,distance,0.9396551724137931
relu,brute,21,gini,1,0,0,22,invscaling,45,log2,18,29,nnClassifier,1,6,sgd,distance,0.9353448275862069
tanh,ball_tree,8,entropy,0,0,0,33,invscaling,94,log2,13,28,kneighborsClassifier,9,3,adam,uniform,0
tanh,ball_tree,25,gini,1,1,1,6,constant,30,log2,13,7,randomForestClassifier,3,1,sgd,uniform,0.9525862068965517
identity,kd_tree,11,entropy,0,0,0,9,constant,34,sqrt,20,34,kneighborsClassifier,3,3,lbfgs,distance,0
tanh,brute,15,gini,0,1,1,8,invscaling,18,sqrt,18,21,nnClassifier,4,1,sgd,distance,0.9353448275862069
tanh,kd_tree,31,gini,0,1,1,12,constant,94,log2,20,38,nnClassifier,2,9,lbfgs,uniform,0.927801724137931
tanh,auto,30,entropy,0,0,0,6,invscaling,52,auto,10,27,nnClassifier,6,1,sgd,distance,0
logistic,brute,25,gini,0,1,0,34,constant,50,auto,13,9,randomForestClassifier,10,2,lbfgs,uniform,0.9525862068965517
identity,auto,8,gini,1,1,1,25,invscaling,55,auto,17,9,kneighborsClassifier,2,5,adam,uniform,0.9515086206896551
tanh,kd_tree,22,entropy,1,1,0,40,invscaling,80,sqrt,20,7,randomForestClassifier,10,4,sgd,distance,0.9525862068965517
relu,kd_tree,23,entropy,0,1,0,40,constant,11,log2,17,2,nnClassifier,7,8,lbfgs,uniform,0.9353448275862069
tanh,ball_tree,10,gini,0,1,0,12,constant,88,auto,4,20,randomForestClassifier,9,3,adam,uniform,0.9525862068965517
tanh,ball_tree,9,gini,1,0,1,17,adaptive,93,sqrt,14,31,kneighborsClassifier,7,10,lbfgs,distance,0.9396551724137931
