activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,22,entropy,1,1,2,constant,9,log2,2,3,kneighborsClassifier,1,1,sgd,uniform,0.8490566037735849
identity,kd_tree,27,entropy,0,0,23,constant,6,auto,19,40,randomForestClassifier,10,7,sgd,distance,0.0
identity,ball_tree,16,gini,1,1,31,constant,52,sqrt,14,8,kneighborsClassifier,5,10,adam,distance,0.8773584905660378
identity,ball_tree,23,entropy,0,0,24,constant,16,auto,3,11,kneighborsClassifier,5,6,lbfgs,uniform,0.0
logistic,auto,31,entropy,1,1,17,adaptive,23,log2,15,30,kneighborsClassifier,3,10,adam,distance,0.8773584905660378
identity,brute,9,gini,1,1,9,adaptive,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8811320754716981
tanh,brute,30,entropy,0,0,4,adaptive,11,log2,5,33,nnClassifier,9,10,sgd,uniform,0.0
tanh,auto,30,entropy,1,1,5,constant,29,sqrt,17,22,randomForestClassifier,5,2,adam,distance,0.8830188679245283
logistic,ball_tree,14,entropy,1,1,11,adaptive,70,log2,2,40,randomForestClassifier,10,2,adam,distance,0.8905660377358491
relu,brute,25,entropy,1,1,37,adaptive,23,log2,13,27,nnClassifier,2,8,lbfgs,distance,0.5735849056603773
logistic,ball_tree,14,entropy,0,0,31,constant,81,log2,14,5,nnClassifier,5,8,lbfgs,uniform,0.0
identity,auto,15,gini,1,1,13,invscaling,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8849056603773585
logistic,ball_tree,11,entropy,0,1,9,invscaling,7,sqrt,3,19,kneighborsClassifier,6,5,lbfgs,uniform,0.6773584905660377
identity,ball_tree,10,entropy,0,0,21,constant,75,auto,16,19,nnClassifier,2,10,sgd,uniform,0.0
tanh,brute,27,gini,0,1,29,constant,25,sqrt,3,4,randomForestClassifier,8,5,adam,uniform,0.6849056603773584
relu,auto,25,gini,1,1,32,invscaling,39,auto,16,12,nnClassifier,7,1,adam,distance,0.5339622641509434
identity,kd_tree,12,entropy,0,0,29,invscaling,12,auto,12,24,nnClassifier,5,9,lbfgs,distance,0.0
identity,auto,12,gini,1,1,8,adaptive,46,log2,14,36,randomForestClassifier,10,5,adam,uniform,0.8773584905660378
logistic,brute,32,gini,0,0,33,invscaling,64,sqrt,18,30,randomForestClassifier,8,5,lbfgs,uniform,0.0
tanh,auto,19,gini,1,1,12,constant,20,sqrt,14,33,nnClassifier,6,3,lbfgs,distance,0.5339622641509434
logistic,ball_tree,14,entropy,1,1,11,adaptive,70,log2,2,40,randomForestClassifier,10,2,adam,distance,0.8905660377358491
identity,auto,15,gini,1,1,13,invscaling,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8849056603773585
tanh,auto,30,entropy,1,1,5,constant,29,sqrt,17,22,randomForestClassifier,5,2,adam,distance,0.8830188679245283
identity,brute,9,gini,1,1,9,adaptive,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8811320754716981
identity,ball_tree,16,gini,1,1,31,constant,52,sqrt,14,8,kneighborsClassifier,5,10,adam,distance,0.8773584905660378
logistic,auto,31,entropy,1,1,17,adaptive,23,log2,15,30,kneighborsClassifier,3,10,adam,distance,0.8773584905660378
identity,auto,12,gini,1,1,8,adaptive,46,log2,14,36,randomForestClassifier,10,5,adam,uniform,0.8773584905660378
tanh,ball_tree,22,entropy,1,1,2,constant,9,log2,2,3,kneighborsClassifier,1,1,sgd,uniform,0.8490566037735849
tanh,brute,27,gini,0,1,29,constant,25,sqrt,3,4,randomForestClassifier,8,5,adam,uniform,0.6849056603773584
logistic,ball_tree,11,entropy,0,1,9,invscaling,7,sqrt,3,19,kneighborsClassifier,6,5,lbfgs,uniform,0.6773584905660377
logistic,ball_tree,14,entropy,1,1,11,adaptive,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8830188679245283
identity,auto,15,gini,1,1,13,invscaling,29,sqrt,17,22,randomForestClassifier,5,2,adam,distance,0.8773584905660378
tanh,auto,30,entropy,1,1,5,constant,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8849056603773585
identity,brute,9,gini,1,1,9,adaptive,52,sqrt,14,8,kneighborsClassifier,5,10,adam,distance,0.8773584905660378
identity,ball_tree,16,gini,1,1,31,constant,23,log2,17,30,kneighborsClassifier,3,10,adam,distance,0.8773584905660378
logistic,auto,31,entropy,1,1,17,adaptive,46,log2,14,36,randomForestClassifier,10,5,adam,uniform,0.8773584905660378
identity,auto,12,gini,1,1,8,adaptive,9,log2,2,3,kneighborsClassifier,1,1,sgd,uniform,0.8490566037735849
tanh,ball_tree,22,entropy,1,1,2,constant,25,sqrt,3,4,randomForestClassifier,1,5,adam,uniform,0.879245283018868
tanh,brute,27,gini,0,1,29,constant,7,sqrt,3,19,kneighborsClassifier,6,5,lbfgs,uniform,0.6773584905660377
logistic,ball_tree,11,entropy,0,1,9,invscaling,70,log2,2,40,randomForestClassifier,10,6,adam,distance,0.7113207547169811
logistic,ball_tree,14,entropy,1,1,11,adaptive,70,log2,2,40,randomForestClassifier,10,2,adam,distance,0.8905660377358491
identity,auto,15,gini,1,1,13,invscaling,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8849056603773585
tanh,auto,30,entropy,1,1,5,constant,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8849056603773585
tanh,auto,30,entropy,1,1,5,constant,29,sqrt,17,22,randomForestClassifier,5,2,adam,distance,0.8830188679245283
logistic,ball_tree,14,entropy,1,1,11,adaptive,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8830188679245283
identity,brute,9,gini,1,1,9,adaptive,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8811320754716981
tanh,ball_tree,22,entropy,1,1,2,constant,25,sqrt,3,4,randomForestClassifier,1,5,adam,uniform,0.879245283018868
identity,ball_tree,16,gini,1,1,31,constant,52,sqrt,14,8,kneighborsClassifier,5,10,adam,distance,0.8773584905660378
logistic,auto,31,entropy,1,1,17,adaptive,23,log2,15,30,kneighborsClassifier,3,10,adam,distance,0.8773584905660378
identity,auto,12,gini,1,1,8,adaptive,46,log2,14,36,randomForestClassifier,10,5,adam,uniform,0.8773584905660378
logistic,ball_tree,14,entropy,1,1,11,invscaling,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8830188679245283
identity,auto,15,gini,1,1,13,constant,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8811320754716981
tanh,auto,30,entropy,1,1,5,constant,29,sqrt,17,22,randomForestClassifier,5,2,adam,distance,0.8830188679245283
tanh,auto,30,entropy,1,1,5,adaptive,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8830188679245283
logistic,ball_tree,14,entropy,1,1,11,adaptive,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8849056603773585
identity,brute,9,gini,1,1,9,constant,25,sqrt,3,4,nnClassifier,1,5,adam,uniform,0.5547169811320755
tanh,ball_tree,22,entropy,1,1,2,constant,52,sqrt,14,8,kneighborsClassifier,7,10,adam,distance,0.8773584905660378
identity,ball_tree,16,gini,1,1,31,adaptive,82,log2,15,3,kneighborsClassifier,3,8,adam,distance,0.869811320754717
logistic,auto,31,entropy,1,1,17,adaptive,46,log2,14,36,randomForestClassifier,10,5,adam,uniform,0.8773584905660378
tanh,auto,12,gini,0,1,8,adaptive,50,log2,2,40,randomForestClassifier,10,2,adam,distance,0.7075471698113207
logistic,ball_tree,14,entropy,1,1,11,adaptive,70,log2,2,40,randomForestClassifier,10,2,adam,distance,0.8905660377358491
