activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,31,gini,1,1,24,invscaling,20,auto,12,40,nnClassifier,3,4,sgd,uniform,0.05660377358490566
identity,auto,18,gini,0,1,13,adaptive,62,auto,13,30,randomForestClassifier,5,2,adam,distance,0.6943396226415094
tanh,kd_tree,17,gini,0,1,37,invscaling,45,auto,6,16,nnClassifier,5,9,sgd,distance,0.47547169811320755
identity,auto,14,entropy,1,1,23,constant,20,log2,12,4,randomForestClassifier,6,9,adam,uniform,0.8981132075471698
logistic,brute,23,entropy,1,0,20,constant,39,sqrt,10,31,randomForestClassifier,7,4,sgd,distance,0.5754716981132075
tanh,auto,32,entropy,0,0,5,invscaling,70,auto,17,5,kneighborsClassifier,6,10,lbfgs,distance,0.0
logistic,brute,13,gini,1,0,31,adaptive,1,auto,20,33,randomForestClassifier,1,7,sgd,distance,0.590566037735849
identity,ball_tree,24,gini,0,0,4,adaptive,100,log2,2,6,nnClassifier,6,10,adam,uniform,0.0
relu,brute,15,entropy,1,0,18,invscaling,64,log2,11,34,nnClassifier,9,10,lbfgs,uniform,0.5264150943396226
identity,auto,23,gini,0,1,36,adaptive,26,log2,19,21,randomForestClassifier,10,1,lbfgs,distance,0.7037735849056603
logistic,auto,10,entropy,0,1,13,adaptive,69,log2,8,8,nnClassifier,8,10,lbfgs,uniform,0.47547169811320755
logistic,brute,24,gini,1,1,21,invscaling,85,sqrt,18,4,randomForestClassifier,6,1,sgd,distance,0.8962264150943396
logistic,brute,28,gini,0,0,13,constant,93,log2,8,40,kneighborsClassifier,8,6,adam,distance,0.0
tanh,auto,10,entropy,1,0,4,constant,75,sqrt,13,20,kneighborsClassifier,9,2,lbfgs,distance,0.569811320754717
logistic,brute,25,entropy,1,1,2,adaptive,19,auto,15,25,kneighborsClassifier,10,3,sgd,distance,0.8849056603773585
tanh,auto,11,gini,1,1,26,invscaling,11,sqrt,13,8,randomForestClassifier,6,8,adam,uniform,0.9018867924528302
identity,ball_tree,16,entropy,0,1,23,invscaling,41,sqrt,10,2,nnClassifier,9,8,lbfgs,uniform,0.5169811320754717
identity,kd_tree,25,gini,1,1,34,invscaling,1,sqrt,17,28,nnClassifier,1,4,adam,uniform,0.5
