activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,9,gini,0,0,40,adaptive,75,auto,12,39,kneighborsClassifier,5,10,adam,uniform,0.0
logistic,ball_tree,9,gini,1,1,29,invscaling,79,sqrt,2,34,kneighborsClassifier,6,3,lbfgs,uniform,0.879245283018868
tanh,kd_tree,19,gini,0,0,21,constant,19,sqrt,7,7,nnClassifier,4,1,lbfgs,uniform,0.0
logistic,auto,23,entropy,1,0,40,invscaling,18,auto,17,14,randomForestClassifier,6,1,sgd,distance,0.5981132075471698
relu,auto,18,entropy,0,0,21,adaptive,62,log2,9,8,nnClassifier,3,2,adam,uniform,0.0
relu,kd_tree,15,gini,0,1,9,invscaling,54,sqrt,20,29,randomForestClassifier,1,3,adam,uniform,0.6792452830188679
identity,kd_tree,31,entropy,0,1,2,constant,92,sqrt,5,37,randomForestClassifier,8,8,adam,distance,0.6754716981132075
tanh,kd_tree,20,gini,1,0,3,constant,46,sqrt,3,16,randomForestClassifier,8,6,lbfgs,distance,0.6056603773584905
tanh,kd_tree,21,gini,1,0,25,constant,82,log2,2,22,nnClassifier,4,2,sgd,distance,0.5245283018867924
identity,auto,23,gini,0,0,19,constant,69,sqrt,18,4,kneighborsClassifier,9,1,adam,uniform,0.0
relu,kd_tree,24,entropy,0,1,6,adaptive,45,sqrt,13,10,kneighborsClassifier,6,7,adam,distance,0.6566037735849056
tanh,ball_tree,26,entropy,0,0,4,adaptive,5,sqrt,5,29,randomForestClassifier,2,9,lbfgs,uniform,0.0
relu,brute,15,gini,0,1,17,invscaling,6,sqrt,11,31,randomForestClassifier,8,7,adam,uniform,0.6924528301886792
tanh,kd_tree,13,entropy,0,0,28,adaptive,27,log2,16,38,kneighborsClassifier,5,8,lbfgs,uniform,0.0
identity,ball_tree,15,gini,1,1,4,adaptive,30,sqrt,16,4,randomForestClassifier,1,7,sgd,distance,0.9075471698113208
logistic,auto,31,entropy,1,1,18,invscaling,16,log2,20,24,nnClassifier,2,5,sgd,uniform,0.0
relu,kd_tree,29,entropy,0,1,39,constant,38,log2,13,13,nnClassifier,2,8,adam,distance,0.49056603773584906
logistic,kd_tree,28,entropy,0,0,37,adaptive,12,log2,8,36,nnClassifier,3,7,adam,distance,0.0
logistic,auto,28,entropy,0,1,5,adaptive,49,log2,6,6,randomForestClassifier,1,8,lbfgs,uniform,0.6622641509433962
relu,kd_tree,10,gini,1,1,39,constant,29,sqrt,7,25,nnClassifier,1,4,adam,uniform,0.5679245283018868
identity,ball_tree,15,gini,1,1,4,adaptive,30,sqrt,16,4,randomForestClassifier,1,7,sgd,distance,0.9075471698113208
logistic,ball_tree,9,gini,1,1,29,invscaling,79,sqrt,2,34,kneighborsClassifier,6,3,lbfgs,uniform,0.879245283018868
relu,brute,15,gini,0,1,17,invscaling,6,sqrt,11,31,randomForestClassifier,8,7,adam,uniform,0.6924528301886792
relu,kd_tree,15,gini,0,1,9,invscaling,54,sqrt,20,29,randomForestClassifier,1,3,adam,uniform,0.6792452830188679
identity,kd_tree,31,entropy,0,1,2,constant,92,sqrt,5,37,randomForestClassifier,8,8,adam,distance,0.6754716981132075
logistic,auto,28,entropy,0,1,5,adaptive,49,log2,6,6,randomForestClassifier,1,8,lbfgs,uniform,0.6622641509433962
relu,kd_tree,24,entropy,0,1,6,adaptive,45,sqrt,13,10,kneighborsClassifier,6,7,adam,distance,0.6566037735849056
tanh,kd_tree,20,gini,1,0,3,constant,46,sqrt,3,16,randomForestClassifier,8,6,lbfgs,distance,0.6056603773584905
logistic,auto,23,entropy,1,0,40,invscaling,18,auto,17,14,randomForestClassifier,6,1,sgd,distance,0.5981132075471698
relu,kd_tree,10,gini,1,1,39,constant,29,sqrt,7,25,nnClassifier,1,4,adam,uniform,0.5679245283018868
identity,ball_tree,15,gini,0,1,4,invscaling,79,sqrt,2,34,kneighborsClassifier,6,3,lbfgs,uniform,0.6377358490566037
logistic,ball_tree,9,gini,1,1,29,invscaling,6,sqrt,11,31,randomForestClassifier,8,7,adam,uniform,0.8962264150943396
relu,brute,15,gini,0,1,17,invscaling,54,sqrt,20,29,randomForestClassifier,1,3,adam,uniform,0.6792452830188679
relu,kd_tree,15,gini,0,1,9,constant,92,sqrt,5,37,randomForestClassifier,2,8,adam,distance,0.6716981132075471
identity,kd_tree,31,entropy,0,1,2,adaptive,49,log2,6,6,randomForestClassifier,1,8,sgd,uniform,0.6622641509433962
logistic,auto,28,entropy,0,1,5,constant,45,sqrt,13,10,kneighborsClassifier,6,7,adam,distance,0.6566037735849056
relu,kd_tree,24,entropy,0,1,6,constant,46,sqrt,3,16,randomForestClassifier,8,6,lbfgs,distance,0.6754716981132075
tanh,kd_tree,20,gini,1,0,3,invscaling,18,auto,17,14,randomForestClassifier,6,1,sgd,distance,0.5981132075471698
logistic,auto,23,entropy,1,0,40,constant,29,sqrt,7,25,nnClassifier,1,2,adam,uniform,0.5339622641509434
relu,kd_tree,10,gini,1,1,39,adaptive,30,sqrt,16,4,randomForestClassifier,1,7,sgd,distance,0.9075471698113208
identity,ball_tree,15,gini,1,1,4,adaptive,30,sqrt,16,4,randomForestClassifier,1,7,sgd,distance,0.9075471698113208
relu,kd_tree,10,gini,1,1,39,adaptive,30,sqrt,16,4,randomForestClassifier,1,7,sgd,distance,0.9075471698113208
logistic,ball_tree,9,gini,1,1,29,invscaling,6,sqrt,11,31,randomForestClassifier,8,7,adam,uniform,0.8962264150943396
logistic,ball_tree,9,gini,1,1,29,invscaling,79,sqrt,2,34,kneighborsClassifier,6,3,lbfgs,uniform,0.879245283018868
relu,brute,15,gini,0,1,17,invscaling,6,sqrt,11,31,randomForestClassifier,8,7,adam,uniform,0.6924528301886792
relu,kd_tree,15,gini,0,1,9,invscaling,54,sqrt,20,29,randomForestClassifier,1,3,adam,uniform,0.6792452830188679
relu,brute,15,gini,0,1,17,invscaling,54,sqrt,20,29,randomForestClassifier,1,3,adam,uniform,0.6792452830188679
identity,kd_tree,31,entropy,0,1,2,constant,92,sqrt,5,37,randomForestClassifier,8,8,adam,distance,0.6754716981132075
relu,kd_tree,24,entropy,0,1,6,constant,46,sqrt,3,16,randomForestClassifier,8,6,lbfgs,distance,0.6754716981132075
relu,kd_tree,15,gini,0,1,9,constant,92,sqrt,5,37,randomForestClassifier,2,8,adam,distance,0.6716981132075471
identity,ball_tree,15,gini,1,1,4,adaptive,30,sqrt,16,4,randomForestClassifier,1,7,sgd,distance,0.9075471698113208
