activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,10,entropy,1,1,4,invscaling,83,log2,3,17,kneighborsClassifier,5,5,sgd,uniform,0.8830188679245283
logistic,brute,9,entropy,1,1,19,adaptive,31,log2,13,25,randomForestClassifier,3,3,adam,uniform,0.8830188679245283
relu,brute,18,entropy,1,1,34,constant,26,log2,13,25,randomForestClassifier,3,3,lbfgs,uniform,0.8830188679245283
tanh,brute,18,entropy,1,1,34,invscaling,73,sqrt,13,31,randomForestClassifier,9,2,adam,distance,0.879245283018868
relu,ball_tree,30,gini,1,1,11,adaptive,44,sqrt,19,29,randomForestClassifier,9,7,lbfgs,distance,0.8773584905660378
tanh,brute,10,entropy,1,1,4,invscaling,73,sqrt,13,31,randomForestClassifier,9,2,adam,distance,0.879245283018868
tanh,brute,18,entropy,1,1,34,invscaling,73,sqrt,13,22,randomForestClassifier,9,2,adam,distance,0.8830188679245283
logistic,auto,9,entropy,1,1,15,invscaling,20,sqrt,10,13,kneighborsClassifier,3,1,lbfgs,uniform,0.869811320754717
relu,brute,18,entropy,1,1,34,invscaling,20,auto,10,7,kneighborsClassifier,8,10,lbfgs,uniform,0.8886792452830189
identity,auto,27,gini,1,1,11,invscaling,20,auto,10,7,kneighborsClassifier,8,10,lbfgs,uniform,0.8886792452830189
relu,brute,18,entropy,1,1,34,invscaling,20,auto,10,7,kneighborsClassifier,8,10,lbfgs,uniform,0.8886792452830189
relu,brute,10,entropy,1,1,4,adaptive,31,log2,13,25,randomForestClassifier,3,3,lbfgs,uniform,0.8830188679245283
logistic,brute,9,entropy,1,1,19,invscaling,83,log2,3,17,kneighborsClassifier,5,5,sgd,uniform,0.8830188679245283
relu,brute,18,entropy,1,1,34,adaptive,31,log2,13,25,randomForestClassifier,3,3,adam,uniform,0.8830188679245283
tanh,brute,18,entropy,1,1,34,constant,26,log2,13,25,randomForestClassifier,3,3,lbfgs,uniform,0.8830188679245283
relu,brute,10,entropy,1,1,4,invscaling,83,log2,3,17,kneighborsClassifier,5,5,sgd,uniform,0.8830188679245283
logistic,brute,9,entropy,1,1,19,adaptive,31,log2,13,25,randomForestClassifier,3,3,adam,uniform,0.8830188679245283
relu,brute,18,entropy,1,1,34,constant,26,log2,13,25,randomForestClassifier,3,3,lbfgs,uniform,0.8830188679245283
relu,brute,18,entropy,1,1,34,invscaling,13,auto,10,7,kneighborsClassifier,8,10,lbfgs,uniform,0.8886792452830189
identity,auto,27,gini,1,1,11,invscaling,20,log2,10,7,kneighborsClassifier,8,10,lbfgs,uniform,0.8886792452830189
relu,brute,18,entropy,1,1,34,invscaling,31,log2,13,25,randomForestClassifier,3,3,lbfgs,uniform,0.8830188679245283
relu,brute,10,entropy,1,1,4,adaptive,11,log2,3,17,kneighborsClassifier,4,5,sgd,uniform,0.8830188679245283
logistic,brute,9,entropy,0,1,19,invscaling,31,log2,13,25,randomForestClassifier,3,3,adam,uniform,0.6981132075471698
relu,brute,18,entropy,1,1,34,adaptive,26,log2,13,25,randomForestClassifier,3,3,lbfgs,uniform,0.8830188679245283
tanh,brute,18,entropy,1,1,34,constant,83,log2,3,17,kneighborsClassifier,5,5,sgd,uniform,0.8830188679245283
relu,brute,10,entropy,1,1,4,adaptive,31,log2,13,25,randomForestClassifier,3,3,adam,uniform,0.8830188679245283
logistic,brute,9,entropy,1,1,19,adaptive,26,log2,13,25,randomForestClassifier,3,3,lbfgs,uniform,0.8830188679245283
relu,brute,18,gini,1,1,34,constant,20,auto,10,7,kneighborsClassifier,8,10,lbfgs,uniform,0.8886792452830189
