activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,kd_tree,19,entropy,0,1,33,constant,10,auto,7,20,randomForestClassifier,9,7,adam,uniform,0.7094339622641509
relu,kd_tree,21,gini,0,0,32,constant,3,sqrt,16,2,kneighborsClassifier,9,6,sgd,uniform,0.0
identity,brute,15,entropy,0,1,32,constant,29,log2,16,37,randomForestClassifier,4,5,adam,distance,0.7113207547169811
relu,ball_tree,16,entropy,1,1,32,constant,66,auto,9,8,randomForestClassifier,8,8,sgd,distance,0.9113207547169812
logistic,ball_tree,29,gini,1,0,38,adaptive,83,sqrt,10,23,randomForestClassifier,10,2,lbfgs,distance,0.5886792452830188
identity,brute,25,gini,1,1,13,constant,51,auto,13,37,kneighborsClassifier,3,6,adam,distance,0.8830188679245283
tanh,brute,20,gini,1,0,39,adaptive,60,auto,14,31,kneighborsClassifier,7,8,lbfgs,uniform,0.5981132075471698
identity,auto,9,entropy,0,0,33,constant,23,log2,19,26,randomForestClassifier,8,5,sgd,uniform,0.0
logistic,ball_tree,14,entropy,1,0,31,invscaling,85,log2,14,37,kneighborsClassifier,1,9,sgd,uniform,0.5886792452830188
logistic,kd_tree,32,entropy,0,1,15,adaptive,82,auto,20,35,kneighborsClassifier,1,1,sgd,uniform,0.5962264150943396
tanh,ball_tree,21,gini,1,0,8,adaptive,37,sqrt,5,20,nnClassifier,4,4,lbfgs,distance,0.5622641509433962
tanh,brute,23,entropy,0,1,2,constant,4,log2,15,2,kneighborsClassifier,10,7,adam,distance,0.6566037735849056
tanh,kd_tree,32,entropy,1,1,39,constant,82,auto,5,9,randomForestClassifier,5,2,sgd,distance,0.9037735849056604
tanh,kd_tree,31,entropy,0,1,5,constant,100,auto,13,7,nnClassifier,6,2,lbfgs,uniform,0.5264150943396226
logistic,brute,18,entropy,0,1,10,constant,11,log2,14,40,kneighborsClassifier,3,3,sgd,uniform,0.6622641509433962
identity,brute,23,entropy,1,1,22,adaptive,75,sqrt,5,18,randomForestClassifier,7,2,adam,uniform,0.9150943396226415
logistic,kd_tree,31,gini,1,0,19,constant,86,auto,10,26,kneighborsClassifier,7,2,lbfgs,uniform,0.5509433962264151
relu,kd_tree,24,gini,0,1,29,constant,11,auto,7,35,nnClassifier,2,1,adam,uniform,0.46226415094339623
relu,brute,15,entropy,0,0,17,adaptive,3,log2,17,3,randomForestClassifier,2,6,lbfgs,uniform,0.0
tanh,ball_tree,15,gini,1,1,21,adaptive,72,auto,12,18,kneighborsClassifier,4,8,adam,uniform,0.9037735849056604
identity,brute,23,entropy,1,1,22,adaptive,75,sqrt,5,18,randomForestClassifier,7,2,adam,uniform,0.9150943396226415
relu,ball_tree,16,entropy,1,1,32,constant,66,auto,9,8,randomForestClassifier,8,8,sgd,distance,0.9113207547169812
tanh,kd_tree,32,entropy,1,1,39,constant,82,auto,5,9,randomForestClassifier,5,2,sgd,distance,0.9037735849056604
tanh,ball_tree,15,gini,1,1,21,adaptive,72,auto,12,18,kneighborsClassifier,4,8,adam,uniform,0.9037735849056604
identity,brute,25,gini,1,1,13,constant,51,auto,13,37,kneighborsClassifier,3,6,adam,distance,0.8830188679245283
identity,brute,15,entropy,0,1,32,constant,29,log2,16,37,randomForestClassifier,4,5,adam,distance,0.7113207547169811
relu,kd_tree,19,entropy,0,1,33,constant,10,auto,7,20,randomForestClassifier,9,7,adam,uniform,0.7094339622641509
logistic,brute,18,entropy,0,1,10,constant,11,log2,14,40,kneighborsClassifier,3,3,sgd,uniform,0.6622641509433962
tanh,brute,23,entropy,0,1,2,constant,4,log2,15,2,kneighborsClassifier,10,7,adam,distance,0.6566037735849056
tanh,brute,20,gini,1,0,39,adaptive,60,auto,14,31,kneighborsClassifier,7,8,lbfgs,uniform,0.5981132075471698
relu,brute,23,entropy,0,1,37,constant,66,auto,9,8,randomForestClassifier,8,8,sgd,distance,0.7037735849056603
relu,ball_tree,16,entropy,1,1,28,constant,82,auto,5,9,randomForestClassifier,5,2,sgd,distance,0.9037735849056604
tanh,kd_tree,32,entropy,1,1,39,adaptive,72,auto,12,18,kneighborsClassifier,4,5,adam,uniform,0.8962264150943396
tanh,ball_tree,15,gini,1,1,21,constant,51,auto,13,37,kneighborsClassifier,3,6,adam,distance,0.8830188679245283
identity,brute,25,gini,1,0,13,constant,29,log2,16,37,randomForestClassifier,4,5,adam,distance,0.6
identity,kd_tree,15,entropy,0,1,32,invscaling,10,auto,7,20,randomForestClassifier,9,7,adam,uniform,0.7094339622641509
relu,kd_tree,19,entropy,0,0,33,constant,11,log2,14,40,kneighborsClassifier,3,10,sgd,uniform,0.0
logistic,brute,18,entropy,0,1,22,constant,4,log2,15,2,kneighborsClassifier,10,7,adam,distance,0.6566037735849056
tanh,kd_tree,23,entropy,0,1,2,adaptive,60,auto,14,31,kneighborsClassifier,7,8,lbfgs,uniform,0.6962264150943396
tanh,brute,20,gini,1,0,39,invscaling,75,sqrt,5,18,randomForestClassifier,7,4,adam,uniform,0.5849056603773585
identity,brute,23,entropy,1,1,22,adaptive,75,sqrt,5,18,randomForestClassifier,7,2,adam,uniform,0.9150943396226415
relu,ball_tree,16,entropy,1,1,32,constant,66,auto,9,8,randomForestClassifier,8,8,sgd,distance,0.9113207547169812
tanh,kd_tree,32,entropy,1,1,39,constant,82,auto,5,9,randomForestClassifier,5,2,sgd,distance,0.9037735849056604
tanh,ball_tree,15,gini,1,1,21,adaptive,72,auto,12,18,kneighborsClassifier,4,8,adam,uniform,0.9037735849056604
relu,ball_tree,16,entropy,1,1,28,constant,82,auto,5,9,randomForestClassifier,5,2,sgd,distance,0.9037735849056604
tanh,kd_tree,32,entropy,1,1,39,adaptive,72,auto,12,18,kneighborsClassifier,4,5,adam,uniform,0.8962264150943396
identity,brute,25,gini,1,1,13,constant,51,auto,13,37,kneighborsClassifier,3,6,adam,distance,0.8830188679245283
tanh,ball_tree,15,gini,1,1,21,constant,51,auto,13,37,kneighborsClassifier,3,6,adam,distance,0.8830188679245283
identity,brute,15,entropy,0,1,32,constant,29,log2,16,37,randomForestClassifier,4,5,adam,distance,0.7113207547169811
relu,kd_tree,19,entropy,0,1,33,constant,10,auto,7,20,randomForestClassifier,9,7,adam,uniform,0.7094339622641509
identity,brute,32,entropy,1,1,22,constant,66,auto,9,8,randomForestClassifier,8,8,sgd,distance,0.9113207547169812
